vertex_id,substrate,depth,resultant_mag,net_drift,direction_spread,resultant_x,resultant_y,degree,depth_bin
2176,AB_N30,0.6759345073302867,0.6532814824381883,0.6532814824444024,0.9227645227127335,-0.6035533906,0.24999999999999994,4,"(0.658, 0.678]"
2177,AB_N30,0.5460338247745071,0.48284271247461896,0.48284271247999994,1.2067015583088359,0.0,-0.48284271247999994,5,"(0.539, 0.558]"
2178,AB_N30,0.42805942789632223,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.24999999999999997,0.6035533906,4,"(0.419, 0.439]"
2179,AB_N30,0.16600127337490878,0.8047378541243652,0.8047378541333333,0.6591489993124834,0.8047378541333333,0.0,3,"(0.16, 0.18]"
2180,AB_N30,0.44966607110816714,0.8047378541243652,0.8047378541307065,0.6591489993124833,-0.5690355937333333,0.5690355937333333,3,"(0.439, 0.459]"
2181,AB_N30,0.8393308838985449,0.0,0.0,7.433838291538742,0.0,0.0,8,"(0.838, 0.858]"
2182,AB_N30,0.6065815046026771,0.482842712474619,0.482842712478424,1.2067015583088359,0.34142135624,0.34142135624000003,5,"(0.598, 0.618]"
2183,AB_N30,0.11085041539734342,0.8047378541410318,0.8047378541333333,0.6591489992810631,0.8047378541333333,-3.33333360913457e-11,3,"(0.0998, 0.12]"
2184,AB_N30,0.6387112957869676,0.6532814824381883,0.6532814824444025,0.9227645227127335,-0.6035533906,0.25,4,"(0.638, 0.658]"
2185,AB_N30,0.6523684814985469,0.307959844181317,0.3079598441887563,1.5347872038427313,0.1178511302,-0.28451779688333334,6,"(0.638, 0.658]"
2186,AB_N30,0.3333859217479075,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.24999999999999997,0.6035533906,4,"(0.319, 0.339]"
2187,AB_N30,0.16210771133311874,0.8047378541243652,0.8047378541333333,0.6591489993124834,0.8047378541333333,-3.700743415417188e-17,3,"(0.16, 0.18]"
2188,AB_N30,0.35182892335809557,0.8047378541243652,0.8047378541307065,0.6591489993124833,-0.5690355937333333,0.5690355937333333,3,"(0.339, 0.359]"
2189,AB_N30,0.8202107448595061,0.30795984417042893,0.30795984417335825,1.534787203865767,0.1178511302,0.2845177968666666,6,"(0.818, 0.838]"
2190,AB_N30,0.5448502033055904,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.24999999999999997,0.6035533906,4,"(0.539, 0.558]"
2191,AB_N30,0.1443005733326147,0.8047378541243652,0.8047378541333333,0.6591489993124834,0.8047378541333333,0.0,3,"(0.14, 0.16]"
2192,AB_N30,0.572316995074388,0.8047378541243652,0.8047378541307065,0.6591489993124833,-0.5690355937333333,0.5690355937333333,3,"(0.558, 0.578]"
2193,AB_N30,0.7500356072248664,0.0,0.0,7.433838291538742,0.0,0.0,8,"(0.738, 0.758]"
2194,AB_N30,0.6442322963761445,0.3079598441704289,0.30795984417335825,1.5347872038657673,0.2845177968666666,0.11785113019999997,6,"(0.638, 0.658]"
2195,AB_N30,0.041354161541336865,0.804737854124365,0.8047378541307065,0.6591489993124834,0.5690355937333333,-0.5690355937333332,3,"(0.0399, 0.0599]"
2196,AB_N30,0.6801217822154342,0.6532814824381883,0.6532814824444024,0.9227645227127335,-0.6035533906,0.24999999999999994,4,"(0.678, 0.698]"
2197,AB_N30,0.5007380122113616,0.48284271247461896,0.48284271247999994,1.2067015583088359,0.0,-0.48284271247999994,5,"(0.499, 0.519]"
2198,AB_N30,0.46482086836483416,0.6532814824150912,0.6532814823982086,0.922764522751048,0.24999999999999997,0.60355339055,4,"(0.459, 0.479]"
2199,AB_N30,0.16290491911057658,0.8047378541410316,0.8047378541333333,0.6591489992810631,0.8047378541333333,3.33333360913457e-11,3,"(0.16, 0.18]"
2200,AB_N30,0.4879764476032291,0.8047378541243649,0.8047378541071364,0.6591489993124833,-0.5690355937333333,0.5690355937,3,"(0.479, 0.499]"
2201,AB_N30,0.8239634603105945,1.2500028789830253e-11,2.5000002068509275e-11,7.075073481151675,0.0,2.5000002068509275e-11,8,"(0.818, 0.838]"
2202,AB_N30,0.6245656673833784,0.482842712474619,0.482842712478424,1.2067015583088359,0.34142135624,0.34142135624000003,5,"(0.618, 0.638]"
2203,AB_N30,0.09300858722413696,0.8047378541243652,0.8047378541333333,0.6591489993124834,0.8047378541333333,0.0,3,"(0.0798, 0.0998]"
2204,AB_N30,0.6583827384652134,0.6532814824381883,0.6532814824444025,0.9227645227127335,-0.6035533906,0.25,4,"(0.658, 0.678]"
2205,AB_N30,0.6089832334723928,0.307959844170429,0.3079598441733583,1.5347872038657673,0.1178511302,-0.2845177968666667,6,"(0.598, 0.618]"
2206,AB_N30,0.3734665139567531,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.24999999999999997,0.6035533906,4,"(0.359, 0.379]"
2207,AB_N30,0.16566974120251743,0.8047378541243652,0.8047378541333333,0.6591489993124834,0.8047378541333333,-3.700743415417188e-17,3,"(0.16, 0.18]"
2208,AB_N30,0.3931263521912143,0.8047378541243652,0.8047378541307065,0.6591489993124833,-0.5690355937333333,0.5690355937333333,3,"(0.379, 0.399]"
2209,AB_N30,0.837618752309192,0.30795984417042893,0.30795984417335825,1.534787203865767,0.1178511302,0.2845177968666666,6,"(0.818, 0.838]"
2210,AB_N30,0.5731471472609405,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.24999999999999997,0.6035533906,4,"(0.558, 0.578]"
2211,AB_N30,0.1321652560611345,0.8047378541410318,0.8047378541333333,0.6591489992810631,0.8047378541333333,-3.33333360913457e-11,3,"(0.12, 0.14]"
2212,AB_N30,0.6025647560133703,0.8047378541243652,0.8047378541307065,0.6591489993124833,-0.5690355937333333,0.5690355937333333,3,"(0.598, 0.618]"
2213,AB_N30,0.7112131726619346,0.1428571428672444,0.1428571428699622,1.9727697022093595,0.10101525445714286,-0.10101525447142858,7,"(0.698, 0.718]"
2214,AB_N30,0.27505596355318584,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.24999999999999997,0.6035533906,4,"(0.259, 0.279]"
2215,AB_N30,0.15244001529041207,0.8047378541243652,0.8047378541333333,0.6591489993124834,0.8047378541333333,0.0,3,"(0.14, 0.16]"
2216,AB_N30,0.29197791612758395,0.8047378541243652,0.8047378541307065,0.6591489993124833,-0.5690355937333333,0.5690355937333333,3,"(0.279, 0.299]"
2217,AB_N30,0.7795037040277861,0.307959844170429,0.3079598441733583,1.534787203865767,0.1178511302,0.2845177968666667,6,"(0.778, 0.798]"
2226,AB_N30,0.7874732676789267,0.307959844181317,0.3079598441887563,1.534787203842731,0.1178511302,0.28451779688333334,6,"(0.778, 0.798]"
2227,AB_N30,0.28133213371108723,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.6035533906,-0.25,4,"(0.279, 0.299]"
2228,AB_N30,0.46307352414695535,0.6532814824545203,0.6532814824539697,0.9227645226856411,-0.6035533906,0.250000000025,4,"(0.459, 0.479]"
2229,AB_N30,0.662190580145452,0.30795984416405087,0.30795984416060224,1.5347872038792614,-0.11785113016666666,-0.2845177968666667,6,"(0.658, 0.678]"
2230,AB_N30,0.11539281845825178,0.8047378541243652,0.8047378541307065,0.6591489993124834,0.5690355937333333,-0.5690355937333333,3,"(0.0998, 0.12]"
2231,AB_N30,0.46430849289301324,0.8047378541243652,0.8047378541333333,0.6591489993124834,-0.8047378541333333,3.700743415417188e-17,3,"(0.459, 0.479]"
2232,AB_N30,0.3834275648867822,0.6532814824449533,0.6532814824348354,0.9227645227015114,-0.249999999975,-0.6035533906,4,"(0.379, 0.399]"
2233,AB_N30,0.697361745140607,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.25,0.6035533906,4,"(0.678, 0.698]"
2234,AB_N30,0.32757371887795794,0.8047378541243652,0.8047378541333333,0.6591489993124834,0.8047378541333333,0.0,3,"(0.319, 0.339]"
2235,AB_N30,0.42145670704325333,0.8047378541243652,0.8047378541307065,0.6591489993124833,-0.5690355937333333,0.5690355937333333,3,"(0.419, 0.439]"
2236,AB_N30,0.7768659469067367,1.2500028789830253e-11,2.5000002068509275e-11,7.075073175584921,2.5000002068509275e-11,0.0,8,"(0.758, 0.778]"
2237,AB_N30,0.19171268677678743,0.8047378541243649,0.8047378541071364,0.6591489993124834,0.5690355937333333,-0.5690355937,3,"(0.18, 0.199]"
2238,AB_N30,0.48181798006656296,0.6532814824449532,0.6532814824348354,0.9227645227015114,-0.6035533906,0.249999999975,4,"(0.479, 0.499]"
2239,AB_N30,0.49904083716952796,0.48284271246461896,0.48284271244,1.206701558325999,2.000000165480742e-11,-0.48284271244,5,"(0.499, 0.519]"
2240,AB_N30,0.5939404534709305,0.6532814824381883,0.6532814824444024,0.9227645227127335,0.25,0.6035533905999999,4,"(0.578, 0.598]"
2241,AB_N30,0.3560257414645983,0.8047378541243652,0.8047378541333333,0.6591489993124834,0.8047378541333333,3.700743415417188e-17,3,"(0.339, 0.359]"
2242,AB_N30,0.3612459128519876,0.804737854124365,0.8047378541307065,0.6591489993124833,-0.5690355937333333,0.5690355937333332,3,"(0.359, 0.379]"
2243,AB_N30,0.8889389908094291,1.2500028789861067e-11,2.500000206852468e-11,7.075073175584921,2.5000002068509275e-11,2.7755575615628914e-17,8,"(0.878, 0.897]"
2244,AB_N30,0.2577069066047173,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.6035533906,-0.25,4,"(0.239, 0.259]"
2245,AB_N30,0.4737567469220949,0.6532814824381883,0.6532814824444025,0.9227645227127335,-0.6035533906,0.25,4,"(0.459, 0.479]"
