depth_bin,n,mean_depth,mean_resultant,mean_drift,mean_spread,mean_degree,substrate
"(0.897, 0.917]",90,0.9076117088437242,0.17165757659294523,0.17165757659597894,3.7714556676043514,6.877777777777778,AB_N30
"(0.917, 0.937]",72,0.9264266548168644,0.10414980664528192,0.1041498066497237,4.656096030907661,7.305555555555555,AB_N30
"(0.937, 0.957]",52,0.9467657736635491,0.10678194206535871,0.10678194206991007,4.609776008229772,7.288461538461538,AB_N30
"(0.957, 0.977]",31,0.9649949524502643,0.07610969422312644,0.07610969422664757,5.1826919065863715,7.451612903225806,AB_N30
"(0.977, 0.997]",13,0.9843314075831946,6.167530760912265e-12,1.2335031372179912e-11,7.264713554281555,8.0,AB_N30
"(-0.000994, 0.0199]",7,0.008132693135004374,0.7419218391280882,0.7419218391264975,0.7592677121345869,3.142857142857143,Penrose_N24
"(0.0199, 0.0398]",22,0.03037746112484775,0.8237773381899519,0.8237773381922189,0.6091079038243568,3.3181818181818183,Penrose_N24
"(0.0398, 0.0597]",46,0.05081083071754519,0.810541465124135,0.8105414651241984,0.6371786649095743,3.347826086956522,Penrose_N24
"(0.0597, 0.0796]",66,0.0707769026982205,0.8167539464244329,0.81675394642425,0.6244064320952081,3.3484848484848486,Penrose_N24
"(0.0796, 0.0994]",94,0.08972688318029179,0.8148219875214664,0.8148219875252807,0.6283865602368589,3.351063829787234,Penrose_N24
"(0.0994, 0.119]",145,0.1097745640613057,0.8201719314925312,0.8201719314929818,0.6176730993278837,3.3517241379310345,Penrose_N24
"(0.119, 0.139]",194,0.12991342318965304,0.8239269109088359,0.823926910910589,0.6112647891794651,3.329896907216495,Penrose_N24
"(0.139, 0.159]",251,0.14947106667907747,0.8228069078815347,0.8228069078837673,0.6133007046660898,3.3266932270916336,Penrose_N24
"(0.159, 0.179]",337,0.1695210553855001,0.830916897075259,0.830916897076839,0.5979657128655689,3.2433234421364987,Penrose_N24
"(0.179, 0.199]",415,0.18900466654984618,0.8365931971227067,0.8365931971234009,0.5877144806485104,3.272289156626506,Penrose_N24
