vertex_id,degree,vertex_type,depth,balance_mag,balance_angle,gap_angle_rad,gap_angle_deg,gap_direction,cos_gap_alignment,perp_x,perp_y,type_rank
3268,5,C,0.848497006709972,6.463896085089739e-12,-3.4351512153429885e-06,1.2566370614668823,72.00000000177417,-1.8849555921470296,,0.3713228931,0.2042695746,2
3269,5,C,0.4218538576373203,0.6472135955180685,-0.6283185307035829,3.769911184389165,216.00000000466463,2.513274122903905,-1.0,-0.4376941013,0.7920548269,2
3270,5,C,0.293075119728306,0.6472135955104827,3.141592653589793,3.7699111843524094,216.0000000025587,0.0,-1.0,1.3713228931,0.2042695746,2
3271,3,E,0.4987621013079261,0.5393446629138938,-1.884955592107248,3.7699111842991155,215.99999999950518,1.2566370614402353,-1.0,0.5623058987,0.7920548269,4
3272,5,C,0.6570222062707167,0.6472135954946752,1.2566370614332651,3.7699111842991155,215.99999999950518,-1.8849555921495578,-1.0,0.3713228931,-0.5222729534,2
3273,3,E,0.6347143427440641,0.8726779962533491,0.0,5.026548245760941,288.00000000098964,3.141592653589793,-1.0,-0.4376941013,0.0655122989,4
3274,3,E,0.22901141619170695,0.8726779962543398,2.5132741228820334,5.026548245765998,288.0000000012793,-0.6283185307067946,-1.0,1.3713228931,-0.5222729534,4
3275,5,C,0.775455838300572,2.971644041949162e-11,0.0,1.2566370615086946,72.00000000416983,-2.513274122835446,,0.5623058987,0.0655122989,2
3276,4,D,0.7950741837325062,0.25000000002051215,0.6283185307084894,2.5132741229443054,144.00000000415227,-2.5132741228857416,-1.0,0.0623058987,-0.2977589651,3
3277,4,D,0.4324635393294284,0.7694208842650788,-0.31415926537879696,4.398229714902791,251.99999999295724,2.8274333882194966,-1.0,-0.7467110956,0.2900262872,3
3278,5,C,0.44776957767522285,0.6472135954776177,2.5132741228408015,3.769911184235281,215.99999999584773,-0.628318530704052,-1.0,1.0623058987,-0.2977589651,2
3279,5,C,0.841071326649767,2.0283574819805795e-11,-3.141590464186723,1.256637061536202,72.00000000574589,0.0,,0.2532889044,0.2900262872,2
3280,6,B,0.8734888593513618,0.16666666666500216,1.884955592145467,1.2566370614668823,72.00000000177417,-1.8849555921470296,-0.8090169943839144,0.3713228931,-0.0732449768,1
3281,5,C,0.5369298839095943,0.6472135955180685,-0.628318530703583,3.769911184389165,216.00000000466463,2.513274122903905,-1.0,-0.4376941013,0.5145402755,2
3282,4,D,0.2980066253307442,0.6243030102503502,2.9039866282230866,3.7699111843524094,216.0000000025587,0.0,-0.9719042449431428,1.3713228931,-0.0732449768,3
3283,3,E,0.6374804811153202,0.5393446629138938,-1.884955592107248,3.7699111842991155,215.99999999950518,1.2566370614402353,-1.0,0.5623058987,0.5145402755,4
3284,5,C,0.8993820595848065,2.0283552615296685e-11,0.0,1.2566370615362015,72.00000000574586,3.141592653589793,,0.0623058987,0.1512690115,2
3285,3,E,0.3123547184389003,0.872677996235706,-0.6283185307596005,5.026548245670892,287.99999999583014,2.513274122835446,-1.0,-0.7467110956,0.7390542638,4
3286,3,E,0.47742194927312676,0.8726779962303164,3.141592653589793,5.026548245643385,287.99999999425415,0.0,-1.0,1.0623058987,0.1512690115,4
3287,5,C,0.5804565311250455,0.6472135955170357,-1.8849555921859174,3.769911184357894,216.00000000287292,1.256637061410846,-1.0,0.2532889044,0.7390542638,2
3288,3,E,0.6374399432492954,0.5393446629068803,1.2566370614088935,3.7699111842769923,215.99999999823763,-1.8849555921384964,-1.0,0.0623058987,-0.5752735165,4
3289,5,C,0.45348202451834096,0.6472135954758713,2.317627649659714e-11,3.7699111841930995,215.99999999343092,-3.141592653574343,-1.0,-0.7467110956,0.0125117357,2
3290,5,C,0.3719763985970136,0.6472135954753725,2.513274122870576,3.7699111842043793,215.9999999940772,-0.6283185307195027,-1.0,1.0623058987,-0.5752735165,2
3291,5,C,0.95707463981564,2.2410966543763993e-11,2.4083045699486267,1.2566370615199072,72.00000000481226,-1.2566370614471527,,0.2532889044,0.0125117357,2
3292,6,B,0.7503053663015654,0.16666666667782581,1.884955592170467,1.2566370615477842,72.00000000640951,-1.8849555921874805,-0.8090169943454432,0.3713228931,-0.3507595283,1
3293,5,C,0.6154153766469096,0.6472135955180685,-0.628318530703583,3.769911184389165,216.00000000466463,2.513274122903905,-1.0,-0.4376941013,0.237025724,2
3294,3,E,0.2657404822073425,0.8726779962543398,2.5132741228820334,5.026548245765998,288.0000000012793,-0.6283185307067946,-1.0,1.3713228931,-0.3507595283,4
3295,4,D,0.7452613070693103,0.24999999996994865,-2.5132741227931366,2.5132741227904214,143.99999999533537,0.6283185306858883,-1.0,0.5623058987,0.237025724,3
3296,5,C,0.8844428795247308,2.0283552615296685e-11,0.0,1.2566370615362015,72.00000000574586,3.141592653589793,,0.0623058987,-0.12624554,2
3297,3,E,0.39732714502272026,0.872677996235706,-0.6283185307596005,5.026548245670892,287.99999999583014,2.513274122835446,-1.0,-0.7467110956,0.4615397123,4
3298,3,E,0.47434108277264153,0.8726779962303164,3.141592653589793,5.026548245643385,287.99999999425415,0.0,-1.0,1.0623058987,-0.12624554,4
3299,7,A,0.7423660364997444,0.23114771268841933,-1.8849555922541943,1.256637061536202,72.00000000574589,0.0,-0.30901699447035585,0.2532889044,0.4615397123,0
3300,5,C,0.8816397810026304,6.463896085089739e-12,-3.4351512153429885e-06,1.2566370614668823,72.00000000177417,-1.8849555921470296,,0.3713228931,0.0982684483,2
3301,5,C,0.4687786872072842,0.6472135955180685,-0.628318530703583,3.769911184389165,216.00000000466463,2.513274122903905,-1.0,-0.4376941013,0.6860537006,2
3302,5,C,0.2994296817503501,0.6472135955104827,3.141592653589793,3.7699111843524094,216.0000000025587,0.0,-1.0,1.3713228931,0.0982684483,2
3303,3,E,0.5537012745686872,0.5393446629138938,-1.884955592107248,3.7699111842991155,215.99999999950518,1.2566370614402353,-1.0,0.5623058987,0.6860537006,4
3304,5,C,0.8135241101924172,2.0283552615296685e-11,0.0,1.2566370615362015,72.00000000574586,3.141592653589793,,0.0623058987,0.3227824366,2
3305,3,E,0.24683109542697723,0.872677996235706,-0.6283185307596005,5.026548245670892,287.99999999583014,2.513274122835446,-1.0,-0.7467110956,0.9105676889,4
3306,3,E,0.4543470822513337,0.8726779962303164,3.141592653589793,5.026548245643385,287.99999999425415,0.0,-1.0,1.0623058987,0.3227824366,4
3307,5,C,0.47997683913299305,0.6472135955170357,-1.8849555921859174,3.769911184357894,216.00000000287292,1.256637061410846,-1.0,0.2532889044,0.9105676889,2
3308,3,E,0.7356643121124047,0.5393446629325278,1.256637061412541,3.769911184357894,216.00000000287292,-1.8849555921789476,-1.0,0.0623058987,-0.4037600914,4
3309,5,C,0.4460473515906884,0.6472135954604828,0.0,3.769911184162198,215.9999999916604,3.141592653589793,-1.0,-0.7467110956,0.1840251609,2
3310,5,C,0.42307955049321466,0.6472135954776177,2.5132741228408015,3.769911184235281,215.99999999584773,-0.628318530704052,-1.0,1.0623058987,-0.4037600914,2
3311,5,C,0.8998789447614735,2.0283574819805795e-11,-3.141590464186723,1.256637061536202,72.00000000574589,0.0,,0.2532889044,0.1840251609,2
3312,6,B,0.8344216619703001,0.16666666666500216,1.884955592145467,1.2566370614668823,72.00000000177417,-1.8849555921470296,-0.8090169943839144,0.3713228931,-0.1792461031,1
3313,5,C,0.5725281453668074,0.6472135955180685,-0.628318530703583,3.769911184389165,216.00000000466463,2.513274122903905,-1.0,-0.4376941013,0.4085391492,2
3314,3,E,0.28992548602559465,0.8726779962543398,2.5132741228820334,5.026548245765998,288.0000000012793,-0.6283185307067946,-1.0,1.3713228931,-0.1792461031,4
3315,4,D,0.684217391770954,0.24999999996994862,-2.513274122793136,2.5132741227904214,143.99999999533537,0.6283185306858883,-1.0,0.5623058987,0.4085391492,3
3316,5,C,0.9288140544194154,2.0283552615296685e-11,0.0,1.2566370615362015,72.00000000574586,3.141592653589793,,0.0623058987,0.0452678852,2
3317,3,E,0.3483201407599341,0.872677996235706,-0.6283185307596005,5.026548245670892,287.99999999583014,2.513274122835446,-1.0,-0.7467110956,0.6330531375,4
3318,3,E,0.4822826176220225,0.8726779962303164,3.141592653589793,5.026548245643385,287.99999999425415,0.0,-1.0,1.0623058987,0.0452678852,4
3319,5,C,0.6424425529211595,0.6472135955170357,-1.8849555921859174,3.769911184357894,216.00000000287292,1.256637061410846,-1.0,0.2532889044,0.6330531375,2
3320,3,E,0.5761088661927749,0.5393446629325278,1.256637061412541,3.769911184357894,216.00000000287292,-1.8849555921789476,-1.0,0.0623058987,-0.6812746428,4
3321,5,C,0.44881678829647786,0.6472135954604828,0.0,3.769911184162198,215.9999999916604,3.141592653589793,-1.0,-0.7467110956,-0.0934893905,2
