substrate,group,t,candidate_count,walkers,msd_phys,msd_perp,near_return_frac,near_return_n,near_return_mean_perp_mismatch,median_perp_tortuosity,p90_perp_tortuosity,start_texture_mean,start_depth_mean
AB_N30,texture_high_q25,256,4251,2200,229.9807746449861,1.9774071731557334,0.02590909090909091,57,1.3390028818947362,195.8490790676886,466.214060265534,1.4439649631723557,0.08715463820373108
AB_N30,texture_high_q25,512,4251,2200,432.62409056322184,1.9086367094880297,0.015454545454545455,34,1.0454706289898699,401.6056915079014,894.91826058804,1.4439649631723557,0.08715463820373108
AB_N30,texture_low_q25,16,4250,2200,14.606247695570488,1.1519341226223068,0.31863636363636366,701,0.9049151868388715,15.769576955401236,29.138378770501692,-0.7378478028404846,0.47904769636528893
AB_N30,texture_low_q25,32,4250,2200,29.6407461771663,1.1083447319337538,0.17,374,0.8977429783406081,32.196895387344995,93.25483400354389,-0.7378478028404846,0.47904769636528893
AB_N30,texture_low_q25,64,4250,2200,60.43284428122382,1.1271557187671022,0.08181818181818182,180,0.917118356766248,72.1520619011184,184.04583163203668,-0.7378478028404846,0.47904769636528893
AB_N30,texture_low_q25,128,4250,2200,119.01597319496184,1.1258449868520255,0.03727272727272727,82,0.825940615511117,134.58440661026623,348.38097285492717,-0.7378478028404846,0.47904769636528893
AB_N30,texture_low_q25,256,4250,2200,227.08192481689446,1.1471660921819447,0.025,55,0.8525283535916963,269.1688132257079,696.7619455963594,-0.7378478028404846,0.47904769636528893
AB_N30,texture_low_q25,512,4250,2200,436.2411917343789,1.091535538300554,0.012272727272727272,27,0.8929497779395523,564.9671038254821,1393.5238914191,-0.7378478028404846,0.47904769636528893
AB_N30,depth_high_q25,16,4254,2200,14.79167738171122,0.8719589819019464,0.3286363636363636,723,0.7791269982965416,20.905007436809818,35.687079962237426,-0.5942378371655721,0.6661187079120142
AB_N30,depth_high_q25,32,4254,2200,30.39057832918437,0.8785125798778228,0.1668181818181818,367,0.7973725047855843,38.6274169961312,100.93830495536814,-0.5942378371655721,0.6661187079120142
AB_N30,depth_high_q25,64,4254,2200,60.87368932205003,0.839037950645293,0.08818181818181818,194,0.7771079441323439,77.2548339932931,201.87660991074821,-0.5942378371655721,0.6661187079120142
AB_N30,depth_high_q25,128,4254,2200,118.475479852576,0.8463383291974423,0.049545454545454545,109,0.7990917400341543,154.50966799911166,403.75321970590164,-0.5942378371655721,0.6661187079120142
AB_N30,depth_high_q25,256,4254,2200,231.57484790829926,0.843333909810159,0.024545454545454544,54,0.7863094373855456,316.37208952389466,746.0386719864907,-0.5942378371655721,0.6661187079120142
AB_N30,depth_high_q25,512,4254,2200,428.9950906960305,0.8303638493817599,0.00909090909090909,20,0.7096204964322113,632.7441790385964,1492.077344051264,-0.5942378371655721,0.6661187079120142
AB_N30,depth_low_q25,16,4269,2200,15.204487627499283,1.9918760088598269,0.28,616,1.1854068290262805,12.069511671573395,27.31370849516783,1.3475178792579883,0.06345488738033443
AB_N30,depth_low_q25,32,4269,2200,29.766493193283406,2.0080522612744987,0.15136363636363637,333,1.2018449861337317,24.139023343756012,54.627416994960356,1.3475178792579883,0.06345488738033443
AB_N30,depth_low_q25,64,4269,2200,58.68449507657847,1.9809594688792003,0.075,165,1.1784074131471816,48.2780466879368,109.25483400142248,1.3475178792579883,0.06345488738033443
AB_N30,depth_low_q25,128,4269,2200,120.56015832507252,2.036205311282356,0.04045454545454545,89,1.2585265519367235,96.55609337701847,218.50966797916757,1.3475178792579883,0.06345488738033443
AB_N30,depth_low_q25,256,4269,2200,228.93260145282693,2.031034910863299,0.023181818181818182,51,1.176755298196654,190.33109311031188,466.21406028793837,1.3475178792579883,0.06345488738033443
AB_N30,depth_low_q25,512,4269,2200,443.8806374535874,2.0211807282904797,0.007727272727272728,17,1.4632191078226262,388.6008046633009,874.1951656503552,1.3475178792579883,0.06345488738033443
Penrose_N24,all_interior75,16,21539,2200,14.538504747360347,1.5469497980904119,0.33136363636363636,729,1.042927526372416,13.61041293413109,31.539466358969026,0.03011623873621485,0.45415938689884644
Penrose_N24,all_interior75,32,21539,2200,29.13289109787066,1.6089270839321315,0.17363636363636364,382,1.0904170249278533,27.220825867847893,71.26504731934436,0.03011623873621485,0.45415938689884644
Penrose_N24,all_interior75,64,21539,2200,58.238727898758114,1.6194539194077069,0.08409090909090909,185,1.0503587466942794,55.85139175948192,142.5300946436766,0.03011623873621485,0.45415938689884644
Penrose_N24,all_interior75,128,21539,2200,116.89888762335673,1.5665669220781082,0.04727272727272727,104,0.9794990065783006,114.15137546556343,285.0601893061844,0.03011623873621485,0.45415938689884644
Penrose_N24,all_interior75,256,21539,2200,229.4934868760384,1.5924222147978162,0.025454545454545455,56,0.9001029108593733,234.51955888118346,570.1203786158266,0.03011623873621485,0.45415938689884644
Penrose_N24,all_interior75,512,21539,2200,424.0305027564455,1.6067699707547018,0.011363636363636364,25,0.9948755006428633,469.65154647055755,1237.9408419968704,0.03011623873621485,0.45415938689884644
Penrose_N24,texture_high_q25,16,5385,2200,15.23149587759847,2.10577684967415,0.2927272727272727,644,1.1914550360783995,12.04700416257752,25.888543818131026,1.4579874242833548,0.25127990848980236
Penrose_N24,texture_high_q25,32,5385,2200,30.164818328210842,2.165181671778935,0.15227272727272728,335,1.1660688242391803,23.15541752820768,51.777087639439905,1.4579874242833548,0.25127990848980236
