vertex_id,x,y,degree,k_sum_mod4,K0,K1,K2,K3,perp_x,perp_y,perp_r,k_sum
10263,-56.9913780286,37.0918830920,3,1,-28,-7,18,34,0.9913780286,1.0918830920,1.4748013705,17
10264,-56.9913780286,38.0918830920,5,2,-28,-7,19,34,0.9913780286,0.0918830920,0.9956268871,18
10265,-57.9913780286,40.5060966544,5,0,-29,-6,20,35,-0.0086219714,0.5060966544,0.5061700920,20
10266,-56.9913780286,40.5060966544,4,1,-28,-6,20,35,0.9913780286,0.5060966544,1.1130876961,21
10267,-57.9913780286,42.9203102168,4,3,-29,-5,21,36,-0.0086219714,0.9203102168,0.9203506036,23
10268,-56.9913780286,42.9203102168,3,0,-28,-5,21,36,0.9913780286,0.9203102168,1.3527014788,24
10269,-57.2842712475,45.6274169980,4,2,-29,-4,23,36,-0.7157287525,-0.3725830020,0.8068988416,26
10270,-57.9913780286,46.3345237792,5,3,-29,-4,23,37,-0.0086219714,0.3345237792,0.3346348715,27
10271,-56.9913780286,46.3345237792,4,0,-28,-4,23,37,0.9913780286,0.3345237792,1.0462965901,28
10272,-57.9913780286,48.7487373415,4,2,-29,-3,24,38,-0.0086219714,0.7487373415,0.7487869824,30
10273,-56.9913780286,48.7487373415,3,3,-28,-3,24,38,0.9913780286,0.7487373415,1.2423518029,31
10274,-57.2842712475,51.4558441227,3,1,-29,-2,26,38,-0.7157287525,-0.5441558773,0.8990958047,33
10275,-57.9913780286,52.1629509039,6,2,-29,-2,26,39,-0.0086219714,0.1629509039,0.1631788451,34
10276,-56.9913780286,52.1629509039,4,3,-28,-2,26,39,0.9913780286,0.1629509039,1.0046807417,35
10277,-57.9913780286,54.5771644663,5,1,-29,-1,27,40,-0.0086219714,0.5771644663,0.5772288623,37
10278,-56.9913780286,54.5771644663,4,2,-28,-1,27,40,0.9913780286,0.5771644663,1.1471482977,38
10279,-57.9913780286,56.9913780286,4,0,-29,0,28,41,-0.0086219714,0.9913780286,0.9914155204,40
10280,-56.9913780286,56.9913780286,3,1,-28,0,28,41,0.9913780286,0.9913780286,1.4020202536,41
10281,-57.2842712475,59.6984848098,4,3,-29,1,30,41,-0.7157287525,-0.3015151902,0.7766460308,43
10282,-57.9913780286,60.4055915910,5,0,-29,1,30,42,-0.0086219714,0.4055915910,0.4056832226,44
10283,-56.9913780286,60.4055915910,4,1,-28,1,30,42,0.9913780286,0.4055915910,1.0711372155,45
10284,-55.5771644663,-58.9913780286,3,1,-28,-40,-30,-1,-0.4228355337,1.0086219714,1.0936673030,-99
10285,-55.5771644663,-57.9913780286,4,2,-28,-40,-29,-1,-0.4228355337,0.0086219714,0.4229234292,-98
10286,-54.5771644663,-58.9913780286,4,2,-27,-40,-30,-1,0.5771644663,1.0086219714,1.1620830875,-98
10287,-54.5771644663,-57.9913780286,6,3,-27,-40,-29,-1,0.5771644663,0.0086219714,0.5772288623,-97
10288,-55.2842712475,-57.2842712475,3,0,-27,-40,-29,0,1.2842712475,0.7157287525,1.4702449742,-96
10289,-55.2842712475,-56.2842712475,4,1,-27,-40,-28,0,1.2842712475,-0.2842712475,1.3153565217,-95
10290,-55.5771644663,-55.5771644663,4,1,-28,-39,-28,0,-0.4228355337,0.4228355337,0.5979797464,-95
10291,-55.5771644663,-54.5771644663,3,2,-28,-39,-27,0,-0.4228355337,-0.5771644663,0.7154779589,-94
10292,-54.5771644663,-55.5771644663,5,2,-27,-39,-28,0,0.5771644663,0.4228355337,0.7154779589,-94
10293,-54.5771644663,-54.5771644663,4,3,-27,-39,-27,0,0.5771644663,-0.5771644663,0.8162338159,-93
10294,-55.5771644663,-53.1629509039,3,0,-28,-38,-27,1,-0.4228355337,0.8370490961,0.9377851981,-92
10295,-55.5771644663,-52.1629509039,4,1,-28,-38,-26,1,-0.4228355337,-0.1629509039,0.4531477526,-91
10296,-54.5771644663,-53.1629509039,4,1,-27,-38,-27,1,0.5771644663,0.8370490961,1.0167448109,-91
10297,-54.5771644663,-52.1629509039,5,2,-27,-38,-26,1,0.5771644663,-0.1629509039,0.5997264528,-90
10298,-55.2842712475,-51.4558441227,4,3,-27,-38,-26,2,1.2842712475,0.5441558773,1.3947968511,-89
10299,-55.2842712475,-50.4558441227,3,0,-27,-38,-25,2,1.2842712475,-0.4558441227,1.3627716248,-88
10300,-55.5771644663,-49.7487373415,4,0,-28,-37,-25,2,-0.4228355337,0.2512626585,0.4918564955,-88
10301,-55.5771644663,-48.7487373415,3,1,-28,-37,-24,2,-0.4228355337,-0.7487373415,0.8598822566,-87
10302,-54.5771644663,-49.7487373415,6,1,-27,-37,-25,2,0.5771644663,0.2512626585,0.6294853014,-87
10303,-54.5771644663,-48.7487373415,4,2,-27,-37,-24,2,0.5771644663,-0.7487373415,0.9453710529,-86
10304,-55.5771644663,-47.3345237792,3,3,-28,-36,-24,3,-0.4228355337,0.6654762208,0.7884468841,-85
10305,-55.5771644663,-46.3345237792,4,0,-28,-36,-23,3,-0.4228355337,-0.3345237792,0.5391623572,-84
10306,-54.5771644663,-47.3345237792,4,0,-27,-36,-24,3,0.5771644663,0.6654762208,0.8808958063,-84
10307,-54.5771644663,-46.3345237792,5,1,-27,-36,-23,3,0.5771644663,-0.3345237792,0.6671019262,-83
10308,-56.2842712475,-45.6274169980,6,1,-28,-36,-23,4,0.2842712475,0.3725830020,0.4686451062,-83
10309,-56.2842712475,-44.6274169980,4,2,-28,-36,-22,4,0.2842712475,-0.6274169980,0.6888121888,-82
10310,-55.2842712475,-45.6274169980,4,2,-27,-36,-23,4,1.2842712475,0.3725830020,1.3372250112,-82
