index,n0,n1,n2,n3,x,y,perp_x,perp_y,perp_r,k_sum_mod5
11936,1,18,26,15,3.1213203436,49.3345237792,-0.9832203436,-2.5727762208,2.7542512098,0
11937,1,18,26,16,2.4142135624,50.0416305603,-0.2761135624,-1.8656694397,1.8859907628,1
11938,1,19,25,15,3.8284271247,49.0416305603,-1.6903271247,-0.8656694397,1.8991022530,0
11939,1,19,26,15,3.8284271247,50.0416305603,-1.6903271247,-1.8656694397,2.5175242296,1
11940,1,19,26,16,3.1213203436,50.7487373415,-0.9832203436,-1.1585626585,1.5195360073,2
11941,1,19,26,17,2.4142135624,51.4558441227,-0.2761135624,-0.4514558773,0.5291985530,3
11942,1,19,27,16,3.1213203436,51.7487373415,-0.9832203436,-2.1585626585,2.3719432950,3
11943,1,19,27,17,2.4142135624,52.4558441227,-0.2761135624,-1.4514558773,1.4774853174,4
11944,1,20,26,16,3.8284271247,51.4558441227,-1.6903271247,-0.4514558773,1.7495765767,3
11945,1,20,27,16,3.8284271247,52.4558441227,-1.6903271247,-1.4514558773,2.2279878708,4
11946,1,20,27,17,3.1213203436,53.1629509039,-0.9832203436,-0.7443490961,1.2331982083,0
11947,1,20,28,17,3.1213203436,54.1629509039,-0.9832203436,-1.7443490961,2.0023676019,1
11948,1,20,28,18,2.4142135624,54.8700576851,-0.2761135624,-1.0372423149,1.0733640199,2
11949,1,20,29,18,2.4142135624,55.8700576851,-0.2761135624,-2.0372423149,2.0558684172,3
11950,1,21,28,17,3.8284271247,54.8700576851,-1.6903271247,-1.0372423149,1.9831987819,2
11951,1,21,28,18,3.1213203436,55.5771644663,-0.9832203436,-0.3301355337,1.0371652301,3
11952,1,21,29,17,3.8284271247,55.8700576851,-1.6903271247,-2.0372423149,2.6471800162,3
11953,1,21,29,18,3.1213203436,56.5771644663,-0.9832203436,-1.3301355337,1.6540806456,4
11954,1,21,29,19,2.4142135624,57.2842712475,-0.2761135624,-0.6230287525,0.6814715884,0
11955,1,21,30,18,3.1213203436,57.5771644663,-0.9832203436,-2.3301355337,2.5290816218,0
11956,1,21,30,19,2.4142135624,58.2842712475,-0.2761135624,-1.6230287525,1.6463477855,1
11957,1,22,29,18,3.8284271247,57.2842712475,-1.6903271247,-0.6230287525,1.8014912198,0
11958,1,22,30,18,3.8284271247,58.2842712475,-1.6903271247,-1.6230287525,2.3433796364,1
11959,1,22,30,19,3.1213203436,58.9913780286,-0.9832203436,-0.9159219714,1.3437392982,2
11960,1,22,31,19,3.1213203436,59.9913780286,-0.9832203436,-1.9159219714,2.1534807276,3
11961,1,22,31,20,2.4142135624,60.6984848098,-0.2761135624,-1.2088151902,1.2399487341,4
11962,1,22,32,20,2.4142135624,61.6984848098,-0.2761135624,-2.2088151902,2.2260061194,0
11963,1,23,31,19,3.8284271247,60.6984848098,-1.6903271247,-1.2088151902,2.0780856461,4
11964,1,23,31,20,3.1213203436,61.4055915910,-0.9832203436,-0.5017084090,1.1038267852,0
11965,1,23,32,19,3.8284271247,61.6984848098,-1.6903271247,-2.2088151902,2.7813792142,0
11966,1,23,32,20,3.1213203436,62.4055915910,-0.9832203436,-1.5017084090,1.7949513613,1
11967,1,23,32,21,2.4142135624,63.1126983722,-0.2761135624,-0.7946016278,0.8412077307,2
11968,1,23,33,20,3.1213203436,63.4055915910,-0.9832203436,-2.5017084090,2.6879857157,2
11969,1,23,33,21,2.4142135624,64.1126983722,-0.2761135624,-1.7946016278,1.8157185084,3
11970,1,24,32,20,3.8284271247,63.1126983722,-1.6903271247,-0.7946016278,1.8677787705,2
11971,1,24,33,20,3.8284271247,64.1126983722,-1.6903271247,-1.7946016278,2.4653196124,3
11972,1,24,33,21,3.1213203436,64.8198051534,-0.9832203436,-1.0874948466,1.4660720601,4
11973,1,24,34,21,3.1213203436,65.8198051534,-0.9832203436,-2.0874948466,2.3074568205,0
11974,1,24,34,22,2.4142135624,66.5269119346,-0.2761135624,-1.3803880654,1.4077321871,1
11975,1,24,35,22,2.4142135624,67.5269119346,-0.2761135624,-2.3803880654,2.3963484808,2
11976,1,25,34,21,3.8284271247,66.5269119346,-1.6903271247,-1.3803880654,2.1823558371,1
11977,1,25,34,22,3.1213203436,67.2340187158,-0.9832203436,-0.6732812842,1.1916500878,2
11978,1,25,35,21,3.8284271247,67.5269119346,-1.6903271247,-2.3803880654,2.9194953555,2
11979,1,25,35,22,3.1213203436,68.2340187158,-0.9832203436,-1.6732812842,1.9407711097,3
11980,1,25,35,23,2.4142135624,68.9411254970,-0.2761135624,-0.9661745030,1.0048541534,4
11981,1,25,36,23,2.4142135624,69.9411254970,-0.2761135624,-1.9661745030,1.9854674200,0
11982,1,26,35,22,3.8284271247,68.9411254970,-1.6903271247,-0.9661745030,1.9469717407,4
11983,1,26,35,23,3.1213203436,69.6482322781,-0.9832203436,-0.2590677219,1.0167784068,0
11984,1,26,36,22,3.8284271247,69.9411254970,-1.6903271247,-1.9661745030,2.5928841017,0
11985,1,26,36,23,3.1213203436,70.6482322781,-0.9832203436,-1.2590677219,1.5974898348,1
11986,1,26,36,24,2.4142135624,71.3553390593,-0.2761135624,-0.5519609407,0.6171706242,2
11987,1,26,37,23,3.1213203436,71.6482322781,-0.9832203436,-2.2590677219,2.4637591635,2
11988,1,26,37,24,2.4142135624,72.3553390593,-0.2761135624,-1.5519609407,1.5763316468,3
11989,1,27,36,23,3.8284271247,71.3553390593,-1.6903271247,-0.5519609407,1.7781638475,2
11990,1,27,37,23,3.8284271247,72.3553390593,-1.6903271247,-1.5519609407,2.2947306051,3
11991,1,27,37,24,3.1213203436,73.0624458405,-0.9832203436,-0.8448541595,1.2963413111,4
11992,2,-26,-37,-30,4.8284271247,-76.5979797464,-0.6903271247,-2.5052797464,2.5986492928,4
11993,2,-26,-37,-29,4.1213203436,-75.8908729653,0.0167796564,-1.7981729653,1.7982512533,0
11994,2,-25,-37,-30,5.5355339059,-75.8908729653,-1.3974339059,-1.7981729653,2.2773334263,0
11995,2,-25,-37,-29,4.8284271247,-75.1837661841,-0.6903271247,-1.0910661841,1.2911146181,1
11996,2,-25,-36,-29,4.8284271247,-74.1837661841,-0.6903271247,-2.0910661841,2.2020693280,2
11997,2,-25,-36,-28,4.1213203436,-73.4766594029,0.0167796564,-1.3839594029,1.3840611207,3
11998,2,-24,-37,-30,6.2426406871,-75.1837661841,-2.1045406871,-1.0910661841,2.3705520289,1
11999,2,-24,-37,-29,5.5355339059,-74.4766594029,-1.3974339059,-0.3839594029,1.4492226691,2
12000,2,-24,-36,-29,5.5355339059,-73.4766594029,-1.3974339059,-1.3839594029,1.9667651487,3
12001,2,-24,-36,-28,4.8284271247,-72.7695526217,-0.6903271247,-0.6768526217,0.9667890208,4
12002,2,-24,-35,-29,5.5355339059,-72.4766594029,-1.3974339059,-2.3839594029,2.7633465139,4
12003,2,-24,-35,-28,4.8284271247,-71.7695526217,-0.6903271247,-1.6768526217,1.8133908167,0
12004,2,-24,-35,-27,4.1213203436,-71.0624458405,0.0167796564,-0.9697458405,0.9698910001,1
12005,2,-24,-34,-27,4.1213203436,-70.0624458405,0.0167796564,-1.9697458405,1.9698173096,2
12006,2,-23,-35,-29,6.2426406871,-71.7695526217,-2.1045406871,-1.6768526217,2.6908969171,0
12007,2,-23,-35,-28,5.5355339059,-71.0624458405,-1.3974339059,-0.9697458405,1.7009492987,1
12008,2,-23,-35,-27,4.8284271247,-70.3553390593,-0.6903271247,-0.2626390593,0.7386005786,2
12009,2,-23,-34,-28,5.5355339059,-70.0624458405,-1.3974339059,-1.9697458405,2.4151025232,2
12010,2,-23,-34,-27,4.8284271247,-69.3553390593,-0.6903271247,-1.2626390593,1.4390305533,3
12011,2,-23,-33,-27,4.8284271247,-68.3553390593,-0.6903271247,-2.2626390593,2.3656050076,4
12012,2,-23,-33,-26,4.1213203436,-67.6482322781,0.0167796564,-1.5555322781,1.5556227773,0
12013,2,-22,-34,-28,6.2426406871,-69.3553390593,-2.1045406871,-1.2626390593,2.4542511888,3
12014,2,-22,-34,-27,5.5355339059,-68.6482322781,-1.3974339059,-0.5555322781,1.5038077116,4
12015,2,-22,-33,-27,5.5355339059,-67.6482322781,-1.3974339059,-1.5555322781,2.0910528902,0
12016,2,-22,-33,-26,4.8284271247,-66.9411254970,-0.6903271247,-0.8484254970,1.0937903652,1
12017,2,-22,-32,-27,5.5355339059,-66.6482322781,-1.3974339059,-2.5555322781,2.9126563041,1
12018,2,-22,-32,-26,4.8284271247,-65.9411254970,-0.6903271247,-1.8484254970,1.9731265436,2
12019,2,-22,-32,-25,4.1213203436,-65.2340187158,0.0167796564,-1.1413187158,1.1414420563,3
12020,2,-21,-33,-27,6.2426406871,-66.9411254970,-2.1045406871,-0.8484254970,2.2691225898,1
12021,2,-21,-32,-27,6.2426406871,-65.9411254970,-2.1045406871,-1.8484254970,2.8010298680,2
12022,2,-21,-32,-26,5.5355339059,-65.2340187158,-1.3974339059,-1.1413187158,1.8042810015,3
12023,2,-21,-32,-25,4.8284271247,-64.5269119346,-0.6903271247,-0.4342119346,0.8155314484,4
12024,2,-21,-31,-26,5.5355339059,-64.2340187158,-1.3974339059,-2.1413187158,2.5569644823,4
12025,2,-21,-31,-25,4.8284271247,-63.5269119346,-0.6903271247,-1.4342119346,1.5917020489,0
12026,2,-21,-31,-24,4.1213203436,-62.8198051534,0.0167796564,-0.7271051534,0.7272987426,1
12027,2,-21,-30,-25,4.8284271247,-62.5269119346,-0.6903271247,-2.4342119346,2.5302053833,1
12028,2,-21,-30,-24,4.1213203436,-61.8198051534,0.0167796564,-1.7271051534,1.7271866627,2
12029,2,-20,-31,-26,6.2426406871,-63.5269119346,-2.1045406871,-1.4342119346,2.5467735229,0
12030,2,-20,-31,-25,5.5355339059,-62.8198051534,-1.3974339059,-0.7271051534,1.5752788406,1
12031,2,-20,-30,-25,5.5355339059,-61.8198051534,-1.3974339059,-1.7271051534,2.2216466263,2
12032,2,-20,-30,-24,4.8284271247,-61.1126983722,-0.6903271247,-1.0199983722,1.2316445179,3
12033,2,-20,-29,-24,4.8284271247,-60.1126983722,-0.6903271247,-2.0199983722,2.1347002045,4
12034,2,-20,-29,-23,4.1213203436,-59.4055915910,0.0167796564,-1.3128915910,1.3129988144,0
12035,2,-19,-30,-25,6.2426406871,-61.1126983722,-2.1045406871,-1.0199983722,2.3386936916,3
12036,2,-19,-30,-24,5.5355339059,-60.4055915910,-1.3974339059,-0.3128915910,1.4320344511,4
12037,2,-19,-29,-24,5.5355339059,-59.4055915910,-1.3974339059,-1.3128915910,1.9174216676,0
12038,2,-19,-29,-23,4.8284271247,-58.6984848098,-0.6903271247,-0.6057848098,0.9184371372,1
12039,2,-19,-28,-24,5.5355339059,-58.4055915910,-1.3974339059,-2.3128915910,2.7022747886,1
12040,2,-19,-28,-23,4.8284271247,-57.6984848098,-0.6903271247,-1.6057848098,1.7478834042,2
12041,2,-19,-28,-22,4.1213203436,-56.9913780286,0.0167796564,-0.8986780286,0.8988346656,3
12042,2,-19,-27,-23,4.8284271247,-56.6984848098,-0.6903271247,-2.6057848098,2.6956754282,3
12043,2,-19,-27,-22,4.1213203436,-55.9913780286,0.0167796564,-1.8986780286,1.8987521727,4
12044,2,-18,-28,-24,6.2426406871,-57.6984848098,-2.1045406871,-1.6057848098,2.6471940539,2
12045,2,-18,-28,-23,5.5355339059,-56.9913780286,-1.3974339059,-0.8986780286,1.6614583114,3
12046,2,-18,-27,-23,5.5355339059,-55.9913780286,-1.3974339059,-1.8986780286,2.3574986273,4
12047,2,-18,-27,-22,4.8284271247,-55.2842712475,-0.6903271247,-1.1915712475,1.3770960667,0
12048,2,-18,-26,-22,4.8284271247,-54.2842712475,-0.6903271247,-2.1915712475,2.2977241070,1
12049,2,-18,-26,-21,4.1213203436,-53.5771644663,0.0167796564,-1.4844644663,1.4845592977,2
12050,2,-17,-27,-23,6.2426406871,-55.2842712475,-2.1045406871,-1.1915712475,2.4184568513,0
12051,2,-17,-27,-22,5.5355339059,-54.5771644663,-1.3974339059,-0.4844644663,1.4790291885,1
12052,2,-17,-26,-22,5.5355339059,-53.5771644663,-1.3974339059,-1.4844644663,2.0387388928,2
12053,2,-17,-26,-21,4.8284271247,-52.8700576851,-0.6903271247,-0.7773576851,1.0396328726,3
12054,2,-17,-25,-22,5.5355339059,-52.5771644663,-1.3974339059,-2.4844644663,2.8505061315,3
12055,2,-17,-25,-21,4.8284271247,-51.8700576851,-0.6903271247,-1.7773576851,1.9067123223,4
12056,2,-17,-25,-20,4.1213203436,-51.1629509039,0.0167796564,-1.0702509039,1.0703824336,0
12057,2,-17,-24,-20,4.1213203436,-50.1629509039,0.0167796564,-2.0702509039,2.0703189034,1
12058,2,-16,-25,-22,6.2426406871,-51.8700576851,-2.1045406871,-1.7773576851,2.7546491327,4
12059,2,-16,-25,-21,5.5355339059,-51.1629509039,-1.3974339059,-1.0702509039,1.7601870692,0
12060,2,-16,-25,-20,4.8284271247,-50.4558441227,-0.6903271247,-0.3631441227,0.7800161492,1
12061,2,-16,-24,-21,5.5355339059,-50.1629509039,-1.3974339059,-2.0702509039,2.4977510538,1
12062,2,-16,-24,-20,4.8284271247,-49.4558441227,-0.6903271247,-1.3631441227,1.5279769103,2
12063,2,-16,-23,-20,4.8284271247,-48.4558441227,-0.6903271247,-2.3631441227,2.4619101697,3
12064,2,-16,-23,-19,4.1213203436,-47.7487373415,0.0167796564,-1.6560373415,1.6561223486,4
12065,2,-15,-24,-21,6.2426406871,-49.4558441227,-2.1045406871,-1.3631441227,2.5074396110,2
12066,2,-15,-24,-20,5.5355339059,-48.7487373415,-1.3974339059,-0.6560373415,1.5437637497,3
12067,2,-15,-23,-20,5.5355339059,-47.7487373415,-1.3974339059,-1.6560373415,2.1668597550,4
12068,2,-15,-23,-19,4.8284271247,-47.0416305603,-0.6903271247,-0.9489305603,1.1734652732,0
12069,2,-15,-22,-19,4.8284271247,-46.0416305603,-0.6903271247,-1.9489305603,2.0675787453,1
12070,2,-15,-22,-18,4.1213203436,-45.3345237792,0.0167796564,-1.2418237792,1.2419371382,2
12071,2,-14,-23,-20,6.2426406871,-47.0416305603,-2.1045406871,-0.9489305603,2.3085841358,0
12072,2,-14,-23,-19,5.5355339059,-46.3345237792,-1.3974339059,-0.2418237792,1.4182031807,1
12073,2,-14,-22,-20,6.2426406871,-46.0416305603,-2.1045406871,-1.9489305603,2.8683482761,1
12074,2,-14,-22,-19,5.5355339059,-45.3345237792,-1.3974339059,-1.2418237792,1.8694779538,2
12075,2,-14,-22,-18,4.8284271247,-44.6274169980,-0.6903271247,-0.5347169980,0.8731974617,3
12076,2,-14,-21,-19,5.5355339059,-44.3345237792,-1.3974339059,-2.2418237792,2.6417031208,3
12077,2,-14,-21,-18,4.8284271247,-43.6274169980,-0.6903271247,-1.5347169980,1.6828273242,4
12078,2,-14,-21,-17,4.1213203436,-42.9203102168,0.0167796564,-0.8276102168,0.8277803016,0
12079,2,-14,-20,-18,4.8284271247,-42.6274169980,-0.6903271247,-2.5347169980,2.6270405020,0
12080,2,-14,-20,-17,4.1213203436,-41.9203102168,0.0167796564,-1.8276102168,1.8276872439,1
12081,2,-13,-21,-19,6.2426406871,-43.6274169980,-2.1045406871,-1.5347169980,2.6046972507,4
12082,2,-13,-21,-18,5.5355339059,-42.9203102168,-1.3974339059,-0.8276102168,1.6241182815,0
12083,2,-13,-20,-18,5.5355339059,-41.9203102168,-1.3974339059,-1.8276102168,2.3006478709,1
12084,2,-13,-20,-17,4.8284271247,-41.2132034356,-0.6903271247,-1.1205034356,1.3160849092,2
12085,2,-13,-19,-17,4.8284271247,-40.2132034356,-0.6903271247,-2.1205034356,2.2300417843,3
12086,2,-13,-19,-16,4.1213203436,-39.5060966544,0.0167796564,-1.4133966544,1.4134962538,4
12087,2,-12,-20,-18,6.2426406871,-41.2132034356,-2.1045406871,-1.1205034356,2.3842440003,2
12088,2,-12,-20,-17,5.5355339059,-40.5060966544,-1.3974339059,-0.4133966544,1.4572982932,3
