vertex_id,substrate,degree,mean_abs_dev_from_regular,max_dev_from_regular,std_spacing,regularity,mean_snap_to_grid,max_snap_to_grid,is_commensurate
5499,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,1.0128555896987606e-09,4.0514223587950425e-09,True
5500,AB,3,99.99999999729904,149.9999999959486,106.06601717511734,0.1161165235411108,1.3504787974045464e-09,4.0514223587950425e-09,False
5501,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,0.0,0.0,False
5502,AB,8,2.0257095891201806e-09,4.0514223587950425e-09,2.864785974363872e-09,0.999999999936338,1.0128565487374152e-09,4.0514223587950425e-09,True
5503,AB,5,43.200000001620566,108.00000000405142,54.0000000020257,0.24999999997246214,8.102860062208553e-10,4.05141599768568e-09,False
5504,AB,3,99.9999999945981,149.99999999189717,106.06601717225256,0.11611652356498392,2.7009414410207084e-09,4.0514223587950425e-09,False
5505,AB,4,67.49999999797429,134.99999999594857,77.94228633826039,0.13397459624210262,2.025711507197489e-09,4.0514300311042765e-09,True
5506,AB,6,24.999999998649525,74.99999999594858,33.541019660684995,0.44098300565578397,1.350475398316553e-09,4.0514223587950425e-09,False
5507,AB,4,67.50000000202571,135.00000000405143,77.94228634293857,0.13397459619012286,1.01285399942142e-09,4.05141599768568e-09,True
5508,AB,3,99.9999999945981,149.99999999189717,106.06601717225256,0.11611652356498392,2.7009414410207084e-09,4.0514223587950425e-09,False
5509,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,1.3504719992285598e-09,4.05141599768568e-09,False
5510,AB,6,24.999999998649525,74.99999999594858,33.541019660684995,0.44098300565578397,1.3504707205103542e-09,4.0514223587950425e-09,False
5511,AB,4,67.50000000202571,135.00000000405143,77.94228634293857,0.13397459619012286,1.01285399942142e-09,4.05141599768568e-09,True
5512,AB,3,99.99999999729904,149.9999999959486,106.06601717511734,0.1161165235411108,1.3504673214223607e-09,4.051401964267082e-09,False
5513,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,1.3504719992285598e-09,4.05141599768568e-09,False
5514,AB,7,11.020408163265305,38.57142857142857,15.746719775034716,0.6938137821524439,5.787757187291824e-10,4.051401964267082e-09,False
5515,AB,4,67.50000000202571,135.00000000405143,77.94228634293857,0.13397459619012286,1.01285399942142e-09,4.05141599768568e-09,True
5516,AB,3,99.9999999945981,149.99999999189717,106.06601717225256,0.11611652356498392,2.7009414410207084e-09,4.0514223587950425e-09,False
5517,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,1.3504719992285598e-09,4.05141599768568e-09,False
5518,AB,6,24.999999998649525,74.99999999594858,33.541019660684995,0.44098300565578397,1.3504707205103542e-09,4.0514223587950425e-09,False
5519,AB,4,67.50000000202571,135.00000000405143,77.94228634293857,0.13397459619012286,1.01285399942142e-09,4.05141599768568e-09,True
5520,AB,3,99.9999999945981,149.99999999189717,106.06601717225256,0.11611652356498392,2.7009414410207084e-09,4.0514223587950425e-09,False
5521,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,1.3504719992285598e-09,4.05141599768568e-09,False
5522,AB,8,2.0257111793975213e-09,4.0514223587950425e-09,2.8647882233547723e-09,0.999999999936338,1.0128565487374148e-09,4.0514223587950425e-09,True
5523,AB,5,43.200000001620566,108.00000000405142,54.0000000020257,0.24999999997246214,8.102860062208553e-10,4.05141599768568e-09,False
5524,AB,4,67.49999999797429,134.99999999594857,77.94228633826039,0.13397459624210262,2.0257095891201806e-09,4.0514223587950425e-09,True
5525,AB,4,67.49999999797429,134.99999999594857,77.94228633826039,0.13397459624210262,2.025711507197489e-09,4.0514300311042765e-09,True
5526,AB,5,43.199999999999996,108.0,54.0,0.25000000000059686,8.102860062208553e-10,4.051401964267082e-09,False
5527,AB,4,67.50000000202571,135.00000000405143,77.94228634293857,0.13397459619012286,1.01285399942142e-09,4.05141599768568e-09,True
5529,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,1.3504719992285598e-09,4.05141599768568e-09,False
5571,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,1.0128555896987606e-09,4.0514223587950425e-09,True
5572,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
5573,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,0.0,0.0,False
5574,AB,8,0.0,0.0,0.0,1.0,5.2625319739011566e-15,1.4033418597069752e-14,True
5575,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,7.016709298534876e-15,1.4033418597069752e-14,True
5576,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,3.508354649267438e-15,1.4033418597069752e-14,True
5577,AB,5,43.199999999999996,108.0,54.0,0.25000000000059686,8.42005115824185e-15,1.4033418597069752e-14,False
5578,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,1.0128555896987606e-09,4.0514223587950425e-09,True
5579,AB,3,100.00000000270093,150.00000000405143,106.0660171808469,0.11611652349336443,1.3504787974045464e-09,4.0514223587950425e-09,False
5580,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,0.0,0.0,False
5581,AB,8,2.0257095891201806e-09,4.0514223587950425e-09,2.864785974363872e-09,0.999999999936338,1.0128600570920641e-09,4.0514223587950425e-09,True
5582,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,7.016709298534876e-15,1.4033418597069752e-14,True
5583,AB,4,67.50000000202571,135.00000000405143,77.94228634293857,0.13397459619012286,1.0128504910667706e-09,4.051401964267082e-09,True
5584,AB,6,24.999999999999996,75.0,33.54101966249684,0.44098300562558634,7.016709298534876e-15,1.4033418597069752e-14,False
5585,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,9.355612398046501e-15,1.4033418597069752e-14,False
5586,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
5587,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,1.0525063947802313e-14,1.4033418597069752e-14,True
5588,AB,5,43.199999999999996,108.0,54.0,0.25000000000059686,8.102844717590084e-10,4.0514223587950425e-09,False
5589,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,7.016709298534876e-15,1.4033418597069752e-14,True
