model,checkpoint,reader,auc,bal_acc,paired_frac,tie_frac,signed_sep,mean_added_present
Growing-MatchedControl,400,onebit_Shigh,0.5339,0.5188,0.5000,0.0500,0.420000,74.7300
Growing-MatchedControl,400,complement_negSlow,0.5030,0.5188,0.5150,0.0600,-0.080000,74.7300
Growing-MatchedControl,400,added_exact_D0,0.5446,0.5525,0.5450,0.0000,3.922890,74.7300
Growing-MatchedControl,400,added_whole_D1,0.5453,0.5525,0.5550,0.0200,4.140000,74.7300
Growing-MatchedControl,400,added_presence_PD,0.5265,0.5162,0.5150,0.0900,0.500000,74.7300
Growing-MatchedControl,1000,onebit_Shigh,0.5169,0.5125,0.4900,0.0500,0.380000,102.5700
Growing-MatchedControl,1000,complement_negSlow,0.4979,0.5037,0.4800,0.0100,-0.220000,102.5700
Growing-MatchedControl,1000,added_exact_D0,0.5146,0.5025,0.5000,0.0000,2.030179,102.5700
Growing-MatchedControl,1000,added_whole_D1,0.5129,0.5025,0.5050,0.0100,1.730000,102.5700
Growing-MatchedControl,1000,added_presence_PD,0.5406,0.5262,0.5425,0.0650,0.600000,102.5700
Growing-MatchedControl,2000,onebit_Shigh,0.5069,0.4762,0.4950,0.0100,0.285000,119.5850
Growing-MatchedControl,2000,complement_negSlow,0.5122,0.4938,0.4975,0.0350,0.430000,119.5850
Growing-MatchedControl,2000,added_exact_D0,0.4905,0.4900,0.5300,0.0000,-1.338543,119.5850
Growing-MatchedControl,2000,added_whole_D1,0.4914,0.5000,0.5175,0.0050,-1.330000,119.5850
Growing-MatchedControl,2000,added_presence_PD,0.4858,0.4900,0.4925,0.1550,-0.145000,119.5850
Growing-MatchedControl,5000,onebit_Shigh,0.5145,0.5200,0.5125,0.0350,0.180000,127.7550
Growing-MatchedControl,5000,complement_negSlow,0.5185,0.5262,0.5150,0.0300,0.240000,127.7550
Growing-MatchedControl,5000,added_exact_D0,0.5003,0.5000,0.5050,0.0000,0.032648,127.7550
Growing-MatchedControl,5000,added_whole_D1,0.5006,0.4888,0.4975,0.0150,0.025000,127.7550
Growing-MatchedControl,5000,added_presence_PD,0.4805,0.4900,0.4800,0.8900,-0.060000,127.7550
Growing-MatchedControl,10000,onebit_Shigh,0.5062,0.5012,0.5075,0.3650,0.010000,127.9950
Growing-MatchedControl,10000,complement_negSlow,0.5027,0.4987,0.5075,0.3650,0.000000,127.9950
Growing-MatchedControl,10000,added_exact_D0,0.4977,0.4675,0.4500,0.0000,0.064798,127.9950
Growing-MatchedControl,10000,added_whole_D1,0.4988,0.4938,0.4875,0.2650,0.075000,127.9950
Growing-MatchedControl,10000,added_presence_PD,0.5025,0.5012,0.5025,0.9950,0.010000,127.9950
