family,extent,offx,offy,k,law,movable_feasible_frac,groups_fail_frac,distinct_frac,destchange,con_med,con_p95,con_max,unc_med,unc_p95,ratio_med,ratio_p95,lambda
silver,14,0.13,0.37,2,U,0.0348,0.8485,0.583,0.2609,0.0000,0.0000,0.0000,2.2121,5.0009,0.0000,0.0000,1.0000
silver,14,0.13,0.37,2,DW,0.0348,0.8485,0.583,0.2451,0.0000,0.0000,0.0000,2.2121,5.0009,0.0000,0.0000,1.0000
silver,14,0.13,0.37,4,U,0.2788,0.6061,1.000,0.6250,0.0000,2.0165,3.0059,2.2121,5.0009,0.0000,0.4032,1.0000
silver,14,0.13,0.37,4,DW,0.2788,0.6061,1.000,0.4654,0.0000,1.7969,2.7827,2.2121,5.0009,0.0000,0.3593,1.0000
silver,14,0.13,0.37,6,U,0.5727,0.4242,1.000,0.7364,0.8954,2.2216,4.6143,2.2121,5.0009,0.4048,0.4442,1.0000
silver,14,0.13,0.37,6,DW,0.5727,0.4242,1.000,0.4646,0.0000,1.8960,3.3870,2.2121,5.0009,0.0000,0.3791,1.0000
silver,14,0.13,0.37,8,U,0.7212,0.3333,1.000,0.8044,1.1368,2.4142,4.7586,2.2121,5.0009,0.5139,0.4828,1.0000
silver,14,0.13,0.37,8,DW,0.7212,0.3333,1.000,0.4469,0.0000,1.7969,3.0059,2.2121,5.0009,0.0000,0.3593,1.0000
silver,14,0.13,0.37,12,U,0.9561,0.0303,1.000,0.8878,1.3202,2.7417,5.8485,2.2121,5.0009,0.5968,0.5482,1.0000
silver,14,0.13,0.37,12,DW,0.9561,0.0303,1.000,0.5522,0.0000,1.8960,3.6017,2.2121,5.0009,0.0000,0.3791,1.0000
silver,14,0.13,0.37,16,U,1.0000,0.0000,1.000,0.9132,1.7422,3.0648,5.7317,2.2121,5.0009,0.7876,0.6128,1.0000
silver,14,0.13,0.37,16,DW,1.0000,0.0000,1.000,0.5481,0.0000,1.9087,3.7693,2.2121,5.0009,0.0000,0.3817,1.0000
silver,14,0.13,0.37,32,U,1.0000,0.0000,1.000,0.9501,2.2121,4.8711,7.5917,2.2121,5.0009,1.0000,0.9740,1.0000
silver,14,0.13,0.37,32,DW,1.0000,0.0000,1.000,0.5449,0.0000,1.9087,4.6143,2.2121,5.0009,0.0000,0.3817,1.0000
silver,14,0.29,0.11,2,U,0.0263,0.8788,0.500,0.2567,0.0000,0.0000,0.0000,2.2093,4.9261,0.0000,0.0000,1.0000
silver,14,0.29,0.11,2,DW,0.0263,0.8788,0.500,0.2727,0.0000,0.0000,0.0000,2.2093,4.9261,0.0000,0.0000,1.0000
silver,14,0.29,0.11,4,U,0.1530,0.6970,1.000,0.6198,0.0000,1.7535,2.7505,2.2093,4.9261,0.0000,0.3560,1.0000
silver,14,0.29,0.11,4,DW,0.1530,0.6970,1.000,0.4757,0.0000,1.6767,2.7505,2.2093,4.9261,0.0000,0.3404,1.0000
silver,14,0.29,0.11,6,U,0.6785,0.3636,1.000,0.7324,1.0901,2.1803,4.2563,2.2093,4.9261,0.4934,0.4426,1.0000
silver,14,0.29,0.11,6,DW,0.6785,0.3636,1.000,0.4026,0.0000,1.8554,2.7505,2.2093,4.9261,0.0000,0.3766,1.0000
silver,14,0.29,0.11,8,U,0.7620,0.3030,1.000,0.7892,1.1518,2.4261,4.6768,2.2093,4.9261,0.5213,0.4925,1.0000
silver,14,0.29,0.11,8,DW,0.7620,0.3030,1.000,0.4297,0.0000,1.8023,2.7505,2.2093,4.9261,0.0000,0.3659,1.0000
silver,14,0.29,0.11,12,U,1.0000,0.0000,1.000,0.8845,1.4415,2.7505,5.2089,2.2093,4.9261,0.6525,0.5583,1.0000
silver,14,0.29,0.11,12,DW,1.0000,0.0000,1.000,0.5167,0.0000,1.8554,3.6046,2.2093,4.9261,0.0000,0.3766,1.0000
silver,14,0.29,0.11,16,U,1.0000,0.0000,1.000,0.9094,1.7535,2.9624,5.5737,2.2093,4.9261,0.7937,0.6014,1.0000
