family,extent,offx,offy,lambda,policy,movable_feasible_frac,frac_escalated,partner_turnover,abs_con_med,abs_con_p95,abs_con_max,abs_unc_med,abs_unc_p95,abs_unc_max,ratio_med_paired,ratio_p95_paired,reps
silver,16,0.41,0.23,1.0,A,1.0000,0.0000,0.6237,0.0000,1.6156,3.3485,2.2085,4.8637,6.5711,0.0000,0.3306,40
silver,16,0.41,0.23,1.0,B,1.0000,0.0000,0.6175,0.0000,1.6156,3.2899,2.2085,4.8679,6.2712,0.0000,0.3269,40
silver,16,0.41,0.23,2.0,A,1.0000,0.0000,0.7232,0.0000,1.7392,3.2313,2.2085,4.8964,6.2712,0.0000,0.3493,40
silver,16,0.41,0.23,2.0,B,1.0000,0.0000,0.7236,0.0000,1.7392,2.7884,2.2085,4.9241,6.5691,0.0000,0.3494,40
silver,16,0.05,0.47,0.25,A,1.0000,0.0000,0.5788,0.0000,1.6317,3.0919,2.2103,5.0142,6.5850,0.0000,0.3252,40
silver,16,0.05,0.47,0.25,B,1.0000,0.0000,0.5833,0.0000,1.6317,3.0919,2.1912,5.0200,6.5850,0.0000,0.3250,40
silver,16,0.05,0.47,0.5,A,1.0000,0.0000,0.6038,0.0000,1.6317,3.0919,2.1912,5.0195,6.5850,0.0000,0.3249,40
silver,16,0.05,0.47,0.5,B,1.0000,0.0000,0.6050,0.0000,1.6317,3.0919,2.1912,5.0109,6.5850,0.0000,0.3251,40
silver,16,0.05,0.47,1.0,A,1.0000,0.0000,0.6396,0.0000,1.6317,3.0919,2.2103,5.0032,6.5850,0.0000,0.3261,40
silver,16,0.05,0.47,1.0,B,1.0000,0.0000,0.6349,0.0000,1.6317,3.0919,2.2056,5.0142,6.5427,0.0000,0.3254,40
silver,16,0.05,0.47,2.0,A,1.0000,0.0000,0.7417,0.0000,1.7401,3.0919,2.1912,5.0196,6.5850,0.0000,0.3451,40
silver,16,0.05,0.47,2.0,B,1.0000,0.0000,0.7357,0.0000,1.7401,3.1750,2.1912,5.0110,6.5850,0.0000,0.3443,40
silver,16,0.19,0.31,0.25,A,1.0000,0.0000,0.5689,0.0000,1.6406,2.7388,2.1930,4.9493,6.6065,0.0000,0.3309,40
silver,16,0.19,0.31,0.25,B,1.0000,0.0000,0.5763,0.0000,1.6406,2.7388,2.1864,4.8846,6.6922,0.0000,0.3349,40
silver,16,0.19,0.31,0.5,A,1.0000,0.0000,0.5917,0.0000,1.6406,2.7388,2.1891,4.8832,6.9134,0.0000,0.3359,40
silver,16,0.19,0.31,0.5,B,1.0000,0.0000,0.6019,0.0000,1.6406,2.7388,2.2029,4.8846,6.6494,0.0000,0.3343,40
silver,16,0.19,0.31,1.0,A,1.0000,0.0000,0.6338,0.0000,1.6406,2.7388,2.1824,4.8846,6.6065,0.0000,0.3359,40
silver,16,0.19,0.31,1.0,B,1.0000,0.0000,0.6379,0.0000,1.6406,2.7388,2.1910,4.8846,6.6065,0.0000,0.3359,40
silver,16,0.19,0.31,2.0,A,1.0000,0.0000,0.7345,0.0000,1.7387,3.0428,2.1891,4.9493,6.6494,0.0000,0.3469,40
silver,16,0.19,0.31,2.0,B,1.0000,0.0000,0.7372,0.0000,1.7427,3.1363,2.1930,4.8986,6.6922,0.0000,0.3492,40
silver,16,0.37,0.09,0.25,A,1.0000,0.0000,0.5764,0.0000,1.6347,3.3831,2.1875,4.9798,6.3815,0.0000,0.3283,40
silver,16,0.37,0.09,0.25,B,1.0000,0.0000,0.5776,0.0000,1.6347,3.3831,2.1826,4.8930,6.6022,0.0000,0.3341,40
silver,16,0.37,0.09,0.5,A,1.0000,0.0000,0.6003,0.0000,1.6347,3.3831,2.1910,4.9362,6.6022,0.0000,0.3312,40
silver,16,0.37,0.09,0.5,B,1.0000,0.0000,0.6051,0.0000,1.6347,3.3831,2.1868,4.9230,6.4919,0.0000,0.3321,40
silver,16,0.37,0.09,1.0,A,1.0000,0.0000,0.6362,0.0000,1.6347,3.3831,2.1886,4.9033,6.6022,0.0000,0.3340,40
silver,16,0.37,0.09,1.0,B,1.0000,0.0000,0.6406,0.0000,1.6347,3.3831,2.1903,4.8948,6.6022,0.0000,0.3340,40
silver,16,0.37,0.09,2.0,A,1.0000,0.0000,0.7385,0.0000,1.7584,3.1519,2.1826,4.9815,6.3815,0.0000,0.3533,40
silver,16,0.37,0.09,2.0,B,1.0000,0.0000,0.7392,0.0000,1.7663,3.0354,2.1837,4.9437,6.6022,0.0000,0.3568,40
silver,18,0.13,0.37,0.25,A,1.0000,0.0802,0.6678,0.0000,1.1557,2.7115,2.1985,4.9743,6.8664,0.0000,0.2323,40
silver,18,0.13,0.37,0.25,B,0.9198,0.0802,0.5885,0.0000,1.1557,2.7115,2.3391,5.0978,6.8212,0.0000,0.2267,40
silver,18,0.13,0.37,0.5,A,1.0000,0.0802,0.6737,0.0000,1.1557,2.7115,2.1985,4.9743,6.5938,0.0000,0.2323,40
silver,18,0.13,0.37,0.5,B,0.9198,0.0802,0.5993,0.0000,1.1557,2.7115,2.3114,5.0567,6.8212,0.0000,0.2285,40
silver,18,0.13,0.37,1.0,A,1.0000,0.0802,0.7034,0.0000,1.1557,2.7115,2.1985,4.9743,6.8664,0.0000,0.2323,40
silver,18,0.13,0.37,1.0,B,0.9198,0.0802,0.6301,0.0000,1.1557,2.7115,2.3391,5.0989,6.8212,0.0000,0.2267,40
