substrate,group,seed,time,threshold,phys_msd,near_return_frac,near_return_n,near_return_mean_perp,near_return_median_perp
AB_N30,all_interior75,1,1024,3.0,821.2365942980664,0.010530031178304606,179,1.0978835430723421,1.08239220030269
AB_N30,texture_high_q25,1,64,1.0,60.899256939378525,0.020465772759350742,87,0.700874128106148,0.0
AB_N30,texture_high_q25,1,64,2.0,60.899256939378525,0.08962597035991532,381,0.9458721277145276,0.76536686473746
AB_N30,texture_high_q25,1,64,3.0,60.899256939378525,0.12397083039284874,527,1.0230801933622424,1.0823922002644217
AB_N30,texture_high_q25,1,128,1.0,115.94189932739347,0.007527640555163491,32,0.9238795324948764,0.9238795324547469
AB_N30,texture_high_q25,1,128,2.0,115.94189932739347,0.05245824511879558,223,1.0096092806306165,0.7653668647757284
AB_N30,texture_high_q25,1,128,3.0,115.94189932739347,0.0748059280169372,318,1.0770879783090164,1.0823922002644217
AB_N30,texture_high_q25,1,256,1.0,226.1010548130331,0.003293342742884027,14,0.5279311614307103,0.0
AB_N30,texture_high_q25,1,256,2.0,226.1010548130331,0.020230533992001882,86,0.9788357753484374,0.76536686473746
AB_N30,texture_high_q25,1,256,3.0,226.1010548130331,0.031992472359444836,136,1.0693379852941007,1.0823922002644217
AB_N30,texture_high_q25,1,512,1.0,434.1987711474094,0.0014114326040931546,6,0.923879532513697,0.9238795325009409
AB_N30,texture_high_q25,1,512,2.0,434.1987711474094,0.011761938367442954,50,1.1154826416331378,0.7653668647757284
AB_N30,texture_high_q25,1,512,3.0,434.1987711474094,0.016466713714420135,70,1.1514162044463723,1.08239220030269
AB_N30,texture_high_q25,1,1024,1.0,814.4118829323041,0.0009409550693954364,4,0.923879532487411,0.923879532473881
AB_N30,texture_high_q25,1,1024,2.0,814.4118829323041,0.006821924253116914,29,1.0513699861961934,0.7653668647757284
AB_N30,texture_high_q25,1,1024,3.0,814.4118829323041,0.0103505057633498,44,1.1100845019660401,1.08239220030269
AB_N30,texture_low_q25,1,64,1.0,58.24350845824556,0.01962110960757781,87,1.2106007667504435,1.84775906504015
AB_N30,texture_low_q25,1,64,2.0,58.24350845824556,0.08141632837167344,361,1.13413443804962,0.7653668647757284
AB_N30,texture_low_q25,1,64,3.0,58.24350845824556,0.12539467749210645,556,1.2475406267810973,1.08239220030269
AB_N30,texture_low_q25,1,128,1.0,114.93327258139747,0.010374379792512404,46,1.0042168831739946,1.8477590650401499
AB_N30,texture_low_q25,1,128,2.0,114.93327258139747,0.03946774921064502,175,1.1089583686569484,1.4142135623
