vertex_id,degree,vertex_type,depth,balance,drift_x,drift_y,boundary_dist,nearest_edge,perp_x,perp_y,cos_alignment,type_rank
835,5,D,0.6552008678660957,0.48284271246461896,-2.000000165480742e-11,-0.48284271244,0.9736063036123624,1,0.3345237792,0.4350288425,-0.3826834324033584,3
836,4,E,0.42409688457306305,0.6532814824545203,0.250000000025,0.6035533906,0.3170253355370174,5,0.0416305603,-0.8578643763,-0.7071067812087618,4
837,3,F,0.29458783016209833,0.8047378540910316,0.8047378540666666,-3.700743415417188e-17,0.3057601871617148,4,-0.6654762208,-0.1507575951,-0.3826834323650895,5
838,3,F,0.3049894965837212,0.8047378541243649,-0.5690355937,0.5690355937333333,0.13131619359531355,6,1.0416305603,-0.8578643763,0.9238795325000783,5
839,7,B,0.9409169691661726,0.14285714285714282,-2.857143093543917e-11,0.14285714285714282,1.0551957260859086,6,0.3345237792,-0.1507575951,0.3826834325498659,1
840,4,E,0.663172329910757,0.6532814824545203,0.250000000025,0.6035533906,0.699708767926964,5,0.0416305603,-0.4436508139,-0.7071067812087618,4
841,3,F,0.2605638475033122,0.8047378540910316,0.8047378540666666,0.0,0.33955563248245313,3,-0.6654762208,0.2634559673,0.38268343236508984,5
842,3,F,0.4853855026932825,0.8047378541243649,-0.5690355937,0.5690355937333333,0.40987990656845985,7,1.0416305603,-0.4436508139,0.9238795325224956,5
843,8,A,0.7705434707919618,1.2500028789830253e-11,-2.5000002068509275e-11,0.0,1.1321189713437558,1,0.3345237792,0.2634559673,,0
844,6,C,0.7722640262918534,0.307959844181317,0.28451779688333334,0.1178511302,1.0054689550245037,4,0.0416305603,-0.0294372515,-0.7071067811746888,2
845,3,F,0.13250496757240915,0.8047378541243649,0.5690355937,-0.5690355937333333,0.18104296469104986,3,-0.6654762208,0.6776695297,0.9238795325224953,5
846,4,E,0.5491797750529652,0.6532814824150912,-0.60355339055,0.25,0.5683925743598635,7,1.0416305603,-0.0294372515,0.7071067812044725,4
847,5,D,0.4916378195974437,0.48284271248461896,-2.000000165480742e-11,-0.48284271248,0.749435538953809,1,0.3345237792,0.6776695297,-0.3826834324033584,3
848,4,E,0.570072590919354,0.6532814824314233,0.250000000025,0.60355339055,0.5411961001955707,5,0.0416305603,-0.6152236891,-0.7071067812294726,4
849,3,F,0.28767856869308117,0.8047378541076983,0.8047378540666666,3.33333360913457e-11,0.3986147581325665,4,-0.6654762208,0.091883092,-0.3826834324033576,5
850,3,F,0.4201614202389645,0.8047378541243649,-0.5690355937,0.5690355937,0.34422180978617656,7,1.0416305603,-0.6152236891,0.9238795325112871,5
851,8,A,0.8847338008077313,1.7677690618476357e-11,-2.5000002068509275e-11,2.5000002068509275e-11,1.2681013421843839,7,0.3345237792,0.091883092,,0
852,5,D,0.7583943603391088,0.48284271248876115,0.34142135626000003,0.34142135624,0.9238795324931294,5,0.0416305603,-0.2010101268,-0.9238795325224954,3
853,4,E,0.19482390573785435,0.6532814824150912,0.60355339055,-0.24999999999999992,0.24670106151160143,3,-0.6654762208,0.5060966544,0.707106781204472,4
854,4,E,0.5420169363213898,0.6532814824150912,-0.60355339055,0.24999999999999994,0.5027344775393118,7,1.0416305603,-0.2010101268,0.7071067812044725,4
855,5,D,0.6073258119657748,0.48284271248461896,-2.000000165480742e-11,-0.48284271247999994,0.9079482067775904,1,0.3345237792,0.5060966544,-0.3826834324033584,3
856,4,E,0.4679338241306966,0.6532814824545203,0.250000000025,0.6035533906,0.3826834323717895,5,0.0416305603,-0.7867965644,-0.7071067812087618,4
857,3,F,0.2965016275575453,0.8047378540910316,0.8047378540666666,-3.700743415417188e-17,0.33295666135028334,4,-0.6654762208,-0.0796897832,-0.3826834323650895,5
858,3,F,0.340856907034078,0.8047378541243649,-0.5690355937,0.5690355937333333,0.19697429043008563,6,1.0416305603,-0.7867965644,0.9238795325000783,5
859,8,A,0.9718142730042826,1.2500028789861067e-11,-2.5000002068509275e-11,-2.7755575615628914e-17,1.1208538229206806,6,0.3345237792,-0.0796897832,,0
860,5,D,0.6970890607218436,0.48284271248876115,0.34142135626000003,0.34142135624000003,0.7653668647617361,5,0.0416305603,-0.372583002,-0.9238795325224954,3
861,3,F,0.244393227304198,0.8047378541076983,0.8047378540666666,-3.33333360913457e-11,0.3123591582938847,3,-0.6654762208,0.3345237792,0.3826834324033581,5
862,4,E,0.5069176147590826,0.6532814824150912,-0.60355339055,0.25,0.4370763807570285,7,1.0416305603,-0.372583002,0.7071067812044725,4
863,7,B,0.7228248385571684,0.14285714287142856,-2.857143093543917e-11,-0.1428571428857143,1.0664608745089836,1,0.3345237792,0.3345237792,-0.38268343254986625,1
888,8,A,0.9695139583718072,1.7677700431556948e-11,-2.5000002068509275e-11,-2.5000002068509275e-11,1.109588674486771,6,0.3345237792,-0.091883092,,0
889,3,F,0.3127989458997784,0.8047378541243649,0.5690355937333333,-0.5690355937,0.4755380033694512,3,-0.372583002,0.6152236891,0.9238795325000781,5
890,3,F,0.35217624806155956,0.8047378541410316,-0.8047378541333333,-3.33333360913457e-11,0.27389753562734254,7,1.3345237792,-0.091883092,0.3826834323268221,5
891,4,E,0.5045196500533967,0.6532814824150912,-0.24999999999999997,-0.60355339055,0.6950425906877681,1,0.627416998,0.6152236891,-0.7071067812044722,4
892,3,F,0.09942384747783273,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.17444399358709295,2,-0.372583002,1.0294372515,0.9238795325112867,5
893,3,F,0.2992170678248195,0.8047378541243652,-0.8047378541333333,0.0,0.262632387183928,0,1.3345237792,0.3223304703,-0.3826834323650897,5
894,4,E,0.23560946178122877,0.6532814824381883,-0.24999999999999997,-0.6035533906,0.31235915829782157,1,0.627416998,1.0294372515,-0.7071067811837615,4
895,5,D,0.8687772042203759,0.4828427124846191,-2.000000165480742e-11,0.48284271248,0.9510760066629896,6,0.3345237792,-0.2634559673,0.38268343240335834,3
