substrate,start_vertex,perp_residue,depth,balance,gap_deg,degree,boundary_dist,vertex_type
AB,15601,1.4142135623,0.18991274501179156,0.6532814824381883,225.0,4,0.12005104518708243,E
AB,8338,1.08239220030269,0.4157295173300697,0.6532814824449533,225.0,4,0.5683925743199638,E
AB,13191,1.4142135623730951,0.35101922192990054,0.6532814824314233,225.0,4,0.5411961002137279,E
AB,13495,1.4142135624,0.3967094913113024,0.8047378541243649,270.0,3,0.3667521067073368,F
AB,10895,0.7653668646450721,0.2485990725449979,0.8047378541243649,270.0,3,0.1857091420022945,F
AB,14906,1.4142135623,0.28719575635215866,0.8047378541243649,270.0,3,0.23543591309978618,F
AB,453,1.08239220030269,0.5766464506360074,0.6532814824381883,225.0,4,0.6340506711446807,E
AB,7797,2.000000000038049,0.06281399465082649,0.6532814824381883,225.0,4,0.049726771065341735,E
AB,696,1.4142135623,0.5738684440262596,0.48284271246047683,179.99999999594857,5,0.7607006875022014,D
AB,11907,1.4142135623,0.30235147711674004,0.8047378541243649,270.0,3,0.0815894225793754,F
AB,2702,1.08239220030269,0.47665648495146173,0.4828427124746191,180.0,5,0.7381703905785066,D
AB,15062,0.76536686473746,0.5192879330155775,0.482842712474619,180.0,5,0.7653668647274045,D
AB,3014,1.08239220030269,0.56680460913921,0.8047378541243652,270.0,3,0.541196100145616,F
AB,3792,1.08239220030269,0.25803172870381885,0.8047378541243652,270.0,3,0.20357326157765065,F
AB,4754,1.4142135623730951,0.2138332168344078,0.8047378541243649,270.0,3,0.3442218098300125,F
AB,12469,1.08239220030269,0.2780307075322719,0.8047378541243652,270.0,3,0.3667521066149486,F
AB,14920,0.7653668647757284,0.43739602075302,0.6532814824150912,224.99999999594857,4,0.47553800339851626,E
AB,19092,1.08239220030269,0.45383360918343896,0.8047378541410316,270.0000000040514,3,0.3216915128099933,F
AB,6331,0.76536686473746,0.5264576019180738,0.482842712474619,180.0,5,0.7269052420851377,D
AB,7013,1.4142135623,0.43693145894429297,0.8047378541243649,270.0,3,0.33955563246071174,F
AB,6185,0.0,0.6929913799113374,0.4828427124746191,180.0,5,0.7043749451857195,D
AB,3334,0.7653668646833403,0.24752873100993988,0.8047378541076983,269.9999999959486,3,0.10411971943854237,F
AB,1233,0.0,0.34223559479066046,0.6532814824381883,225.0,4,0.4596066775818637,E
AB,8289,1.4142135623730951,0.32390197098440665,0.8047378541243652,270.0,3,0.3010940098605257,F
AB,19899,0.76536686473746,0.5595839154311276,0.8047378541410318,270.0000000040514,3,0.5252647744119201,F
AB,403,2.141444941458133,0.3904797475525881,0.8047378541243649,270.0,3,0.22417076462422192,F
AB,10527,2.1414449415378507,0.21949174172436048,0.8047378541243652,270.0,3,0.27389753563544406,F
AB,555,1.4142135623730951,0.5035127432608616,0.6532814824381883,225.0,4,0.7222390648277848,E
AB,15435,1.8477590650401503,0.5567746921625422,0.6532814824381883,225.0,4,0.5411961001617901,E
