substrate,lambda,seed,walkers,alpha_vs_cost_time,alpha_vs_cost_time_r2,alpha_vs_steps,alpha_vs_steps_r2,mean_cost_time_at_1024,msd_phys_at_1024,near_return_frac_d2,near_return_mean_perp_mismatch,final_mean_perp_mismatch
AB_N30,5,9,5000,0.9536123004813668,0.9997344401509597,0.9544902283362046,0.9997377436122135,4149.723558491514,809.3701359677899,0.0062,1.0275298828300388,1.0901113210266495
AB_N30,6,0,5000,0.9363092643174425,0.9995425561193095,0.9381645209746176,0.9995424360843833,6468.384421632199,805.4043908910045,0.0076,0.8122797261437774,1.0801876696533237
AB_N30,6,1,5000,0.9409865889857,0.9994821605220436,0.941267723804398,0.9995006240674437,6470.248157166133,811.8140282604746,0.006,0.9959848927708854,1.0988369462457965
AB_N30,6,2,5000,0.9457885330266099,0.9994888548917298,0.9471660435677611,0.999505664076301,6478.6991323136035,826.8791973127442,0.0064,0.9922406945994962,1.0809195848319462
AB_N30,6,3,5000,0.949248266003126,0.9998767660437133,0.9518366315463351,0.9998681129047599,6471.813115017809,822.2155508222914,0.006,1.0455473652825367,1.0879844809089232
AB_N30,6,4,5000,0.9421852559958808,0.9995983272934739,0.9448614588184491,0.9995887956972729,6467.500758645168,811.5222402087854,0.006,1.0388638596490114,1.0761078698513815
AB_N30,6,5,5000,0.948628915188569,0.9993684104532896,0.9508063284045156,0.9993770044563207,6476.59730613353,811.9519722431144,0.0082,1.028704059866353,1.0764033751077293
AB_N30,6,6,5000,0.9327954345178606,0.9996809633755369,0.935325360285758,0.9996682890491001,6470.8637128374185,795.5596223114912,0.008,0.9377570154372588,1.084277750852565
AB_N30,6,7,5000,0.9406073053173529,0.9987795075619964,0.9424614893134642,0.9987886578475497,6471.32327868291,801.1778268966278,0.0056,0.9543846405009259,1.0743567342796956
AB_N30,6,8,5000,0.9444232990395477,0.9996221072001795,0.9432912868624823,0.9996406233460997,6475.4168700103355,805.528038827342,0.007,0.8890757587572933,1.0739766332097231
AB_N30,6,9,5000,0.9546968828213761,0.9997026889925534,0.9586879965596705,0.9996930658441477,6474.55964929473,832.1136463136436,0.0054,0.9641402858346878,1.0752229073093456
AB_N30,7,0,5000,0.9539805745876342,0.9996402989104577,0.955057476443539,0.9996859439154642,10540.822537149174,815.7314135393686,0.0084,1.0287631263922523,1.0849839927958307
AB_N30,7,1,5000,0.9396054973105356,0.9997266808800701,0.9431681434867872,0.9996949542611236,10533.075467632758,795.4085636103006,0.006,0.9980869014263068,1.0915908795180778
AB_N30,7,2,5000,0.9390291152803932,0.9996681612235887,0.9420765626058633,0.9996586426604832,10515.448456724285,812.772910828486,0.0052,0.8885244789487202,1.072422076107465
AB_N30,7,3,5000,0.9490430157540619,0.9996102244773138,0.9489488299489154,0.99963670118265,10523.589001431052,824.0332062901093,0.0082,0.9591358896428113,1.066250754707745
AB_N30,7,4,5000,0.9322686765983346,0.9995624887857235,0.9367879225151368,0.9995371586291802,10521.799180077116,796.2918398723558,0.007,0.9341899862696351,1.070877715237617
AB_N30,7,5,5000,0.9433447075199559,0.9990401943336764,0.9449107241701565,0.999055894821943,10527.732414993881,812.2959925891372,0.0084,1.0645872529289124,1.084038313207158
AB_N30,7,6,5000,0.9441226948922956,0.9994880716678102,0.944434116182258,0.9995160784324173,10524.48321104763,818.2239700024152,0.0082,0.964458921532733,1.0864371034022278
AB_N30,7,7,5000,0.9360564964921751,0.9997416368716989,0.9372405117210955,0.999748834086279,10533.261336880374,796.0704032924658,0.008,0.9948459436513721,1.0797314980909083
AB_N30,7,8,5000,0.9470456629916081,0.9993376740042192,0.9483885333195068,0.9993688679749672,10517.761332822696,797.748789294208,0.0076,1.1866966908829009,1.085162606560437
AB_N30,7,9,5000,0.9517056695605164,0.9996003935755567,0.9520628973812277,0.9996190059920419,10533.201832093633,817.5391930620023,0.009,1.018642586164542,1.0872274387728131
