substrate,lambda,alpha_cost_mean,alpha_cost_std,alpha_cost_r2_mean,alpha_steps_mean,alpha_steps_std,msd_phys_mean,mean_cost_time,nr_frac_mean,nr_perp_mean,final_perp_mean
Penrose_N24,4,0.9613094023067716,0.006967047903449383,0.9997851163778945,0.96142496157237,0.006944520448632444,831.121420392373,2537.5653265306487,0.00726,1.094762408719699,1.1326087761846222
Penrose_N24,5,0.9609648378642266,0.007794440390108209,0.9998238532807079,0.9615620999166472,0.007541276827518103,835.3011690363215,3582.6220741753787,0.00692,1.058542233832219,1.1289361863598004
Penrose_N24,6,0.956869825371086,0.00672264670365723,0.999717858340104,0.9574575098083663,0.006947407165037772,823.9719075337564,5276.718559744687,0.00604,1.0463080699167122,1.132818280556402
Penrose_N24,7,0.9583856587039381,0.007040245894824808,0.9997133913203218,0.9595032693058675,0.006765529592103042,826.0256526038575,8050.510282913977,0.00608,1.1300356079184826,1.1325174864461343
Penrose_N24,8,0.9589347685446323,0.004667656097539636,0.9997715092646399,0.9588156246919489,0.0050415272093021195,828.2759491616241,12654.696938957097,0.00594,1.0511389386935417,1.1280918349035427
Penrose_N24,9,0.955003647339491,0.008820011680449675,0.999785433438112,0.9562182748567911,0.007506820105977963,827.7985876589066,20344.45098549615,0.0059,1.0867397543856194,1.1302129347911962
Penrose_N24,10,0.9543933439931405,0.0042905872663477436,0.9997951097365734,0.9552245462981634,0.0041753748108226485,827.9158718505993,33293.73070759514,0.0064600000000000005,1.0262945101870264,1.131579679493361
Penrose_N24,12,0.9575512716287807,0.007885631441497861,0.999840814754223,0.9591910776534409,0.008009799959408695,828.5414786504507,92617.27819413111,0.006500000000000001,1.0191380169304398,1.1290722288462622
Penrose_N24,14,0.960235826340021,0.006192970758853969,0.9997126185380628,0.9609197279813632,0.006112275499821625,827.089457370851,266521.1197111602,0.00642,1.076488449498585,1.13422860643738
Penrose_N24,16,0.9579097400967109,0.006264105878564653,0.999783058745862,0.95873170073873,0.006322602372414974,830.0030035606293,784383.1387345956,0.0064,1.067817642294433,1.1326447362697611
Penrose_N24,18,0.9565177302544778,0.011954670254979191,0.9998110738983618,0.9578561183131191,0.011244803746437819,826.1045207129004,2346650.8738979474,0.00634,1.0440862209843023,1.130940969847123
Penrose_N24,20,0.9616841689944098,0.008395446650182856,0.9997326626092736,0.9620174667467347,0.008872124163208183,834.7173472739341,7093816.298803946,0.0064600000000000005,1.0117328142299642,1.1347764286211093
