vertex_id,degree,vertex_type,depth,resultant_mag,net_drift,perp_x,perp_y,perp_dist_from_centre,type_rank
6600,3,F,0.3877271448353854,0.8047378540910316,0.8047378540666666,1.2218254069,0.2512626585,0.9062697850708433,5
6601,4,E,0.29647575250554103,0.6532814824545202,0.6532814824539697,0.5147186258,0.9583694397,1.0413376376084984,4
6602,5,D,0.7953497344361797,0.48284271248461896,0.48284271248,0.2218254069,-0.3345237792,0.30291780963791,3
6603,4,E,0.34477403747629565,0.6532814824150912,0.6532814823982086,-0.4852813742,0.372583002,0.9698478173910599,4
6604,4,E,0.40187801090273734,0.6532814824314233,0.6532814824077756,1.2218254069,-0.3345237792,0.8853240543541396,4
6605,5,D,0.684249278246216,0.48284271248876115,0.4828427124925661,0.5147186258,0.372583002,0.4673657117508995,3
6606,3,F,0.17758529153968117,0.8047378541243649,0.8047378541071364,-0.4852813742,0.7867965644,1.2173160949215123,5
6607,3,F,0.41911809179142956,0.8047378540910316,0.8047378540666666,1.2218254069,0.0796897832,0.8598057510849242,5
6608,4,E,0.41115077565238156,0.6532814824545202,0.6532814824539697,0.5147186258,0.7867965644,0.8715987577877693,4
6609,5,D,0.6898795390265802,0.48284271248461896,0.48284271247999994,0.2218254069,-0.5060966544,0.45903195142774816,3
6610,4,E,0.3893730015482165,0.6532814824150912,0.6532814823982086,-0.4852813742,0.2010101268,0.9038336323052697,4
6611,3,F,0.35809433484296904,0.8047378541243649,0.8047378541071363,1.2218254069,-0.5060966544,0.9501314720888836,5
6612,6,C,0.792050997691369,0.30795984418131694,0.30795984418875627,0.5147186258,0.2010101268,0.30780051089684657,2
6613,3,F,0.25499319765214135,0.8047378541243649,0.8047378540835661,-0.4852813742,0.6152236891,1.1027389977277093,5
6614,3,F,0.4282993142862861,0.8047378541076983,0.8047378540666666,1.2218254069,-0.091883092,0.8462159528978657,5
6615,4,E,0.5252236401551758,0.6532814824314233,0.6532814824077756,0.5147186258,0.6152236891,0.7027511769692992,4
