model,checkpoint,reader,auc,paired_frac,tie_frac,bal_acc,signed_sep
Growing,2000,departure_R1,0.7806,0.7550,0.0000,0.7188,99.665000
Growing,5000,presence,0.5215,0.5200,0.8300,0.5112,0.130000
Growing,5000,original_B0,0.7061,0.7050,0.0000,0.6600,16.265595
Growing,5000,added_D0,0.6796,0.6950,0.0000,0.6425,15.718169
Growing,5000,full_M0,0.7060,0.6950,0.0000,0.6300,31.983764
Growing,5000,departure_R0,0.7091,0.7000,0.0000,0.6300,31.203764
Growing,5000,original_B1,0.7046,0.7075,0.0150,0.6525,15.480000
Growing,5000,added_D1,0.6790,0.6925,0.0050,0.6362,15.070000
Growing,5000,full_M1,0.7043,0.6975,0.0050,0.6300,30.550000
Growing,5000,departure_R1,0.7073,0.7025,0.0050,0.6300,29.770000
Growing,10000,presence,0.4975,0.4975,0.9950,0.4988,-0.010000
Growing,10000,original_B0,0.5947,0.6050,0.0000,0.6000,0.625110
Growing,10000,added_D0,0.6409,0.6400,0.0000,0.6100,1.094744
Growing,10000,full_M0,0.6256,0.6350,0.0000,0.6075,1.719855
Growing,10000,departure_R0,0.6256,0.6350,0.0000,0.6075,1.779855
Growing,10000,original_B1,0.5636,0.5725,0.3150,0.5437,0.590000
Growing,10000,added_D1,0.6162,0.6075,0.3050,0.5787,1.030000
Growing,10000,full_M1,0.6134,0.6150,0.1200,0.5875,1.620000
Growing,10000,departure_R1,0.6134,0.6150,0.1200,0.5875,1.680000
Growing-MatchedControl,0,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Growing-MatchedControl,0,original_B0,1.0000,1.0000,0.0000,1.0000,140.000000
Growing-MatchedControl,0,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Growing-MatchedControl,0,full_M0,1.0000,1.0000,0.0000,1.0000,140.000000
Growing-MatchedControl,0,departure_R0,1.0000,1.0000,0.0000,0.9975,140.000000
Growing-MatchedControl,0,original_B1,1.0000,1.0000,0.0000,1.0000,128.000000
Growing-MatchedControl,0,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Growing-MatchedControl,0,full_M1,1.0000,1.0000,0.0000,1.0000,128.000000
Growing-MatchedControl,0,departure_R1,1.0000,1.0000,0.0000,0.9975,128.000000
Growing-MatchedControl,100,presence,0.4925,0.4875,0.2150,0.4900,-0.200000
Growing-MatchedControl,100,original_B0,0.9960,1.0000,0.0000,0.9600,140.944075
Growing-MatchedControl,100,added_D0,0.5926,0.5900,0.0000,0.5713,4.914950
Growing-MatchedControl,100,full_M0,0.9791,0.9800,0.0000,0.9125,145.859025
Growing-MatchedControl,100,departure_R0,0.9700,0.9800,0.0000,0.9050,147.059025
Growing-MatchedControl,100,original_B1,0.9904,0.9950,0.0000,0.9325,135.625000
Growing-MatchedControl,100,added_D1,0.5929,0.5950,0.0400,0.5763,5.170000
Growing-MatchedControl,100,full_M1,0.9670,0.9600,0.0000,0.8962,140.795000
Growing-MatchedControl,100,departure_R1,0.9590,0.9500,0.0000,0.8900,141.995000
Growing-MatchedControl,200,presence,0.5013,0.4575,0.1250,0.4975,-0.005000
Growing-MatchedControl,200,original_B0,0.9425,0.9450,0.0000,0.8500,129.123781
Growing-MatchedControl,200,added_D0,0.5478,0.5650,0.0000,0.5225,4.385431
Growing-MatchedControl,200,full_M0,0.8817,0.9150,0.0000,0.7850,133.509212
Growing-MatchedControl,200,departure_R0,0.8859,0.9050,0.0000,0.7825,133.539212
Growing-MatchedControl,200,original_B1,0.9269,0.9400,0.0000,0.8350,124.825000
Growing-MatchedControl,200,added_D1,0.5477,0.5675,0.0150,0.5238,4.545000
Growing-MatchedControl,200,full_M1,0.8644,0.8850,0.0000,0.7650,129.370000
Growing-MatchedControl,200,departure_R1,0.8680,0.8925,0.0050,0.7750,129.400000
Growing-MatchedControl,400,presence,0.5265,0.5150,0.0900,0.5162,0.500000
Growing-MatchedControl,400,original_B0,0.8371,0.8550,0.0000,0.7500,108.478305
