substrate,seed,threshold,control,n_near_loops,mean_perp_residue,median_perp_residue,mean_residue_high_depth_range,mean_residue_low_depth_range,mean_residue_high_excursion,mean_residue_low_excursion,mean_residue_high_cum_depth,mean_residue_low_cum_depth,mean_residue_dip_return,mean_residue_no_dip,n_dip_return,n_no_dip,spearman_depth_range_vs_residue,spearman_excursion_vs_residue,spearman_cum_depth_vs_residue,spearman_start_depth_vs_residue,mean_depth_range,mean_depth_excursion,mean_cum_abs_depth_change
AB_N30,5,1.0,real,27,0.9580972929803598,1.847759064947762,0.5279311614400429,1.0558623228668875,0.5279311614400429,1.319827903586909,1.3198279036001073,0.5279311614400429,0.4264059380861885,1.451810693953519,13,14,-0.14928731380121674,-0.3077413924849643,0.3850041250662958,-0.29988416544279506,0.92639988580871,0.340366716115312,302.951670391039
AB_N30,5,2.0,real,140,1.039032202155862,0.76536686473746,0.9866247176726004,1.1063004963746468,0.857129673942685,1.250681315594205,1.1383457708494193,0.8661875406748841,0.8387529738454467,1.2393114304662771,70,70,-0.0349014109951834,-0.30502324686153404,0.21443286274160528,-0.3171378831466605,0.9347820372495077,0.3776034037215925,303.87943739223897
AB_N30,5,3.0,real,192,1.1037244547120937,1.0823922002644217,1.060038616087219,1.0991280785391682,0.911225329783936,1.3440893006758021,1.1343761571266375,0.9879869960329848,0.939357073923205,1.2786961826486527,99,93,-0.023041108720496757,-0.3325678478497781,0.14305261560024668,-0.3423425546482719,0.9356378822910957,0.3751127355273738,304.17323676329596
AB_N30,6,1.0,real,20,0.46193976625350464,0.0,0.7391036259899287,0.3695518130080301,0.36955181300803003,0.3695518130080301,0.3695518130080301,0.7391036259899287,0.24636787532997625,1.1086554390240901,15,5,0.027686562682999207,-0.20468280269217268,-0.07910446480856916,-0.259067122248064,0.9265089161241089,0.3390691961004357,300.94482563098
AB_N30,6,2.0,real,118,0.9427463417741768,0.76536686473746,1.0282963484701706,0.8965311870139986,0.8185995177890266,1.000090806344518,0.9352061365803116,0.9896213989041139,0.8342905901761745,1.0757581126019151,65,53,0.09607180487823702,-0.2103176935570295,0.000722792961318638,-0.21519693900101283,0.9319742946396522,0.3920284883217357,302.91381391170484
AB_N30,6,3.0,real,169,1.0513095613829118,1.08239220030269,1.1431674423976348,0.9779460226888435,0.8762327472286872,1.2075646717510709,1.0532475557778773,1.112895502198674,0.9335479884121811,1.1762517180713703,87,82,0.10986654786279561,-0.26961641958039834,-0.009187886369244933,-0.27858253729644405,0.9333725560405504,0.37971462603426837,303.02342952480905
AB_N30,7,1.0,real,26,0.4974735944303331,0.0,0.5279311614400429,1.0558623228800859,0.0,0.5279311614400429,0.0,0.26396558072002146,0.27716385975602253,1.2318393766780353,20,6,-0.25503151664269746,-0.28773919815319937,-0.1237587949046019,-0.29967308194757175,0.940942072364089,0.45037702664028073,303.57266111547483
AB_N30,7,2.0,real,137,0.9395574863279587,0.76536686473746,0.8711351314181659,1.0474551071829865,0.7511206980486058,1.0713639186216584,0.7791397854587709,1.0010529187737347,0.8290712858036378,1.0946258379410405,80,57,-0.14097988886852203,-0.18246033390573546,-0.13939308968370104,-0.17601572872621352,0.9357724654461191,0.41098776420326716,303.37560214091576
AB_N30,7,3.0,real,203,1.055550613379839,1.0823922002644217,0.9487303492066754,1.1418579283759542,0.821393269896014,1.2795982250798177,0.9400177708554354,1.1540411646215705,0.9485913289256698,1.192554640658213,114,89,-0.12096653219046412,-0.26444902346086663,-0.13994481713081533,-0.2598463130064254,0.934633789400128,0.3955900681822606,302.97167889058073
AB_N30,8,1.0,real,35,0.8974829744357803,0.0,0.8212262511186902,0.6159196883424646,0.4106131255602257,1.2318393766831681,1.0265328138864118,0.8212262511101862,0.5279311614294218,1.4518106939453184,21,14,-0.008458340232812351,-0.3483778883389587,0.06690682706888865,-0.37435707619688235,0.9308608250193481,0.41778841749544376,302.9557679645873
