substrate,seed,threshold,phys_return_dist,perp_residue,start_depth,min_depth,max_depth,depth_range,depth_excursion,cum_abs_depth_change,mean_depth,sign_changes,dip_return,cum_perp_path
AB_N30,0,2.0,1.8477590650401505,0.76536686473746,0.34750804055123774,0.017568767024822574,0.9714384566178691,0.9538696895930465,0.32993927352641517,284.2653675693697,0.4815568522923618,780,True,1024.0000000018713
AB_N30,0,2.0,1.4142135624000005,1.4142135624,0.19155618740175284,0.03371206652210568,0.9782509470977067,0.944538880575601,0.15784412087964717,289.9419369801422,0.4839799151443888,791,False,1023.9999999990175
AB_N30,0,2.0,1.8477590650401536,0.76536686473746,0.7310591577156034,0.02573842920064362,0.946633561890836,0.9208951326901924,0.7053207285149597,307.0563074767398,0.49402389817515696,795,True,1024.000000000918
AB_N30,0,2.0,1.8477590650401472,0.76536686473746,0.06850679677836446,0.04757109452309971,0.9590168678298647,0.911445773306765,0.020935702255264754,307.13209244742836,0.47873436991816387,794,False,1024.0000000021464
AB_N30,0,2.0,1.8477590650401496,0.76536686473746,0.7435055459693833,0.017447678381048548,0.9739926672107198,0.9565449888296712,0.7260578675883348,312.59724142742556,0.4845577943368107,806,False,1024.0000000016241
AB_N30,0,2.0,2.0,2.0,0.3798796559824833,0.02311289290527163,0.9690946256643168,0.9459817327590452,0.35676676307721167,306.0446414803862,0.466544303187934,783,False,1024.0000000007838
AB_N30,0,2.0,1.8477590650401456,0.76536686473746,0.6551790004893806,0.060054175232422624,0.9794686958529206,0.919414520620498,0.595124825256958,295.35620308069923,0.4772914044232118,788,False,1023.9999999975884
AB_N30,0,2.0,1.847759065040148,0.76536686473746,0.5677330548416141,0.03369094285746166,0.9773318533103368,0.9436409104528751,0.5340421119841524,305.28395445414174,0.4793038603172954,791,False,1024.0000000019832
AB_N30,0,2.0,1.8477590650401472,0.76536686473746,0.17016610467475224,0.02604649306590201,0.943153357575462,0.91710686450956,0.14411961160885023,304.4391659402203,0.47956584427288074,786,False,1023.9999999994267
AB_N30,0,2.0,1.8477590650401536,0.76536686473746,0.3164234221466963,0.047927741419573455,0.9636434803883874,0.915715738968814,0.2684956807271228,300.34369664650814,0.49161045335689874,799,True,1024.0000000003367
AB_N30,0,2.0,1.9999999999673381,1.9999999999673386,0.24071736438544644,0.0076016816649838725,0.997205341051542,0.9896036593865581,0.23311568272046257,311.59460814408703,0.48579392985088415,800,True,1023.9999999985549
AB_N30,0,2.0,0.0,0.0,0.4954594851791796,0.021022979845770395,0.9516709657095461,0.9306479858637757,0.4744365053334092,306.75091917178815,0.4843735210260973,803,True,1023.9999999989012
AB_N30,0,2.0,1.8477590650018794,0.7653668646450721,0.8030024258214566,0.054767216030733645,0.9775275473069053,0.9227603312761716,0.748235209790723,314.00041630759705,0.48921959550779687,796,False,1023.9999999963374
AB_N30,0,2.0,1.4142135624000005,1.4142135624,0.4359122013954636,0.029124741941843113,0.9356723292674907,0.9065475873256476,0.4067874594536205,294.934334130855,0.4819089734657911,808,True,1024.0000000021648
AB_N30,0,2.0,1.8477590650401456,0.76536686473746,0.22433036387893723,0.03371206652210568,0.9782509470977067,0.944538880575601,0.19061829735683156,308.36732705732993,0.48351122775969363,797,False,1023.9999999985082
AB_N30,0,2.0,1.4142135624000005,1.4142135624,0.34312907908035517,0.00013626652507470194,0.9656780064199346,0.9655417398948599,0.34299281255528047,309.44757539741187,0.464212365119745,788,True,1023.9999999970915
AB_N30,0,2.0,1.4142135624,1.4142135624,0.3494144317169823,0.003269900366847822,0.9744059615259641,0.9711360611591163,0.34614453135013445,306.3059186327382,0.4723868807569859,764,True,1023.9999999999086
AB_N30,0,2.0,1.847759064947761,0.7653668647757284,0.5938584947675815,0.028645693340112688,0.9553369881679582,0.9266912948278455,0.5652128014274688,306.7456756216527,0.4820597585767299,790,False,1023.9999999975947
AB_N30,0,2.0,1.4142135623730951,1.4142135623730951,0.3437673470200565,0.017447678381048548,0.9739926672107198,0.9565449888296712,0.32631966863900796,305.7046216581663,0.47888743494639785,772,True,1024.0000000008117
AB_N30,0,2.0,1.8477590650401472,0.76536686473746,0.7152908801563678,0.02401623862487423,0.997205341051542,0.9731891024266678,0.6912746415314935,300.19920246112497,0.4797411069001207,777,True,1023.9999999957129
AB_N30,0,2.0,1.8477590650401519,0.76536686473746,0.6023949991669086,0.02604649306590201,0.9828880940828411,0.956841601016939,0.5763485061010066,299.26072833363304,0.47814967588482143,768,True,1024.0000000026378
AB_N30,0,2.0,1.8477590649477638,0.7653668647757284,0.1784066945294005,0.02682482733220537,0.9808785270550613,0.9540536997228559,0.15158186719719513,297.63691598900414,0.4728063797033153,771,False,1024.0000000000086
AB_N30,0,2.0,0.0,0.0,0.138814954085135,0.04539739194553016,0.9775275473069053,0.9321301553613751,0.09341756213960484,303.6590866367684,0.48132002395748696,775,False,1024.000000001245
AB_N30,0,2.0,1.8477590650401474,0.76536686473746,0.3716355084518095,0.0521053061086475,0.997205341051542,0.9451000349428945,0.319530202343162,295.04206690445443,0.4757400089078437,777,True,1024.0000000001178
AB_N30,0,2.0,1.847759065040149,0.76536686473746,0.5312847106779852,0.04181039200327363,0.9817341603070816,0.939923768303808,0.4894743186747116,301.7904601829956,0.4875834627169607,797,True,1024.000000004573
AB_N30,0,2.0,1.8477590650401536,0.76536686473746,0.7150462084778308,0.02311289290527163,0.965613721996829,0.9425008290915574,0.6919333155725592,309.43623746165133,0.48197665750864627,801,True,1024.0000000016025
AB_N30,0,2.0,1.8477590650401505,0.76536686473746,0.23180399545034314,0.03555509481180308,0.9634116658901226,0.9278565710783195,0.19624890063854006,301.7944604100271,0.4711827293539805,756,False,1023.9999999948536
AB_N30,0,2.0,1.8477590650018827,0.765366864645072,0.6101497898426796,0.027785519490396426,0.9568743568087723,0.9290888373183759,0.5823642703522832,315.8904658639176,0.4708291363433103,775,False,1023.9999999980895
AB_N30,0,2.0,0.0,0.0,0.19699244611636124,0.042983235987749,0.9802168214973057,0.9372335855095567,0.15400921012861224,310.5733496099757,0.4798918615865826,797,False,1024.0000000011605
AB_N30,0,2.0,1.4142135623730951,1.414213562373095,0.5873923121040496,0.01847019215471324,0.9714384566178691,0.9529682644631559,0.5689221199493364,296.56604888376,0.47971614397937307,787,False,1023.9999999992391
