model,seed,history,checkpoint,M,struct_access,eff_alt,edge_count,total_weight,n_active
Fixed,2,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,3,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,4,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,5,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,6,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,7,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,8,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,9,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,10,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,11,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,12,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,13,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,14,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,15,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,16,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,17,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,18,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,19,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,20,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,21,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,22,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,23,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,24,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,25,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,26,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,27,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,28,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,29,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,30,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,31,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,32,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,33,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,34,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,35,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,36,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,37,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,38,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,39,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,40,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,41,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,42,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,43,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,44,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,45,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,46,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,47,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,48,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,49,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,50,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,51,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,52,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,53,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,54,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,55,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,56,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,57,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,58,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,59,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,60,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,61,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,62,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,63,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,64,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,65,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,66,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,67,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,68,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,69,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,70,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,71,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,72,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,73,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,74,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,75,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,76,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,77,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,78,A,100,0.000000,40,256.000000,144,144.000000,0
