vertex_id,substrate,depth,drift_mag,alignment_angle,radial_drift,tangential_drift,pos_mag,degree,depth_bin
133,AB_N30,0.2532345137226465,0.8047378540666666,-170.93425224244126,-0.7946852132235475,-0.12680073206282577,1.1053421542997288,3,"(0.239, 0.259]"
134,AB_N30,0.4499153798316923,0.8047378541071364,175.8848411988723,-0.8026631046204246,0.05774906331760021,0.8142204350324761,3,"(0.439, 0.459]"
135,AB_N30,0.8670731285181703,2.5000002068509275e-11,62.27548553455275,1.1630521613118175e-11,2.2129868287729577e-11,0.19675477400609034,8,"(0.858, 0.878]"
136,AB_N30,0.7281777295808659,0.4828427124925661,-152.16282282673876,-0.42696726898537374,-0.22546848166063116,0.40234400155464284,5,"(0.718, 0.738]"
137,AB_N30,0.16224970897060043,0.6532814824077756,-174.1735923148961,-0.6499066473892385,-0.06631775732170772,1.2400154110868196,4,"(0.16, 0.18]"
138,AB_N30,0.5764566908967743,0.6532814823982086,168.41672748537673,-0.6399766945586822,0.13117364699566691,0.6269173955229068,4,"(0.558, 0.578]"
139,AB_N30,0.5977110344705707,0.48284271248,171.1573614899389,-0.4771037687891381,0.0742231689046251,0.5954572887748009,5,"(0.578, 0.598]"
140,AB_N30,0.4577842249717312,0.6532814824539697,-173.8802890986541,-0.6495586457674014,-0.06964381541871353,0.8025731824494727,4,"(0.439, 0.459]"
141,AB_N30,0.2625608927384643,0.8047378540666666,-179.8638700055769,-0.8047355827032885,-0.0019119882380557484,1.0915374993409817,3,"(0.259, 0.279]"
142,AB_N30,0.36794024437573625,0.8047378541071364,-176.14551168722375,-0.8029175295044887,-0.054096715680041374,0.9355578220555355,3,"(0.359, 0.379]"
143,AB_N30,0.9381348354436405,2.5000002068509275e-11,1.6228989706273855,2.4989973967097085e-11,7.080286359166655e-13,0.09157114987694558,8,"(0.937, 0.957]"
144,AB_N30,0.6745484588535957,0.4828427124925661,-172.0582106741745,-0.4782117453680498,-0.06671290429311583,0.4817246032676521,5,"(0.658, 0.678]"
145,AB_N30,0.21062796531157346,0.8047378540666666,-159.10043524591347,-0.7517918847030642,-0.2870748610771036,1.1684072194016795,3,"(0.199, 0.219]"
146,AB_N30,0.540195374506881,0.6532814823982086,-177.25174784807598,-0.6525301104573991,-0.03132331704745528,0.6805904191329754,4,"(0.539, 0.558]"
147,AB_N30,0.7116962178273736,0.14285714285714285,167.6139702060913,-0.1395320867682074,0.03064245465715123,0.4267394912264236,7,"(0.698, 0.718]"
148,AB_N30,0.727123145020713,0.3079598441887563,-139.63415203609378,-0.23464214849471504,-0.1994550771039614,0.4039049692091895,6,"(0.718, 0.738]"
149,AB_N30,0.07316544368406508,0.8047378541071364,172.28319365237653,-0.7974500317656763,0.10805767288758616,1.3718755405591874,3,"(0.0599, 0.0798]"
150,AB_N30,0.5757791070990437,0.6532814823982086,146.11855280688616,-0.5423496115853679,0.3641889537830624,0.6279203368056322,4,"(0.558, 0.578]"
151,AB_N30,0.43516979856929516,0.48284271248,173.71437980168886,-0.47994008647297004,0.052863961177365436,0.8360464471587599,5,"(0.419, 0.439]"
152,AB_N30,0.594016989047907,0.6532814824539697,-162.72858202873624,-0.6238243843143597,-0.19395832761721313,0.6009251152887483,4,"(0.578, 0.598]"
153,AB_N30,0.24418057126758175,0.8047378540666666,-167.33766183315166,-0.7851656984937383,-0.1764024933969582,1.1187435560009185,3,"(0.239, 0.259]"
154,AB_N30,0.4800732809596866,0.8047378541071364,171.8814179700537,-0.7966726980225332,0.11364693598358155,0.7695815222619483,3,"(0.479, 0.499]"
155,AB_N30,0.8231558015758111,3.535534198464125e-11,114.53174802289503,-1.4679445904099512e-11,3.216386287123411e-11,0.26176001817657857,8,"(0.818, 0.838]"
156,AB_N30,0.7382936928972261,0.48284271250670824,-142.06714268032647,-0.3808333447500656,-0.2968215769571232,0.3873706251862955,5,"(0.738, 0.758]"
157,AB_N30,0.13843049725231882,0.6532814823982086,-171.36183750100804,-0.6458710244260831,-0.0981188822357991,1.2752719665626953,4,"(0.12, 0.14]"
158,AB_N30,0.5828767817926349,0.6532814824077756,161.92714899988385,-0.6210504265499114,0.20266490307666493,0.6174145499414828,4,"(0.578, 0.598]"
159,AB_N30,0.5502079705777555,0.48284271248,172.09757097463054,-0.4782574620652225,0.06638437296514998,0.6657700441765958,5,"(0.539, 0.558]"
160,AB_N30,0.499402511586456,0.6532814824539697,-171.2471290243049,-0.6456732922478254,-0.09941174475438116,0.7409709158338758,4,"(0.499, 0.519]"
161,AB_N30,0.2608856995273555,0.8047378540666666,-176.1392997920711,-0.8029116596862124,-0.054183766090550006,1.094017075200956,3,"(0.259, 0.279]"
162,AB_N30,0.4032593248351123,0.8047378541071364,-179.18016434249952,-0.8046554734281788,-0.011514465468795532,0.8832794706851931,3,"(0.399, 0.419]"
163,AB_N30,0.9206223530831189,2.5000002068509275e-11,38.824949946628216,1.9476627385446176e-11,1.5673579333194966e-11,0.11749265446603878,8,"(0.917, 0.937]"
164,AB_N30,0.7010171493180484,0.4828427124925661,-164.69531650104324,-0.46571910398509897,-0.12744724865800514,0.4425463607308718,5,"(0.698, 0.718]"
165,AB_N30,0.1922538381127914,0.6532814823982086,-178.41715531139153,-0.6530322100681711,-0.018045161619692496,1.195604107466932,4,"(0.18, 0.199]"
166,AB_N30,0.5585338823961641,0.6532814823982086,177.10301899331023,-0.6524466027806377,0.033017052630504834,0.6534462538100293,4,"(0.558, 0.578]"
167,AB_N30,0.6646423942857249,0.48284271248,169.3737762336228,-0.474562468543846,0.08903678141428449,0.49638729316333335,5,"(0.658, 0.678]"
168,AB_N30,0.39730138028427053,0.6532814824077756,-176.97370884054743,-0.6523704254344109,-0.03448946615166082,0.8920982596973299,4,"(0.379, 0.399]"
169,AB_N30,0.25960211363922914,0.8047378540666666,174.874233076523,-0.8015196972122971,0.07189707051425083,1.095917004451681,3,"(0.259, 0.279]"
170,AB_N30,0.31534883758402676,0.8047378540835661,-172.4040102952992,-0.7976761143028234,-0.10637589231480926,1.013402205532052,3,"(0.299, 0.319]"
171,AB_N30,0.9094467460861212,0.1428571428857143,-136.92799613618885,-0.10435657915267676,-0.09755955955733146,0.1340344868627769,7,"(0.897, 0.917]"
172,AB_N30,0.6296441718004766,0.6532814824539697,-157.9713179382148,-0.6055894593971596,-0.24502673728455068,0.5481907192045546,4,"(0.618, 0.638]"
173,AB_N30,0.23222538684031013,0.8047378540666666,-163.8396115086338,-0.7729397137111046,-0.22398038471263315,1.1364392979074787,3,"(0.219, 0.239]"
174,AB_N30,0.5073895783972363,0.8047378541071364,167.4100038630625,-0.7853877995822987,0.175410997660448,0.729148674718832,3,"(0.499, 0.519]"
175,AB_N30,0.7775394006134886,2.5000002068509275e-11,73.86011677446822,6.949585032122962e-12,2.4014649098139256e-11,0.3292801859369388,8,"(0.758, 0.778]"
176,AB_N30,0.7398009106746706,0.3079598441887563,-154.01543120812693,-0.27682882353570487,-0.13492615792573598,0.3851396820378324,6,"(0.738, 0.758]"
177,AB_N30,0.11265057812534773,0.8047378541071364,168.79263606682622,-0.7893916507382416,0.15640919275321669,1.3134307083218122,3,"(0.0998, 0.12]"
178,AB_N30,0.5838207668851935,0.6532814823982086,155.32223391853498,-0.5936174574432261,0.27275448568821103,0.6160172886392271,4,"(0.578, 0.598]"
179,AB_N30,0.5026069379573392,0.48284271248,172.85799579574729,-0.4790963636583753,0.06003131952877397,0.7362278102496261,5,"(0.499, 0.519]"
180,AB_N30,0.5397736702881619,0.6532814824539697,-168.14444650383754,-0.6393461071926987,-0.1342134513929152,0.6812146143564581,4,"(0.539, 0.558]"
181,AB_N30,0.256108884415682,0.8047378540666666,-172.44707896912857,-0.7977558506316637,-0.10577625702762586,1.1010875882378528,3,"(0.239, 0.259]"
182,AB_N30,0.43669736149177574,0.8047378541071364,177.41435819781515,-0.80391855555928,0.03630385462233193,0.8337853896747294,3,"(0.419, 0.439]"
183,AB_N30,0.8843070723329396,2.5000002068509275e-11,57.688538313099265,1.3363036815722097e-11,2.112887480409508e-11,0.17124555466835775,8,"(0.878, 0.897]"
184,AB_N30,0.7216597140066108,0.48284271246428184,-156.0774132499875,-0.441363709483249,-0.19579366928236291,0.4119917926068534,5,"(0.718, 0.738]"
185,AB_N30,0.17150133052279326,0.6532814823886415,-175.3843528452826,-0.6511628509600956,-0.052570303037182076,1.2263214101117015,4,"(0.16, 0.18]"
186,AB_N30,0.5722443421798147,0.6532814823886415,171.03329166783251,-0.6452977751107716,0.10182080666047044,0.6331524006095458,4,"(0.558, 0.578]"
187,AB_N30,0.6173501509311725,0.48284271244,170.69959470020666,-0.47649553892047547,0.07803259796586402,0.5663879976840737,5,"(0.598, 0.618]"
188,AB_N30,0.44024536596385166,0.6532814824539697,-174.85541484269845,-0.6506497968376149,-0.058579323932823085,0.8285337290413763,4,"(0.439, 0.459]"
189,AB_N30,0.2623400053549467,0.8047378540666666,178.59122219781568,-0.8044946099806558,0.01978474866901587,1.0918644508951731,3,"(0.259, 0.279]"
190,AB_N30,0.3528316769840786,0.8047378541071364,-174.98692583806442,-0.8016595582603989,-0.07032045564912753,0.9579211164712004,3,"(0.339, 0.359]"
191,AB_N30,0.9355552223478532,2.5000002068509275e-11,-16.344572583968677,2.39896684891751e-11,-7.035332913583223e-12,0.09538942368439134,8,"(0.917, 0.937]"
192,AB_N30,0.6621905800951386,0.4828427124925661,-174.75105540151606,-0.4808179660842532,-0.044172032982202264,0.5000164024743102,5,"(0.658, 0.678]"
193,AB_N30,0.21750192662496037,0.8047378540666666,-160.4609652868242,-0.7583961033037282,-0.26914376132755624,1.1582325670558824,3,"(0.199, 0.219]"
194,AB_N30,0.5313671029827753,0.6532814823982086,-175.05199137669211,-0.6508469472069975,-0.05634666410474298,0.6936577888019233,4,"(0.519, 0.539]"
195,AB_N30,0.7310871953540636,0.14285714285714288,166.70502914836766,-0.13902843738418255,0.03285204504773733,0.3980374887006017,7,"(0.718, 0.738]"
196,AB_N30,0.7325537971259841,0.3079598441887563,-143.69268997829127,-0.24817028557717574,-0.18234795032932538,0.3958666642692857,6,"(0.718, 0.738]"
197,AB_N30,0.08507567778787761,0.8047378541071364,171.292209755766,-0.7954618914840822,0.12183346432538472,1.354246332910412,3,"(0.0798, 0.0998]"
