depth_bin,n,mean_depth,mean_radial,mean_tangential,mean_abs_tangential,frac_outward,mean_drift_mag,substrate
"(0.358, 0.378]",585,0.36787514764294754,-0.7835118765669947,0.0028246245640649323,0.16272415711746926,0.0,0.8080002872979839,Penrose_N24
"(0.378, 0.398]",567,0.3878753719659707,-0.7705974886627992,-0.004080198065486786,0.15439254141509123,0.0,0.7933386183670397,Penrose_N24
"(0.398, 0.418]",566,0.40769805630478595,-0.7567282438397285,0.004014957022003864,0.15448527307046606,0.0,0.780531417462677,Penrose_N24
"(0.418, 0.438]",575,0.42762156243661964,-0.7323003808097561,-0.0025897223777722337,0.15011053242952216,0.0,0.7553960067464759,Penrose_N24
"(0.438, 0.457]",589,0.4476317493815318,-0.7163087155188738,-0.002092011477522603,0.1471238218647136,0.0,0.7399223813932089,Penrose_N24
"(0.457, 0.477]",632,0.4675155474993683,-0.6801125382355153,-0.0022513988369514356,0.14500959421236181,0.0,0.7036247629768854,Penrose_N24
"(0.477, 0.497]",684,0.4874263813526115,-0.656837122202976,-0.000613622654603985,0.14365069671687547,0.0,0.681025866176381,Penrose_N24
"(0.497, 0.517]",720,0.507473422288064,-0.6337780455650219,-0.0007840601589586505,0.1335340842049186,0.0,0.6553008340236904,Penrose_N24
"(0.517, 0.537]",726,0.5273035807018207,-0.6131808827770145,0.0023782038594581316,0.13754361766697895,0.0,0.636224886238193,Penrose_N24
"(0.537, 0.557]",751,0.5469965918664249,-0.5990184639643641,0.001974531049725184,0.13624439109690642,0.0,0.622455488409788,Penrose_N24
"(0.557, 0.577]",765,0.5667748915483639,-0.5793248074918227,-0.0002585261169803071,0.13474875987946472,0.0,0.6028090015194312,Penrose_N24
"(0.577, 0.597]",728,0.5867074955540247,-0.5605564492667934,9.18255787481678e-05,0.1333550200048474,0.0,0.5843793948303877,Penrose_N24
"(0.597, 0.617]",710,0.6064608350930086,-0.5464510190214662,-0.0005986716452107689,0.13180590710319187,0.0,0.5703745520406416,Penrose_N24
"(0.617, 0.636]",660,0.6264693384959931,-0.5225273462790337,-0.0003681057530873769,0.12198847140620855,0.0,0.5435243088122301,Penrose_N24
"(0.636, 0.656]",635,0.6462981171720967,-0.47989221213727745,-0.0002564930969872922,0.11655590549766003,0.0015748031496062992,0.501632100308057,Penrose_N24
"(0.656, 0.676]",601,0.6662423226442897,-0.4322456554528571,-0.0032033483305187113,0.1145561968435902,0.0,0.45604812336846456,Penrose_N24
"(0.676, 0.696]",570,0.686215661249342,-0.40473101649191656,0.001634939331369293,0.10496543819294459,0.0,0.42517190939145033,Penrose_N24
"(0.696, 0.716]",534,0.7057684977812557,-0.36265041645064117,-0.0019176785697868652,0.09451954091143677,0.0,0.3809968709202149,Penrose_N24
"(0.716, 0.736]",499,0.7257839639525189,-0.31037383488602954,-0.0016355886386927737,0.08106326293028261,0.008016032064128256,0.32770263880031464,Penrose_N24
"(0.736, 0.756]",453,0.7456389626161775,-0.2758065250235006,0.003189547629990235,0.07324861615469411,0.026490066225165563,0.29544602731070957,Penrose_N24
"(0.756, 0.776]",423,0.7655362762112892,-0.21501834437175482,0.0005411956199746203,0.05668735726175171,0.09456264775413711,0.2332198817956547,Penrose_N24
"(0.776, 0.796]",400,0.7853014257459396,-0.199383403175908,0.0008037122376296497,0.05634508369011957,0.105,0.21857412386985636,Penrose_N24
"(0.796, 0.815]",353,0.8054616897191372,-0.1590086474715605,0.0016740547012638039,0.05332376704635887,0.141643059490085,0.1799512916595533,Penrose_N24
"(0.815, 0.835]",322,0.8253985954877141,-0.13206470220228553,-0.0021410710220379423,0.04754799607333238,0.17080745341614906,0.15331623276013737,Penrose_N24
"(0.835, 0.855]",280,0.8453428536307133,-0.09951365943425124,-0.0010931845099889953,0.035804846890716266,0.2642857142857143,0.11649709746093269,Penrose_N24
"(0.855, 0.875]",256,0.8651126709026273,-0.07324668233473987,0.004555909258262398,0.035280343563263095,0.37890625,0.09798968821898935,Penrose_N24
"(0.875, 0.895]",215,0.8852279935681074,-0.03907071028428339,-0.00800534296806111,0.03464831247221563,0.42790697674418604,0.07148685618698124,Penrose_N24
"(0.895, 0.915]",169,0.904962967194993,-0.022507065948779978,-0.00035665597266696416,0.02742241901141002,0.44970414201183434,0.05850939554177998,Penrose_N24
"(0.915, 0.935]",138,0.924243359928803,-0.023109011067295872,0.005649233113967365,0.024207764316974304,0.463768115942029,0.04468599035507544,Penrose_N24
"(0.935, 0.955]",105,0.9444830813895123,0.005212469912309996,0.002586248972621744,0.012495218730649555,0.6,0.020634920650948126,Penrose_N24
"(0.955, 0.975]",66,0.9640860110820444,-0.011248402300975659,-0.0076135031698014504,0.015465163240869039,0.5454545454545454,0.02272727275126022,Penrose_N24
"(0.975, 0.994]",28,0.983455640460486,0.008928502256523781,3.514559528335989e-05,3.5145604212041493e-05,0.5714285714285714,0.008928571454836717,Penrose_N24
