arm,patch,pair,seed,replicate,budget,S_local_null
regular,0,0,6,1,300,0.00000
regular,0,0,6,1,1000,0.00000
regular,0,1,6,1,100,0.00000
regular,0,1,6,1,300,0.00000
regular,0,1,6,1,1000,0.00000
regular,0,2,6,1,100,0.00000
regular,0,2,6,1,300,6.00000
regular,0,2,6,1,1000,5.00000
regular,0,0,6,2,100,0.00000
regular,0,0,6,2,300,0.00000
regular,0,0,6,2,1000,-2.00000
regular,0,1,6,2,100,0.00000
regular,0,1,6,2,300,0.00000
regular,0,1,6,2,1000,-2.00000
regular,0,2,6,2,100,7.00000
regular,0,2,6,2,300,7.00000
regular,0,2,6,2,1000,5.00000
regular,0,0,6,3,100,-2.00000
regular,0,0,6,3,300,-2.00000
regular,0,0,6,3,1000,-2.00000
regular,0,1,6,3,100,-2.00000
regular,0,1,6,3,300,-2.00000
regular,0,1,6,3,1000,-2.00000
regular,0,2,6,3,100,3.00000
regular,0,2,6,3,300,4.00000
regular,0,2,6,3,1000,4.00000
regular,0,0,6,4,100,-2.00000
regular,0,0,6,4,300,-3.00000
regular,0,0,6,4,1000,-2.00000
regular,0,1,6,4,100,-2.00000
regular,0,1,6,4,300,-3.00000
regular,0,1,6,4,1000,-2.00000
regular,0,2,6,4,100,-2.00000
regular,0,2,6,4,300,-1.00000
regular,0,2,6,4,1000,4.00000
regular,0,0,7,0,100,0.00000
regular,0,0,7,0,300,5.00000
regular,0,0,7,0,1000,5.00000
regular,0,1,7,0,100,0.00000
regular,0,1,7,0,300,5.00000
regular,0,1,7,0,1000,5.00000
regular,0,2,7,0,100,-1.00000
regular,0,2,7,0,300,49.00000
regular,0,2,7,0,1000,53.00000
regular,0,0,7,1,100,0.00000
regular,0,0,7,1,300,0.00000
regular,0,0,7,1,1000,4.00000
regular,0,1,7,1,100,0.00000
regular,0,1,7,1,300,0.00000
regular,0,1,7,1,1000,4.00000
regular,0,2,7,1,100,0.00000
regular,0,2,7,1,300,-1.00000
regular,0,2,7,1,1000,53.00000
regular,0,0,7,2,100,3.00000
regular,0,0,7,2,300,5.00000
regular,0,0,7,2,1000,5.00000
regular,0,1,7,2,100,3.00000
regular,0,1,7,2,300,5.00000
regular,0,1,7,2,1000,5.00000
regular,0,2,7,2,100,46.00000
