vertex_id,substrate,depth,mean_nbr_mismatch,max_nbr_mismatch,std_nbr_mismatch,mean_nbr_depth_diff,degree,perp_x,perp_y,depth_bin
2563,AB_N30,0.7598539263733498,0.999999999985942,1.0000000000190246,2.7444081975171614e-11,0.3919269403433144,6,0.0208152802,-0.091883092,"(0.758, 0.778]"
2564,AB_N30,0.14473281741752297,0.9999999999827714,1.0,2.4365008792599503e-11,0.37021984445542516,3,-0.686291501,0.6152236891,"(0.14, 0.16]"
2565,AB_N30,0.5640597915136671,0.9999999999918345,1.0000000000190246,2.6299671694705824e-11,0.16017902110181356,4,1.0208152802,-0.091883092,"(0.558, 0.578]"
2566,AB_N30,0.5327046374243699,0.9999999999793255,1.0,2.5320887087986382e-11,0.20874286953064508,5,0.313708499,0.6152236891,"(0.519, 0.539]"
2567,AB_N30,0.5266751058872385,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.17768855696539615,4,0.0208152802,-0.6776695297,"(0.519, 0.539]"
2568,AB_N30,0.279077979820863,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3368407373600389,3,-0.686291501,0.0294372515,"(0.259, 0.279]"
2569,AB_N30,0.4029990083059597,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.24167670585260484,3,1.0208152802,-0.6776695297,"(0.399, 0.419]"
2570,AB_N30,0.9186884912125634,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.5967339552120935,8,0.313708499,0.0294372515,"(0.917, 0.937]"
2571,AB_N30,0.7280438269199216,1.0000000000114146,1.0000000000190246,9.320119966958144e-12,0.3127889496563669,5,0.0208152802,-0.2634559673,"(0.718, 0.738]"
2572,AB_N30,0.20186262012541656,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.2613546800570705,4,-0.686291501,0.4436508139,"(0.199, 0.219]"
2573,AB_N30,0.5457600977752259,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.17077090271918308,4,1.0208152802,-0.2634559673,"(0.539, 0.558]"
2574,AB_N30,0.6479967621808197,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.22529442918164663,5,0.313708499,0.4436508139,"(0.638, 0.658]"
2575,AB_N30,0.423741632806932,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.21861542538199666,4,0.0208152802,-0.8492424049,"(0.419, 0.439]"
2576,AB_N30,0.2809609817913723,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3415912757762434,3,-0.686291501,-0.1421356237,"(0.279, 0.299]"
2577,AB_N30,0.3184961963005404,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.3148043538644501,3,1.0208152802,-0.8492424049,"(0.299, 0.319]"
2578,AB_N30,0.9375491233964759,1.0000000000108713,1.0000000000190246,9.414715429806852e-12,0.6080133301450718,7,0.313708499,-0.1421356237,"(0.937, 0.957]"
2579,AB_N30,0.6577686103058313,0.999999999974157,1.0,2.5842966655576254e-11,0.18247113987285055,4,0.0208152802,-0.4350288425,"(0.638, 0.658]"
2580,AB_N30,0.24538967586492733,0.9999999999891128,1.0000000000190246,2.987633211460155e-11,0.3112128702798334,3,-0.686291501,0.2720779386,"(0.239, 0.259]"
2581,AB_N30,0.5005042014302695,0.9999999999827712,1.0,2.4365034960624463e-11,0.1777247730016538,3,1.0208152802,-0.4350288425,"(0.499, 0.519]"
2582,AB_N30,0.762682188672319,0.9999999999918346,1.0000000000190246,2.6299657347062368e-11,0.45928496646275163,8,0.313708499,0.2720779386,"(0.758, 0.778]"
2583,AB_N30,0.7575267935979058,1.0000000000095122,1.0000000000190246,9.512316860479974e-12,0.39442130106936074,6,0.0208152802,-0.0208152802,"(0.738, 0.758]"
2584,AB_N30,0.11768560803217398,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.3845631336469791,3,-0.686291501,0.686291501,"(0.0998, 0.12]"
2585,AB_N30,0.5627735317713217,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.1690947550027691,4,1.0208152802,-0.0208152802,"(0.558, 0.578]"
2586,AB_N30,0.4848673097582762,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.21977576507026247,5,0.313708499,0.686291501,"(0.479, 0.499]"
2587,AB_N30,0.5673839707367153,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.15766581821592943,4,0.0208152802,-0.6066017178,"(0.558, 0.578]"
2588,AB_N30,0.2728670368523539,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3273292085764134,3,-0.686291501,0.1005050634,"(0.259, 0.279]"
2589,AB_N30,0.434729836739686,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.2000860028857698,3,1.0208152802,-0.6066017178,"(0.419, 0.439]"
2590,AB_N30,0.8750786312194854,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.5564624307140968,8,0.313708499,0.1005050634,"(0.858, 0.878]"
2591,AB_N30,0.7471117359070802,1.0000000000114146,1.0000000000190246,9.320119966958144e-12,0.34211996149660706,5,0.0208152802,-0.1923881554,"(0.738, 0.758]"
2592,AB_N30,0.1797017586751345,0.9999999999918348,1.0000000000190246,2.6299634382315988e-11,0.28148296036042453,4,-0.686291501,0.5147186258,"(0.18, 0.199]"
2593,AB_N30,0.5569128722105086,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.16118010418705322,4,1.0208152802,-0.1923881554,"(0.539, 0.558]"
2594,AB_N30,0.6002848426656944,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.21136763639251885,5,0.313708499,0.5147186258,"(0.598, 0.618]"
2595,AB_N30,0.46702432127758053,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.20323320175328402,4,0.0208152802,-0.7781745931,"(0.459, 0.479]"
2596,AB_N30,0.2824485443401884,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3471940381523786,3,-0.686291501,-0.0710678119,"(0.279, 0.299]"
2597,AB_N30,0.35468085197598975,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.29389199936930815,3,1.0208152802,-0.7781745931,"(0.339, 0.359]"
2598,AB_N30,0.958010789461626,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.6342600450086854,8,0.313708499,-0.0710678119,"(0.957, 0.977]"
2599,AB_N30,0.6901874226977103,1.0000000000114149,1.0000000000190246,9.320119968016152e-12,0.26379354055702925,5,0.0208152802,-0.3639610307,"(0.678, 0.698]"
2600,AB_N30,0.22917455688789679,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3241996902033388,3,-0.686291501,0.3431457505,"(0.219, 0.239]"
2601,AB_N30,0.5221322758843218,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.18213584562068924,4,1.0208152802,-0.3639610307,"(0.519, 0.539]"
2602,AB_N30,0.7152986371105827,1.0000000000108713,1.0000000000190246,9.414715429806852e-12,0.3852066714282452,7,0.313708499,0.3431457505,"(0.698, 0.718]"
2603,AB_N30,0.7459785335773679,1.0000000000095122,1.0000000000190246,9.512298356924872e-12,0.3892687480125141,6,0.0208152802,0.0502525317,"(0.738, 0.758]"
2604,AB_N30,0.08890947245502556,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.39655867381219717,3,-0.686291501,0.7573593129,"(0.0798, 0.0998]"
2605,AB_N30,0.5562651308491577,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.19705448368355183,4,1.0208152802,0.0502525317,"(0.539, 0.558]"
2606,AB_N30,0.4370000429269101,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.24578943969314332,5,0.313708499,0.7573593129,"(0.419, 0.439]"
2607,AB_N30,0.6064427200497433,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.15773006916303192,4,0.0208152802,-0.5355339059,"(0.598, 0.618]"
2608,AB_N30,0.2635716847851224,0.999999999989113,1.0000000000190246,2.987633211515164e-11,0.31939176848813167,3,-0.686291501,0.1715728753,"(0.259, 0.279]"
2609,AB_N30,0.4640325930631084,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.1796701266483154,3,1.0208152802,-0.5355339059,"(0.459, 0.479]"
2610,AB_N30,0.829091645223692,0.9999999999918348,1.0000000000190246,2.629965734735529e-11,0.5155412201735083,8,0.313708499,0.1715728753,"(0.818, 0.838]"
2611,AB_N30,0.7580179374468247,0.9999999999972726,1.0000000000190246,2.5915693073661527e-11,0.36520600480639065,5,0.0208152802,-0.1213203436,"(0.758, 0.778]"
2612,AB_N30,0.15539023054092593,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.3000236205207685,4,-0.686291501,0.5857864376,"(0.14, 0.16]"
2613,AB_N30,0.5630457148690499,0.9999999999918345,1.0000000000190246,2.6299671694705824e-11,0.15508034258116124,4,1.0208152802,-0.1213203436,"(0.558, 0.578]"
2614,AB_N30,0.552508474998876,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.20431098039670462,5,0.313708499,0.5857864376,"(0.539, 0.558]"
2615,AB_N30,0.5094258742798743,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.18556551957410414,4,0.0208152802,-0.7071067812,"(0.499, 0.519]"
2616,AB_N30,0.2807270311182338,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3409030261252075,3,-0.686291501,-0.0,"(0.279, 0.299]"
2617,AB_N30,0.389232694454855,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.2584735704681177,3,1.0208152802,-0.7071067812,"(0.379, 0.399]"
2618,AB_N30,0.934910783949171,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.6120760998814817,8,0.313708499,-0.0,"(0.917, 0.937]"
2619,AB_N30,0.718120819459784,1.0000000000114146,1.0000000000190246,9.320119966958144e-12,0.2991874670799972,5,0.0208152802,-0.2928932188,"(0.718, 0.738]"
2620,AB_N30,0.2103687464111238,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.2561649234687766,4,-0.686291501,0.4142135624,"(0.199, 0.219]"
2621,AB_N30,0.5397505012291328,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.17432318967009902,4,1.0208152802,-0.2928932188,"(0.539, 0.558]"
2622,AB_N30,0.667734264591635,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.2383374672771345,5,0.313708499,0.4142135624,"(0.658, 0.678]"
2623,AB_N30,0.4056005100714142,0.9999999999741569,1.0,2.5842966655695494e-11,0.22424060943249774,4,0.0208152802,-0.8786796564,"(0.399, 0.419]"
2624,AB_N30,0.27940810112219516,0.9999999999891128,1.0000000000190246,2.987633211460155e-11,0.3375654421538064,3,-0.686291501,-0.1715728753,"(0.279, 0.299]"
2625,AB_N30,0.30308932973861435,0.9999999999827712,1.0,2.4365034960624463e-11,0.3209201349010525,3,1.0208152802,-0.8786796564,"(0.299, 0.319]"
2626,AB_N30,0.921669373738991,0.9999999999906681,1.0000000000190246,2.7921261154719054e-11,0.5902438814863367,7,0.313708499,-0.1715728753,"(0.917, 0.937]"
2627,AB_N30,0.6433088634385873,1.0000000000095124,1.0000000000190246,9.512307609354817e-12,0.17534946342706045,4,0.0208152802,-0.4644660941,"(0.638, 0.658]"
2628,AB_N30,0.2513067976712122,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.313263781933757,3,-0.686291501,0.2426406871,"(0.239, 0.259]"
2629,AB_N30,0.4904881791378308,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.17815021197946193,3,1.0208152802,-0.4644660941,"(0.479, 0.499]"
2630,AB_N30,0.7822282995991986,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.4754911088571967,8,0.313708499,0.2426406871,"(0.778, 0.798]"
2631,AB_N30,0.7596488121397187,1.0000000000095122,1.0000000000190246,9.512298356924872e-12,0.3943534666708088,6,0.0208152802,-0.0502525317,"(0.758, 0.778]"
2632,AB_N30,0.12910812892638424,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.37890812189383044,3,-0.686291501,0.6568542495,"(0.12, 0.14]"
2633,AB_N30,0.5639467667788036,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.1659846924982707,4,1.0208152802,-0.0502525317,"(0.558, 0.578]"
2634,AB_N30,0.5046863080993778,1.00000000000761,1.0000000000190246,9.320092772278061e-12,0.2151544453561817,5,0.313708499,0.6568542495,"(0.499, 0.519]"
2635,AB_N30,0.5506967594372962,1.0000000000095122,1.0000000000190246,9.512307608706921e-12,0.16610598434738746,4,0.0208152802,-0.6360389693,"(0.539, 0.558]"
2636,AB_N30,0.2758193274837385,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.33112313362191503,3,-0.686291501,0.0710678119,"(0.259, 0.279]"
2637,AB_N30,0.42185890071976573,1.0000000000063414,1.0000000000190246,8.968289620180518e-12,0.2173746938513713,3,1.0208152802,-0.6360389693,"(0.419, 0.439]"
2638,AB_N30,0.893601462753353,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.5733938105404682,8,0.313708499,0.0710678119,"(0.878, 0.897]"
