depth_bin,n,mean_depth,mean_mismatch,median_mismatch,std_mismatch,mean_max_mismatch,mean_depth_diff,mean_degree,substrate
"(0.957, 0.977]",31,0.9649949524502643,0.9999999999992041,1.0000000000081535,1.2655993978137628e-11,1.0000000000184108,0.6387926177168775,7.451612903225806,AB_N30
"(0.977, 0.997]",13,0.9843314075831946,0.9999999999999937,1.0000000000095124,1.1671239420315268e-11,1.0000000000190246,0.6600324774967911,8.0,AB_N30
"(-0.000994, 0.0199]",7,0.008132693135004374,0.9999999999968411,1.0000000000123486,2.452437019158402e-11,1.0000000000158742,0.2743447643588409,3.142857142857143,Penrose_N24
"(0.0199, 0.0398]",22,0.03037746112484775,1.0000000000021747,1.0000000000092557,1.7455620320622474e-11,1.000000000020764,0.32804712160308935,3.3181818181818183,Penrose_N24
"(0.0398, 0.0597]",46,0.05081083071754519,1.0000000000003537,1.000000000008637,1.8795878610193652e-11,1.000000000017446,0.32106733991557057,3.347826086956522,Penrose_N24
"(0.0597, 0.0796]",66,0.0707769026982205,0.9999999999998178,1.0000000000092557,1.923258513366855e-11,1.000000000019081,0.3229904581293171,3.3484848484848486,Penrose_N24
"(0.0796, 0.0994]",94,0.08972688318029179,1.0000000000044622,1.0000000000123477,2.0059808362143122e-11,1.0000000000205524,0.3240216854583666,3.351063829787234,Penrose_N24
"(0.0994, 0.119]",145,0.1097745640613057,1.000000000000681,1.0000000000123477,2.4817443406108246e-11,1.0000000000181186,0.33089275684231245,3.3517241379310345,Penrose_N24
"(0.119, 0.139]",194,0.12991342318965304,1.0000000000022569,1.0000000000123477,2.044180006654435e-11,1.0000000000190143,0.33140762693754466,3.329896907216495,Penrose_N24
"(0.139, 0.159]",251,0.14947106667907747,1.0000000000025748,1.0000000000123477,1.9232224543877155e-11,1.0000000000201792,0.3345235764286047,3.3266932270916336,Penrose_N24
"(0.159, 0.179]",337,0.1695210553855001,1.0000000000018558,1.0000000000123477,2.0354764303493446e-11,1.0000000000195526,0.34385082123159383,3.2433234421364987,Penrose_N24
"(0.179, 0.199]",415,0.18900466654984618,1.0000000000011278,1.0000000000123477,2.0457167076580358e-11,1.0000000000190337,0.35080122021758653,3.272289156626506,Penrose_N24
"(0.199, 0.219]",470,0.208982460336937,1.000000000000216,1.0000000000123477,2.1466499452722683e-11,1.0000000000184925,0.3468079050391349,3.2914893617021277,Penrose_N24
"(0.219, 0.239]",531,0.22860680650466988,1.0000000000014242,1.0000000000123477,2.0974359693776813e-11,1.0000000000189746,0.3477717968137076,3.2580037664783426,Penrose_N24
"(0.239, 0.259]",577,0.24848766766884925,1.0000000000019307,1.0000000000123477,2.1252253850777558e-11,1.0000000000193738,0.3474476860754212,3.2790294627383014,Penrose_N24
"(0.259, 0.278]",594,0.26824051014350675,1.0000000000016784,1.0000000000123477,1.9951176707447162e-11,1.0000000000195641,0.3408580898914674,3.3181818181818183,Penrose_N24
"(0.278, 0.298]",654,0.28831794370480346,1.0000000000011484,1.0000000000123477,2.0391813743378854e-11,1.0000000000187712,0.34047164454182094,3.2966360856269112,Penrose_N24
"(0.298, 0.318]",620,0.30802128115973115,0.9999999999995748,1.0000000000123477,2.3114044098431882e-11,1.0000000000184315,0.33335956804731115,3.356451612903226,Penrose_N24
"(0.318, 0.338]",632,0.32806689508801873,0.9999999999995942,1.0000000000123477,2.3413653885888637e-11,1.0000000000181253,0.3256308825243642,3.4050632911392404,Penrose_N24
"(0.338, 0.358]",579,0.3480140930355902,0.9999999999988388,1.0000000000123477,2.3233127183669693e-11,1.000000000017966,0.31710587062792445,3.4507772020725387,Penrose_N24
