substrate,model,x_type,x,msd_phys,mean_perp_mismatch,near_return_frac,near_return_mean_perp_mismatch,near_return_n
Penrose_N24,bias_beta_5,steps,32.0,23.082966645225916,1.0135475314969042,0.2125,0.9661193658419899,255
Penrose_N24,bias_beta_5,steps,64.0,45.23208234076353,1.0468686581910147,0.1225,0.9894925003643938,147
Penrose_N24,bias_beta_5,steps,128.0,88.64660567900336,1.0388026174321632,0.0625,0.9076808999064919,75
Penrose_N24,bias_beta_5,steps,256.0,173.88016381818295,1.0155222556127013,0.028333333333333332,1.048915212400889,34
Penrose_N24,bias_beta_5,steps,512.0,350.09160687672073,1.0225973051467172,0.015833333333333335,0.9044151060121649,19
Penrose_N24,bias_beta_5,steps,1024.0,689.628766146725,1.0285887731252912,0.005833333333333334,,7
Penrose_N24,bias_beta_10,steps,32.0,13.916191247805418,0.9870137826807817,0.38333333333333336,0.9452299628420785,460
Penrose_N24,bias_beta_10,steps,64.0,25.972787893783092,0.9886225212942034,0.20916666666666667,0.943298077061664,251
Penrose_N24,bias_beta_10,steps,128.0,50.00321609635128,1.0053011386895352,0.115,1.0074548206649374,138
Penrose_N24,bias_beta_10,steps,256.0,95.38248911802764,1.006252024772072,0.065,0.9617835531593792,78
Penrose_N24,bias_beta_10,steps,512.0,183.39541346861128,1.0184236558043658,0.02666666666666667,0.8460335441298399,32
Penrose_N24,bias_beta_10,steps,1024.0,360.9887576046333,0.9835758069900749,0.015,1.010580639244177,18
Penrose_N24,cost_lambda_5,cost_time,32.0,8.135831212039324,1.255413616062541,0.44,1.1861490332487097,528
Penrose_N24,cost_lambda_5,cost_time,64.0,14.838759613925243,1.299158333030973,0.24916666666666668,1.2278124076842851,299
Penrose_N24,cost_lambda_5,cost_time,128.0,30.365844419521284,1.3321214067364155,0.12166666666666667,1.2039866129919792,146
Penrose_N24,cost_lambda_5,cost_time,256.0,56.24195948208738,1.283697467303346,0.06,1.2075272074121222,72
Penrose_N24,cost_lambda_5,cost_time,512.0,110.56429467230254,1.3011893673069734,0.03333333333333333,1.345590462313696,40
Penrose_N24,cost_lambda_5,cost_time,1024.0,213.29094278212074,1.2994955677281728,0.015833333333333335,1.1022427040620473,19
Penrose_N24,cost_lambda_10,cost_time,32.0,3.4302808508845404,1.2603453868719399,0.7233333333333334,1.19676988971117,868
Penrose_N24,cost_lambda_10,cost_time,64.0,4.345573653309884,1.2935967818559835,0.6608333333333334,1.225993718697512,793
Penrose_N24,cost_lambda_10,cost_time,128.0,5.63971641687843,1.3017966439692565,0.5758333333333333,1.2262662953078027,691
Penrose_N24,cost_lambda_10,cost_time,256.0,7.808139664755489,1.3317755570244463,0.485,1.238755138517184,582
Penrose_N24,cost_lambda_10,cost_time,512.0,11.406739920352626,1.3591977082858264,0.365,1.226311777803987,438
Penrose_N24,cost_lambda_10,cost_time,1024.0,21.297276586253222,1.4045088342645213,0.21833333333333332,1.2984322551918643,262
