substrate,seed,linger_n,n_walkers,mean_start_depth,mean_disturb_depth,mean_descend_depth,mean_linger_end_depth,mean_ascend_depth,mean_residue_after_disturb,mean_residue_after_descend,mean_residue_linger_start,mean_residue_linger_end,mean_residue_after_ascend,median_residue_after_ascend,std_residue_after_ascend,mean_phys_dist_final,frac_near_return_2,frac_near_return_3
AB_N30,5,5,5000,0.484271044883144,0.4796812223488374,0.6121736374893798,0.6072632016144924,0.26653709123008656,1.0268451459245296,0.9170283763521242,0.9170283763521242,0.9121308843724939,1.26895054908614,1.2891488988629005,0.5380890068926448,12.301532888609977,0.0232,0.0494
AB_N30,5,10,5000,0.484271044883144,0.4795607872738028,0.6005272836966944,0.6101772684440042,0.2649634102119654,1.036904072096842,0.9360432106210088,0.9360432106210088,0.9164194371386518,1.2541966132153866,1.2544294036877324,0.5408435218965159,12.28216505005816,0.0264,0.0408
AB_N30,5,20,5000,0.484271044883144,0.48492781614077796,0.6160940130071771,0.6079977417485853,0.26690277000920115,1.0261133902739195,0.9176693851992886,0.9176693851992886,0.9188035328011455,1.2522001523525135,1.2544294036877324,0.5438763476943047,12.23018431422486,0.031,0.0424
AB_N30,5,40,5000,0.484271044883144,0.4771749055644279,0.6047485638863149,0.6102694947613195,0.2619758145641731,1.0345246483340444,0.9149011221518786,0.9149011221518786,0.9185673370741412,1.2623763477109502,1.2938694648663294,0.5458621130207425,12.26986040589071,0.031,0.048
AB_N30,5,80,5000,0.484271044883144,0.4782440952855059,0.6101964482696672,0.6100314889947314,0.26842077600065745,1.0343827504634275,0.9209686656049116,0.9209686656049116,0.9189117129962621,1.247359971689231,1.2446712462303644,0.5400012196618778,12.82193212135064,0.0272,0.0396
AB_N30,5,160,5000,0.484271044883144,0.4811032690097681,0.6071904050316139,0.6128017245788069,0.26684567857620806,1.0367899806756076,0.9208013830223115,0.9208013830223115,0.9214333233680502,1.2508241854263344,1.2544294036877324,0.5390390542631737,13.286227701839909,0.0234,0.0374
AB_N30,6,0,5000,0.4876489914230493,0.47943550327953927,0.6076227589213418,0.6076227589213418,0.2633410518552872,1.0296038298949466,0.9209743618248791,0.9209743618248791,0.9209743618248791,1.2568115627651433,1.2938694648663294,0.5394463092065582,12.14239415293259,0.0286,0.0402
AB_N30,6,5,5000,0.4876489914230493,0.4743288088989455,0.6123293675138786,0.6044035018341115,0.2658039463188352,1.0321164857611809,0.9191943504468276,0.9191943504468276,0.9096047659592059,1.2547346929430758,1.256440910990143,0.543881425322771,12.251280470860031,0.019,0.0464
AB_N30,6,10,5000,0.4876489914230493,0.4784701861909288,0.6081782196175276,0.6110298354079174,0.2644615088813114,1.0265818510623508,0.9265532111038377,0.9265532111038377,0.910836169336598,1.25380906043931,1.2446712462678002,0.5432268702713834,12.313707435423055,0.0304,0.0454
AB_N30,6,20,5000,0.4876489914230493,0.4896244975222107,0.610192127860299,0.6076801281039327,0.2685979500422818,1.0265293222585095,0.9113765055352383,0.9113765055352383,0.9169035031793412,1.2533628712208933,1.2544294036633028,0.5465706610726532,12.333281679953922,0.0254,0.0382
