substrate,seed,threshold,n_near_loops,n_dippers,mean_residue_all_dippers,mean_residue_brachy,mean_residue_anti_brachy,mean_residue_symmetric,n_brachy,n_anti_brachy,n_symmetric,mean_residue_v_dip,mean_residue_u_dip,mean_residue_early_dip,mean_residue_mid_dip,mean_residue_late_dip,n_early,n_mid,n_late,spearman_asymmetry_vs_residue,spearman_asymmetry_p,spearman_sharpness_vs_residue,spearman_timing_vs_residue,spearman_recovery_vs_residue,spearman_descent_smooth_vs_residue,spearman_ascent_smooth_vs_residue,spearman_excursion_vs_residue,mean_asymmetry,mean_sharpness,mean_timing,mean_excursion,mean_recovery
Penrose_N24,0,2.0,223,205,1.0033082948456804,1.0177455602926957,0.9984404946716775,0.9325050527290978,120,65,20,1.1324084616670314,0.7987610471515174,1.095534628731422,0.9229478109322554,0.9521247320067475,87,68,50,0.08513552238867977,0.22485986097340585,0.24238384164350765,-0.08513552238867977,-0.04656121956968352,-0.09349056653879843,-0.2817923436983936,-0.3349624102741617,0.17006478658536586,0.964454491374182,0.4149676067073171,0.49484066824519524,1.088610473328231
Penrose_N24,0,3.0,284,258,1.1403381917380195,1.1462841002990187,1.139234766528665,1.1074801920146407,153,80,25,1.403500303941865,0.8602368504871716,1.2024382212617626,1.0840589013384971,1.108621716609278,110,87,61,0.08210118764694256,0.18865878825148308,0.31468404726880356,-0.08210118764694256,-0.1395305909813432,-0.09941086984444399,-0.34446527647471364,-0.37496272883436144,0.18005087209302326,0.966583475137077,0.40997456395348836,0.48010043718781414,1.062920311938297
Penrose_N24,1,2.0,193,171,1.0155579818356637,0.9960411688913808,1.0486081481479363,1.0009300626142503,93,62,16,1.137657577019126,0.8212686825804759,1.0008458420727286,1.065257386392323,0.9957674319471149,78,43,50,0.0284683354252339,0.7116684462014602,0.24444478510184633,-0.0284683354252339,-0.02554353956788475,-0.09367859475812493,-0.18149121770586008,-0.2758067723419509,0.12852933114035087,0.9678847525317358,0.43573533442982454,0.46538254469346263,1.1139207223461427
Penrose_N24,1,3.0,254,220,1.1441034771185785,1.0947664847054606,1.2190853555637893,1.078835053926241,109,90,21,1.3326602043958726,0.9077089934203995,1.0848366200039754,1.1556275242028635,1.2067727377942927,90,55,75,-0.06440760931030623,0.341673049511052,0.24328829336918578,0.06440760931030623,-0.1417212604974596,-0.1601118955863999,-0.18222445362796238,-0.2382996609376296,0.07577237215909091,0.9675432372505544,0.46211381392045453,0.469261925899489,1.0602504270551625
Penrose_N24,2,2.0,198,185,1.0504105405225284,1.025729136051663,1.0414574338529201,1.193728763300574,98,66,21,1.1562364215335574,0.9011058592685182,1.0441812072304135,1.0578843878442261,1.0507756372637191,76,61,48,-0.0011376686949564284,0.9877377218787593,0.18617206359029206,0.0011376686949564284,0.0023615724346626394,-0.07860262273700985,-0.16331903635076733,-0.2102060123560829,0.13060599662162162,0.9679525379037573,0.4346970016891892,0.462410821609782,1.1690208640604693
Penrose_N24,2,3.0,279,259,1.2040632610672704,1.2100822922799186,1.1728412529684165,1.2701194828522333,144,87,28,1.3312076112948596,1.0538651219274955,1.193069057457993,1.235623733944558,1.1813417334246283,113,84,62,0.04649408929627029,0.4562503967808399,0.1655612245663507,-0.04649408929627029,-0.10944445320385578,-0.07734876898965645,-0.3237554213269914,-0.24173997232068525,0.1658195583976834,0.9677672097184292,0.4170902208011583,0.45988710760173496,1.1109683110374722
Penrose_N24,3,2.0,188,169,1.0052786438855685,0.951926501041485,1.062070236338539,1.1239185026719778,95,60,14,1.309605595265965,0.6643587003670736,0.913031507212466,1.081871930328812,1.0671358702951248,73,54,42,-0.06005980974069961,0.4379359608681685,0.33266000422467545,0.06005980974069961,-0.0009938968555148519,-0.2079282574850421,-0.1513989272682264,-0.37489715265429896,0.16672059911242604,0.9695367296868236,0.416639700443787,0.4601187895892863,1.1003010071005639
Penrose_N24,3,3.0,256,224,1.1625247183923297,1.1116781745186224,1.2098494669973747,1.2863024667128022,122,84,18,1.5623842066688185,0.8494336301426967,1.0756670145056084,1.2227687833349357,1.230768741528975,95,69,60,-0.09878609230285039,0.14052727448153035,0.3400282963569804,0.09878609230285039,-0.07307847510167341,-0.2624347811530241,-0.17952032659482964,-0.3873524627152516,0.13916015625,0.9696689895470383,0.430419921875,0.45096993447529227,1.079509950923001
Penrose_N24,4,2.0,178,159,0.9490160912945901,0.9356923808754359,0.9508773698195956,0.9926435439130913,80,57,22,1.1763638068433857,0.7151811129927238,0.9707992656979556,0.9337550912060953,0.9349653487406957,64,49,46,-0.06758852859237996,0.3972722359050231,0.3349016992326814,0.06758852859237996,0.021516976891541036,-0.21057881988661645,-0.14853743076873718,-0.33118625059917434,0.09738600628930817,0.9650375824512962,0.4513069968553459,0.4920164943301291,1.0844211623350342
Penrose_N24,4,3.0,260,230,1.1450710647534983,1.1135770064009178,1.210155069135205,1.0736232809943833,114,87,29,1.3837532951963998,0.8920169580661125,1.1103459973219305,1.1846648321265174,1.1440367110835121,87,78,65,-0.05266543833383084,0.4266652480428569,0.31120318999173086,0.05266543833383084,-0.10994515446786547,-0.2066126663481255,-0.24875901447049262,-0.3097874556886018,0.09081182065217391,0.966171792152704,0.45459408967391307,0.48285423315258713,1.0443169700475625
Penrose_N24,5,2.0,183,167,0.9620737544932637,0.9787886700897418,0.868469878134756,1.1212296549989755,89,55,23,1.145297995099285,0.7231467865483329,0.9973630612456085,0.9952675991459963,0.836861288685528,76,55,36,0.011927225299478424,0.8784128876072753,0.34869757560050507,-0.011927225299478424,0.08791172723142833,-0.17059889384199775,-0.20119855622112962,-0.336439677521188,0.1794652881736527,0.9685175989484446,0.41026735591317365,0.4711679347975449,1.2180391181059254
