descent_steps,ascent_steps,asymmetry,dip_timing,dip_sharpness,excursion,min_depth,recovery,descent_smoothness,ascent_smoothness,start_depth,final_depth,perp_residue,phys_dist,walker_id,substrate,seed,threshold
321,703,0.373046875,0.3134765625,0.9970731707317073,0.1561202387942996,0.04611845455123209,2.0,-720.0869964480827,-376.40318792206466,0.20223869334553168,0.6799913268387474,0.7653668646450721,1.8477590650018787,13795,AB_N30,0,2.0
641,383,-0.251953125,0.6259765625,0.9863414634146341,0.29007929003193644,0.003269900366847822,2.0,-797.0213028549377,-166.246728946311,0.29334919039878427,0.8103363648416828,0.76536686473746,1.8477590650401519,13887,AB_N30,0,2.0
631,393,-0.232421875,0.6162109375,0.9736585365853658,0.34602762745161775,0.036883927351446744,1.698086319467134,-635.0422728395441,-233.2755984181592,0.3829115548030645,0.624468707686407,0.76536686473746,1.8477590650401512,13906,AB_N30,0,2.0
112,912,0.78125,0.109375,0.9795121951219512,0.36897986388836757,0.017568767024822574,0.6620033146395918,-104.32233888636722,-1349.856728896575,0.38654863091319014,0.26183465995484934,1.9999999999673386,1.9999999999673386,14349,AB_N30,0,2.0
347,677,0.322265625,0.3388671875,0.968780487804878,0.2649738037164552,0.05049563421884429,0.9999999999962261,-473.18893049396866,-917.3353790922902,0.31546943793529947,0.31546943793529947,0.0,0.0,14412,AB_N30,0,2.0
62,962,0.87890625,0.060546875,0.9404878048780487,0.4861247427075355,0.060513811644400284,0.52912356073403,-44.45533780453367,-1347.5583479638337,0.5466385543519358,0.31773386646725477,1.4142135624,1.4142135624000005,14437,AB_N30,0,2.0
109,915,0.787109375,0.1064453125,0.9102439024390244,0.58152869948258,0.05974865873923296,0.9857037280790952,-61.95399221606405,-577.4607808688118,0.641277358221813,0.6329636658051856,0.7653668647757282,1.8477590649477593,14776,AB_N30,0,2.0
781,243,-0.525390625,0.7626953125,0.9648780487804878,0.39307635953772246,0.017568767024822574,1.543604781326439,-658.6906083008876,-140.932989143427,0.41064512656254504,0.624323315035185,1.4142135624,1.4142135623999996,14786,AB_N30,0,2.0
503,521,0.017578125,0.4912109375,0.9795121951219512,0.3174019047342278,0.02401623862487423,1.9839265900074068,-581.0157746265867,-297.102064435946,0.34141814335910203,0.6537183171480905,1.4142135623730951,1.4142135623730951,14984,AB_N30,0,2.0
423,601,0.173828125,0.4130859375,0.9658536585365853,0.286304377863863,0.05060834354093957,2.0,-516.1276935563668,-355.6893119715398,0.33691272140480255,0.6408680261267855,0.76536686473746,1.8477590650401472,15409,AB_N30,0,2.0
