model,seed,history,checkpoint,M,M_norm,struct_access,eff_alt,edge_count,total_weight,n_active,frac_inactive,headroom,frac_saturated
Fixed,91,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,92,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,93,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,94,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,95,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,96,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,97,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,98,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,99,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,100,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,101,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,102,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,103,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,104,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,105,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,106,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,107,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,108,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,109,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,110,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,111,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,112,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,113,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,114,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,115,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,116,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,117,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,118,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,119,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,120,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,121,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,122,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,123,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,124,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,125,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,126,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,127,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,128,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,129,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,130,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,131,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,132,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,133,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,134,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,135,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,136,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,137,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,138,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,139,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,140,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,141,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,142,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,143,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,144,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,145,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,146,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,147,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,148,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,149,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,150,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,151,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,152,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,153,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,154,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,155,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,156,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,157,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
