substrate,subset,perturbation,replicate,feature_set,auc
AB_N30,full_patch,rewire,4,address,0.843125913729935
AB_N30,full_patch,rewire,4,weave,0.7423516049407783
AB_N30,full_patch,rewire,4,hybrid,0.841039861452361
AB_N30,full_patch,rewire,5,address,0.8428178749852779
AB_N30,full_patch,rewire,5,weave,0.7407100560464335
AB_N30,full_patch,rewire,5,hybrid,0.8400565848591901
AB_N30,full_patch,rewire,6,address,0.8427718882300677
AB_N30,full_patch,rewire,6,weave,0.7411828856997082
AB_N30,full_patch,rewire,6,hybrid,0.8417321705996219
AB_N30,full_patch,rewire,7,address,0.8427278654295807
AB_N30,full_patch,rewire,7,weave,0.7398617484647767
AB_N30,full_patch,rewire,7,hybrid,0.8406112056730131
AB_N30,full_patch,rewire,8,address,0.8432604899505041
AB_N30,full_patch,rewire,8,weave,0.7413817889911334
AB_N30,full_patch,rewire,8,hybrid,0.8427375039150682
AB_N30,full_patch,rewire,9,address,0.8422870331309493
AB_N30,full_patch,rewire,9,weave,0.7389459563773629
AB_N30,full_patch,rewire,9,hybrid,0.8416467838911962
AB_N30,full_patch,shuffle,0,address,0.4975387115115484
AB_N30,full_patch,shuffle,0,weave,0.9773934308312973
AB_N30,full_patch,shuffle,0,hybrid,0.976770464393108
AB_N30,full_patch,shuffle,1,address,0.49128952844117646
AB_N30,full_patch,shuffle,1,weave,0.9768914288967114
AB_N30,full_patch,shuffle,1,hybrid,0.9764412149374407
AB_N30,full_patch,shuffle,2,address,0.4975957870572725
AB_N30,full_patch,shuffle,2,weave,0.9775819402700334
AB_N30,full_patch,shuffle,2,hybrid,0.9770759953186572
AB_N30,full_patch,shuffle,3,address,0.5041078076989804
AB_N30,full_patch,shuffle,3,weave,0.9762989641861073
AB_N30,full_patch,shuffle,3,hybrid,0.9767021791981179
AB_N30,full_patch,shuffle,4,address,0.49655652264714745
AB_N30,full_patch,shuffle,4,weave,0.9771375577455564
AB_N30,full_patch,shuffle,4,hybrid,0.9763159448407907
AB_N30,full_patch,shuffle,5,address,0.4875242948752928
AB_N30,full_patch,shuffle,5,weave,0.9769235320027629
AB_N30,full_patch,shuffle,5,hybrid,0.9770327278853714
AB_N30,full_patch,shuffle,6,address,0.4777659779349384
AB_N30,full_patch,shuffle,6,weave,0.9769537164761237
AB_N30,full_patch,shuffle,6,hybrid,0.9767523657949668
AB_N30,full_patch,shuffle,7,address,0.5091237178472663
AB_N30,full_patch,shuffle,7,weave,0.9768405775767252
AB_N30,full_patch,shuffle,7,hybrid,0.9767394641231703
AB_N30,full_patch,shuffle,8,address,0.49639272882323515
AB_N30,full_patch,shuffle,8,weave,0.977159674897208
AB_N30,full_patch,shuffle,8,hybrid,0.9765580853508135
AB_N30,full_patch,shuffle,9,address,0.5074829092127787
AB_N30,full_patch,shuffle,9,weave,0.9774879876975459
AB_N30,full_patch,shuffle,9,hybrid,0.9769397572902452
Penrose_N24,interior_75pct,native,0,address,0.5526668932539496
Penrose_N24,interior_75pct,native,0,weave,0.9084419840391197
Penrose_N24,interior_75pct,native,0,hybrid,0.9115655979199648
Penrose_N24,interior_75pct,rewire,0,address,0.5707263354525555
Penrose_N24,interior_75pct,rewire,0,weave,0.8308399341153899
Penrose_N24,interior_75pct,rewire,0,hybrid,0.8556856128494824
Penrose_N24,interior_75pct,rewire,1,address,0.5690539770575868
Penrose_N24,interior_75pct,rewire,1,weave,0.8320635505205498
Penrose_N24,interior_75pct,rewire,1,hybrid,0.8492853485176864
Penrose_N24,interior_75pct,rewire,2,address,0.5726472937544852
Penrose_N24,interior_75pct,rewire,2,weave,0.835612579020061
Penrose_N24,interior_75pct,rewire,2,hybrid,0.851745202900798
Penrose_N24,interior_75pct,rewire,3,address,0.5706992892251437
Penrose_N24,interior_75pct,rewire,3,weave,0.821030380125711
Penrose_N24,interior_75pct,rewire,3,hybrid,0.8520368513863896
Penrose_N24,interior_75pct,rewire,4,address,0.5582260199132357
Penrose_N24,interior_75pct,rewire,4,weave,0.8347736951998355
Penrose_N24,interior_75pct,rewire,4,hybrid,0.8548785083464657
Penrose_N24,interior_75pct,rewire,5,address,0.5802044604638248
Penrose_N24,interior_75pct,rewire,5,weave,0.8267478399079707
Penrose_N24,interior_75pct,rewire,5,hybrid,0.852600990613156
Penrose_N24,interior_75pct,rewire,6,address,0.561435730951342
Penrose_N24,interior_75pct,rewire,6,weave,0.833454177379978
Penrose_N24,interior_75pct,rewire,6,hybrid,0.8518585716706997
Penrose_N24,interior_75pct,rewire,7,address,0.57674434643693
Penrose_N24,interior_75pct,rewire,7,weave,0.8367249678149893
Penrose_N24,interior_75pct,rewire,7,hybrid,0.8561769526474651
Penrose_N24,interior_75pct,rewire,8,address,0.5785093381607843
Penrose_N24,interior_75pct,rewire,8,weave,0.8314737173777421
Penrose_N24,interior_75pct,rewire,8,hybrid,0.8544852111228511
Penrose_N24,interior_75pct,rewire,9,address,0.5571236607609726
Penrose_N24,interior_75pct,rewire,9,weave,0.8305524552565244
Penrose_N24,interior_75pct,rewire,9,hybrid,0.8536666119731845
Penrose_N24,interior_75pct,shuffle,0,address,0.5198287162418005
Penrose_N24,interior_75pct,shuffle,0,weave,0.90868923163471
Penrose_N24,interior_75pct,shuffle,0,hybrid,0.9076538118952915
Penrose_N24,interior_75pct,shuffle,1,address,0.49770242298135975
Penrose_N24,interior_75pct,shuffle,1,weave,0.909315126414067
Penrose_N24,interior_75pct,shuffle,1,hybrid,0.9092060399635056
Penrose_N24,interior_75pct,shuffle,2,address,0.5129120943516658
Penrose_N24,interior_75pct,shuffle,2,weave,0.9082505192875664
Penrose_N24,interior_75pct,shuffle,2,hybrid,0.9082314742357638
Penrose_N24,interior_75pct,shuffle,3,address,0.4857700782176897
Penrose_N24,interior_75pct,shuffle,3,weave,0.9086758212136182
Penrose_N24,interior_75pct,shuffle,3,hybrid,0.9090635964991364
Penrose_N24,interior_75pct,shuffle,4,address,0.5330000036061636
Penrose_N24,interior_75pct,shuffle,4,weave,0.9090660757366491
Penrose_N24,interior_75pct,shuffle,4,hybrid,0.9090949250458885
Penrose_N24,interior_75pct,shuffle,5,address,0.47776980414925185
Penrose_N24,interior_75pct,shuffle,5,weave,0.9087640595305496
Penrose_N24,interior_75pct,shuffle,5,hybrid,0.9062465065289592
Penrose_N24,interior_75pct,shuffle,6,address,0.4515313573960614
Penrose_N24,interior_75pct,shuffle,6,weave,0.9098929014471534
Penrose_N24,interior_75pct,shuffle,6,hybrid,0.9085210942542994
Penrose_N24,interior_75pct,shuffle,7,address,0.5046496972625613
Penrose_N24,interior_75pct,shuffle,7,weave,0.9085866813557731
Penrose_N24,interior_75pct,shuffle,7,hybrid,0.9068268734921727
Penrose_N24,interior_75pct,shuffle,8,address,0.4756137690540672
Penrose_N24,interior_75pct,shuffle,8,weave,0.9089191245677111
Penrose_N24,interior_75pct,shuffle,8,hybrid,0.9102432627847518
Penrose_N24,interior_75pct,shuffle,9,address,0.4504844430099927
Penrose_N24,interior_75pct,shuffle,9,weave,0.9084805249131815
Penrose_N24,interior_75pct,shuffle,9,hybrid,0.9087061355268424
Penrose_N24,boundary_25pct,native,0,address,0.6395120640806273
Penrose_N24,boundary_25pct,native,0,weave,0.9501411324739669
Penrose_N24,boundary_25pct,native,0,hybrid,0.9487295871803456
Penrose_N24,boundary_25pct,rewire,0,address,0.6330767408654272
Penrose_N24,boundary_25pct,rewire,0,weave,0.49658428094338863
Penrose_N24,boundary_25pct,rewire,0,hybrid,0.6381331607719212
Penrose_N24,boundary_25pct,rewire,1,address,0.6343158129684842
Penrose_N24,boundary_25pct,rewire,1,weave,0.5354359623805535
Penrose_N24,boundary_25pct,rewire,1,hybrid,0.6285258306172115
Penrose_N24,boundary_25pct,rewire,2,address,0.6422151733179122
Penrose_N24,boundary_25pct,rewire,2,weave,0.5131084035907948
Penrose_N24,boundary_25pct,rewire,2,hybrid,0.6355694416323816
Penrose_N24,boundary_25pct,rewire,3,address,0.6434635086869585
Penrose_N24,boundary_25pct,rewire,3,weave,0.5109066134866977
Penrose_N24,boundary_25pct,rewire,3,hybrid,0.6343934479596334
Penrose_N24,boundary_25pct,rewire,4,address,0.6399447909347032
Penrose_N24,boundary_25pct,rewire,4,weave,0.5388020567979359
Penrose_N24,boundary_25pct,rewire,4,hybrid,0.6458097616296996
Penrose_N24,boundary_25pct,rewire,5,address,0.6398062830527667
Penrose_N24,boundary_25pct,rewire,5,weave,0.5332052797087277
Penrose_N24,boundary_25pct,rewire,5,hybrid,0.6462561628288074
Penrose_N24,boundary_25pct,rewire,6,address,0.6403845755152472
Penrose_N24,boundary_25pct,rewire,6,weave,0.5100296909730355
Penrose_N24,boundary_25pct,rewire,6,hybrid,0.635413730542179
Penrose_N24,boundary_25pct,rewire,7,address,0.6325482935961277
Penrose_N24,boundary_25pct,rewire,7,weave,0.4965141447866118
Penrose_N24,boundary_25pct,rewire,7,hybrid,0.6375685426544727
Penrose_N24,boundary_25pct,rewire,8,address,0.638321954954943
Penrose_N24,boundary_25pct,rewire,8,weave,0.5059615733260285
Penrose_N24,boundary_25pct,rewire,8,hybrid,0.6350895162325504
Penrose_N24,boundary_25pct,rewire,9,address,0.6348932232151561
Penrose_N24,boundary_25pct,rewire,9,weave,0.5002635619727933
Penrose_N24,boundary_25pct,rewire,9,hybrid,0.6317979690509872
Penrose_N24,boundary_25pct,shuffle,0,address,0.4696458212304352
Penrose_N24,boundary_25pct,shuffle,0,weave,0.9507165577350697
Penrose_N24,boundary_25pct,shuffle,0,hybrid,0.949715022238455
Penrose_N24,boundary_25pct,shuffle,1,address,0.48652613851052856
Penrose_N24,boundary_25pct,shuffle,1,weave,0.9503623480879517
Penrose_N24,boundary_25pct,shuffle,1,hybrid,0.9507264826629154
