vertex_id,degree,vertex_type,depth,balance_mag,balance_angle,gap_angle_rad,gap_angle_deg,gap_direction,cos_gap_alignment,n_oversized_gaps,perp_x,perp_y
12815,4,E,0.4261756690549616,0.6532814824381883,-2.748893571891069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.0710678119,0.4142135624
12816,4,E,0.35671682224756895,0.6532814824150912,-1.1780972450815277,3.926990816916531,224.99999999594857,1.9634954084582654,-1.0,1,0.0710678119,0.8284271247
12817,3,F,0.2305452651479254,0.8047378541243649,-2.3561944902216343,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.0710678119,0.8284271247
12818,3,F,0.2671852884397212,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.6360389693,-0.4644660941
12819,6,C,0.70326608696257,0.307959844170429,-0.3926990816987242,2.356194490192345,135.0,2.748893571891069,-1.0,1,0.0710678119,0.2426406871
12820,4,E,0.4839589576850347,0.6532814824381883,-2.748893571891069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.0710678119,0.2426406871
12821,4,E,0.46524570592161374,0.6532814824381883,-1.1780972450961724,3.9269908169872414,225.0,1.9634954084936207,-1.0,1,0.0710678119,0.6568542495
12822,3,F,0.318670786445874,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.0710678119,0.6568542495
12823,3,F,0.21791161844849716,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.6360389693,-0.6360389693
12824,4,E,0.6199751950856756,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.3639610307,-0.6360389693
12825,4,E,0.3091112413675402,0.6532814824449532,0.3926990816737241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.6360389693,-0.2218254069
12826,5,D,0.5699032622077964,0.48284271246047694,-0.7853981633681589,3.1415926535190826,179.99999999594857,2.3561944901569896,-1.0,1,0.0710678119,0.4852813742
12827,4,E,0.39731389092952685,0.6532814824449532,-2.748893571916069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.0710678119,0.4852813742
12828,4,E,0.31105764337160857,0.6532814824381883,-1.1780972450961724,3.9269908169872414,225.0,1.9634954084936207,-1.0,1,0.0710678119,0.8994949366
12829,3,F,0.19198458370913962,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.0710678119,0.8994949366
12830,4,E,0.283083570997094,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.6360389693,-0.3933982822
12831,5,D,0.6670189294124325,0.482842712474619,-0.7853981633974483,3.141592653589793,180.0,2.356194490192345,-1.0,1,0.0710678119,0.313708499
12832,4,E,0.46229772589596263,0.6532814824381883,-2.748893571891069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.0710678119,0.313708499
12833,4,E,0.4206385636674588,0.6532814824381883,-1.1780972450961724,3.9269908169872414,225.0,1.9634954084936207,-1.0,1,0.0710678119,0.7279220614
12834,3,F,0.2831269177069654,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.0710678119,0.7279220614
12835,3,F,0.2400768484942578,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.6360389693,-0.5649711575
12836,4,E,0.6679761876209173,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.3639610307,-0.5649711575
12837,4,E,0.3144196786266733,0.6532814824381883,0.39269908169872403,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.6360389693,-0.1507575951
12838,5,D,0.5271893427346883,0.482842712474619,-0.7853981633974483,3.141592653589793,180.0,2.356194490192345,-1.0,1,0.0710678119,0.5563491861
12839,4,E,0.36612520177036,0.6532814824381883,-2.748893571891069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.0710678119,0.5563491861
12840,4,E,0.26509835680430227,0.6532814824381883,-1.1780972450961724,3.9269908169872414,225.0,1.9634954084936207,-1.0,1,0.0710678119,0.9705627485
12841,3,F,0.1524578079064457,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.0710678119,0.9705627485
12842,4,E,0.29606004424594434,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.6360389693,-0.3223304703
12843,5,D,0.6280963807242268,0.48284271248876115,-0.7853981633974483,3.1415926536605037,180.00000000405143,2.3561944901569896,-1.0,1,0.0710678119,0.3847763109
12844,4,E,0.43736366608844923,0.6532814824545203,-2.7488935718807137,3.926990817057952,225.0000000040514,0.3926990817340794,-1.0,1,1.0710678119,0.3847763109
12845,4,E,0.3755260428638235,0.6532814824381883,-1.1780972450961724,3.9269908169872414,225.0,1.9634954084936207,-1.0,1,0.0710678119,0.7989898732
