arm,patch,pair,seed,replicate,budget,start,S_local_null
regular,0,0,10,0,300,distant,2.00000
regular,0,0,10,0,1000,distant,2.00000
regular,0,0,10,1,100,orig,-1.00000
regular,0,0,10,1,300,orig,2.00000
regular,0,0,10,1,1000,orig,2.00000
regular,0,0,10,1,100,distant,2.00000
regular,0,0,10,1,300,distant,2.00000
regular,0,0,10,1,1000,distant,2.00000
regular,0,0,10,2,100,orig,0.00000
regular,0,0,10,2,300,orig,1.00000
regular,0,0,10,2,1000,orig,2.00000
regular,0,0,10,2,100,distant,0.00000
regular,0,0,10,2,300,distant,1.00000
regular,0,0,10,2,1000,distant,2.00000
regular,0,0,10,3,100,orig,-1.00000
regular,0,0,10,3,300,orig,-1.00000
regular,0,0,10,3,1000,orig,2.00000
regular,0,0,10,3,100,distant,3.00000
regular,0,0,10,3,300,distant,3.00000
regular,0,0,10,3,1000,distant,2.00000
regular,0,0,10,4,100,orig,0.00000
regular,0,0,10,4,300,orig,1.00000
regular,0,0,10,4,1000,orig,2.00000
regular,0,0,10,4,100,distant,0.00000
regular,0,0,10,4,300,distant,1.00000
regular,0,0,10,4,1000,distant,2.00000
regular,0,0,11,0,100,orig,0.00000
regular,0,0,11,0,300,orig,0.00000
regular,0,0,11,0,1000,orig,-2.00000
regular,0,0,11,0,100,distant,0.00000
regular,0,0,11,0,300,distant,0.00000
regular,0,0,11,0,1000,distant,-2.00000
regular,0,0,11,1,100,orig,-2.00000
regular,0,0,11,1,300,orig,-2.00000
regular,0,0,11,1,1000,orig,-2.00000
regular,0,0,11,1,100,distant,0.00000
regular,0,0,11,1,300,distant,0.00000
regular,0,0,11,1,1000,distant,-2.00000
regular,0,0,11,2,100,orig,0.00000
regular,0,0,11,2,300,orig,0.00000
regular,0,0,11,2,1000,orig,-2.00000
regular,0,0,11,2,100,distant,-1.00000
regular,0,0,11,2,300,distant,-1.00000
regular,0,0,11,2,1000,distant,-2.00000
regular,0,0,11,3,100,orig,-2.00000
regular,0,0,11,3,300,orig,-2.00000
regular,0,0,11,3,1000,orig,-2.00000
regular,0,0,11,3,100,distant,0.00000
regular,0,0,11,3,300,distant,0.00000
regular,0,0,11,3,1000,distant,0.00000
regular,0,0,11,4,100,orig,0.00000
regular,0,0,11,4,300,orig,-1.00000
regular,0,0,11,4,1000,orig,-2.00000
regular,0,0,11,4,100,distant,-2.00000
regular,0,0,11,4,300,distant,-2.00000
regular,0,0,11,4,1000,distant,-2.00000
regular,0,0,12,0,100,orig,-26.00000
regular,0,0,12,0,300,orig,-36.00000
regular,0,0,12,0,1000,orig,-36.00000
regular,0,0,12,0,100,distant,0.00000
regular,0,0,12,0,300,distant,-10.00000
regular,0,0,12,0,1000,distant,-36.00000
regular,0,0,12,1,100,orig,-5.00000
regular,0,0,12,1,300,orig,-11.00000
regular,0,0,12,1,1000,orig,-36.00000
regular,0,0,12,1,100,distant,0.00000
regular,0,0,12,1,300,distant,-5.00000
regular,0,0,12,1,1000,distant,-35.00000
regular,0,0,12,2,100,orig,-2.00000
regular,0,0,12,2,300,orig,-35.00000
regular,0,0,12,2,1000,orig,-36.00000
regular,0,0,12,2,100,distant,0.00000
regular,0,0,12,2,300,distant,-34.00000
regular,0,0,12,2,1000,distant,-36.00000
regular,0,0,12,3,100,orig,-33.00000
regular,0,0,12,3,300,orig,-35.00000
regular,0,0,12,3,1000,orig,-36.00000
regular,0,0,12,3,100,distant,0.00000
regular,0,0,12,3,300,distant,-29.00000
regular,0,0,12,3,1000,distant,-36.00000
regular,0,0,12,4,100,orig,-5.00000
regular,0,0,12,4,300,orig,-35.00000
regular,0,0,12,4,1000,orig,-36.00000
regular,0,0,12,4,100,distant,-2.00000
regular,0,0,12,4,300,distant,-35.00000
regular,0,0,12,4,1000,distant,-36.00000
regular,0,0,13,0,100,orig,0.00000
regular,0,0,13,0,300,orig,-7.00000
regular,0,0,13,0,1000,orig,-11.00000
regular,0,0,13,0,100,distant,0.00000
regular,0,0,13,0,300,distant,-7.00000
regular,0,0,13,0,1000,distant,-11.00000
regular,0,0,13,1,100,orig,-8.00000
regular,0,0,13,1,300,orig,-10.00000
regular,0,0,13,1,1000,orig,-11.00000
regular,0,0,13,1,100,distant,0.00000
regular,0,0,13,1,300,distant,-8.00000
regular,0,0,13,1,1000,distant,-11.00000
regular,0,0,13,2,100,orig,-1.00000
regular,0,0,13,2,300,orig,-5.00000
regular,0,0,13,2,1000,orig,-8.00000
regular,0,0,13,2,100,distant,-1.00000
regular,0,0,13,2,300,distant,-5.00000
regular,0,0,13,2,1000,distant,-8.00000
