substrate,seed,threshold,walker_id,phys_return_dist,perp_residue,signed_perp_x,signed_perp_y,loop_area,start_depth,min_depth_visited,mean_depth_visited,visited_shallow,start_texture
AB_N30,0,2.0,9291,0.0,0.0,-2.220446049250313e-16,0.0,116.86143571325479,0.6677503112936005,0.07778840713076596,0.49249294788420994,True,0.6902597825196508
AB_N30,0,2.0,9401,1.4142135623730951,1.4142135623730951,1.0,-1.0000000000000009,250.77922061447293,0.3807306575976006,0.02907398659523852,0.4822547374189657,True,0.8964834473106895
AB_N30,0,2.0,9701,2.0,2.0,1.9999999999999993,-2.220446049250313e-16,104.20458146459592,0.2842399568473093,0.024188640960717378,0.48230333126195213,True,-0.7120184531486505
AB_N30,0,2.0,9787,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,103.15432893251665,0.5448736320029753,0.05224440377692352,0.4864331986379408,True,-0.6601627276640926
AB_N30,0,2.0,9790,1.8477590650401536,0.76536686473746,-0.29289321879999963,0.7071067812,57.56675682639025,0.596439627703919,0.04549505558784439,0.49079493974832006,True,-0.6601627276640926
AB_N30,0,2.0,10083,1.9999999998966325,1.999999999896628,1.4142135623,1.4142135623,81.4766594034121,0.2601161250336975,0.01678466858791816,0.48815820065146914,True,3.932939162155641
AB_N30,0,2.0,10112,1.4142135624000005,1.4142135623999998,1.4142135624000007,0.0,6.74264068642799,0.5787983927494658,0.08153671810643692,0.49995488776022606,True,-0.678482029219856
AB_N30,0,2.0,10132,1.8477590650401456,0.76536686473746,0.7071067811999994,-0.29289321879999974,15.303300858529951,0.7029984973110115,0.03371206652210568,0.4891330464136677,True,-0.6601627276640926
AB_N30,0,2.0,10344,1.4142135624000005,1.4142135624,2.220446049250313e-16,-1.4142135624000014,9.863961029962525,0.13832848764088557,0.07636468512823014,0.4917217530467971,True,-0.7120184531486505
AB_N30,0,2.0,10577,1.8477590650401505,0.76536686473746,0.7071067812000011,-0.29289321879999985,243.75409434898484,0.34750804055123774,0.017568767024822574,0.4815568522923618,True,-0.6601627276640926
AB_N30,0,2.0,10581,1.4142135624000005,1.4142135624,1.4142135624,2.220446049250313e-16,96.92640687131984,0.19155618740175284,0.03371206652210568,0.4839799151443888,True,-0.6601627276640926
AB_N30,0,2.0,10656,1.8477590650401536,0.76536686473746,0.2928932187999995,-0.7071067812,46.22361107503724,0.7310591577156034,0.02573842920064362,0.49402389817515696,True,-0.6601627276640926
AB_N30,0,2.0,10692,1.8477590650401472,0.76536686473746,0.29289321880000085,-0.7071067811999996,99.90128060557342,0.06850679677836446,0.04757109452309971,0.47873436991816387,True,-0.7120184531486505
