substrate,seed,threshold,n_walkers,n_near_loops,mean_perp_residue,median_perp_residue,std_perp_residue,mean_signed_perp_x,mean_signed_perp_y,mean_loop_area,median_loop_area,spearman_area_vs_residue,spearman_area_vs_residue_p,spearman_start_depth_vs_residue,spearman_min_depth_vs_residue,mean_residue_deep_start,mean_residue_shallow_start,mean_residue_visited_shallow,mean_residue_not_visited_shallow,spearman_pathlen_vs_residue,control
AB_N30,0,1.0,5000,7,0.5275747278648801,0.0,0.8345690462408711,,,,,,,,,,,,,,SHUFFLED
AB_N30,0,2.0,5000,31,0.9521849448750885,0.849883656254556,0.6793914214637962,,,,,,,,,,,,,,SHUFFLED
AB_N30,0,3.0,5000,47,1.0032912216990504,0.8707616578759518,0.6521254073161296,,,,,,,,,,,,,,SHUFFLED
AB_N30,1,1.0,5000,8,0.6710586855116887,0.5638855553024933,0.6841916711542086,,,,,,,,,,,,,,SHUFFLED
AB_N30,1,2.0,5000,24,0.8840208816849358,0.8571567875057438,0.5791791410795416,,,,,,,,,,,,,,SHUFFLED
AB_N30,1,3.0,5000,37,0.9758526346728726,0.9216811878531768,0.5819766002130821,,,,,,,,,,,,,,SHUFFLED
AB_N30,2,1.0,5000,16,0.867107321586503,1.081205228724261,0.7415394452659992,,,,,,,,,,,,,,SHUFFLED
AB_N30,2,2.0,5000,45,1.0918268035388765,1.2276876692871594,0.6124959085995787,,,,,,,,,,,,,,SHUFFLED
AB_N30,2,3.0,5000,63,1.0725264384960855,1.0769805851475616,0.6048028649912925,,,,,,,,,,,,,,SHUFFLED
AB_N30,3,1.0,5000,11,0.266846806027453,0.0,0.5642088702314888,,,,,,,,,,,,,,SHUFFLED
AB_N30,3,2.0,5000,53,1.0713694392720963,1.0519367498927037,0.6926373237223419,,,,,,,,,,,,,,SHUFFLED
AB_N30,3,3.0,5000,72,1.0639410459444527,1.0535963035219658,0.6442312876672897,,,,,,,,,,,,,,SHUFFLED
AB_N30,4,1.0,5000,9,0.6946798469238966,0.2227998812012641,0.7851541475455753,,,,,,,,,,,,,,SHUFFLED
AB_N30,4,2.0,5000,40,1.0021106557153303,0.974075251340663,0.6340839998868423,,,,,,,,,,,,,,SHUFFLED
AB_N30,4,3.0,5000,57,1.1136055686605586,1.1278643263896788,0.5889191965109857,,,,,,,,,,,,,,SHUFFLED
AB_N30,5,1.0,5000,8,0.3067517899440252,0.0,0.5920549163707707,,,,,,,,,,,,,,SHUFFLED
AB_N30,5,2.0,5000,33,0.9558983835685031,0.9504315236588095,0.6425118869618809,,,,,,,,,,,,,,SHUFFLED
AB_N30,5,3.0,5000,50,1.065636506792379,0.9896272385820502,0.6256016414066766,,,,,,,,,,,,,,SHUFFLED
AB_N30,6,1.0,5000,7,0.46696609499443353,0.3543274927051793,0.5860962022384764,,,,,,,,,,,,,,SHUFFLED
AB_N30,6,2.0,5000,31,1.0133425040981168,1.07577298966071,0.6095688697979083,,,,,,,,,,,,,,SHUFFLED
AB_N30,6,3.0,5000,44,0.9658164580882039,0.9049758996951323,0.5665034522850918,,,,,,,,,,,,,,SHUFFLED
AB_N30,7,1.0,5000,3,0.0,0.0,0.0,,,,,,,,,,,,,,SHUFFLED
AB_N30,7,2.0,5000,21,0.8649462439055939,0.8687336034402242,0.615379166512512,,,,,,,,,,,,,,SHUFFLED
AB_N30,7,3.0,5000,41,1.0184237168892742,0.9809151768770539,0.5939970767989143,,,,,,,,,,,,,,SHUFFLED
AB_N30,8,1.0,5000,7,0.47648483912554224,0.0,0.8023746761209429,,,,,,,,,,,,,,SHUFFLED
AB_N30,8,2.0,5000,29,1.0215690466267604,1.0989010890180717,0.6248084401068373,,,,,,,,,,,,,,SHUFFLED
AB_N30,8,3.0,5000,43,1.0970636711479829,1.1680597221505586,0.5991707910490227,,,,,,,,,,,,,,SHUFFLED
AB_N30,9,1.0,5000,5,1.00102409043367,1.3774624841670449,0.8328062160054457,,,,,,,,,,,,,,SHUFFLED
AB_N30,9,2.0,5000,28,0.9327097755000924,0.8592363173270204,0.52434120326623,,,,,,,,,,,,,,SHUFFLED
AB_N30,9,3.0,5000,42,0.9921876190791697,0.9909639940645264,0.5038420849772732,,,,,,,,,,,,,,SHUFFLED
Penrose_N24,0,1.0,20000,22,0.661922995398956,0.0,0.7955324334398834,0.12436672624545464,0.016512330181818483,109.16649744728203,91.40788305060727,0.3923377768425534,0.07091581954860449,0.35805583517669914,0.0330122401226744,0.8825639938674873,0.44128199693042486,0.661922995398956,,,real
Penrose_N24,0,2.0,20000,141,1.0148882391488008,1.1755705045741416,0.5287326838957729,-0.07510758825531903,0.05850523365673767,98.23429377874601,75.39699079243803,0.14638569875813445,0.0832550143333708,-0.2597809448018851,-0.08631945577318093,0.8647141015313535,1.1672077215893542,1.0148882391488008,,,real
Penrose_N24,0,3.0,20000,181,1.1444003904799995,1.1755705046,0.5674518287950154,0.010895778754143692,0.021491617558011204,96.99737999760981,78.09502499043248,0.08837496400610312,0.2367922936327761,-0.30506124719887073,-0.07817725160649548,0.9424893752299781,1.348554861455021,1.1444003904799995,,,real
Penrose_N24,1,1.0,20000,20,0.40450849718679527,0.0,0.7006292692208616,0.025000000000000088,0.07694208842500007,84.4102475219787,78.56043104287102,-0.2462126467166715,0.29536890678872224,-0.23434697699538612,-0.13151117274424623,0.3236067977534674,0.4854101966201231,0.40450849718679527,,,real
Penrose_N24,1,2.0,20000,132,1.0441103373589007,1.1755705045741416,0.5910068852638946,0.13470570415757604,0.031820102110606055,102.79784874917893,87.50465013228947,-0.07774603513934267,0.3755742340152704,-0.3331793669716085,-0.07855210029301717,0.8638185286988852,1.2244021460189156,1.0441103373589007,,,real
Penrose_N24,1,3.0,20000,174,1.2136698049020296,1.1755705046317708,0.6487968550998946,0.08917943061034511,-0.019471001368965516,103.27833252964938,85.93111904415696,-0.051836703998387426,0.4969468441711547,-0.386518161453156,-0.11383035241069789,0.9665971479147734,1.4607424618892857,1.2136698049020296,,,real
Penrose_N24,2,1.0,20000,24,0.6741808286481485,0.0,0.7977015141037317,-0.07537570809999981,-0.18300047155833332,92.92444212323669,59.71468048090772,-0.14414617581106698,0.5015873591066689,-0.4163137009865392,-0.3350294625067101,0.2696723314612228,1.0786893258350745,0.6741808286481485,,,real
Penrose_N24,2,2.0,20000,123,0.9956857243442238,1.1755705045741416,0.5511182209890205,0.08824473142682934,-0.07141481816585372,95.71679812886748,81.37072223531624,-0.20398911694075517,0.023629492998531443,-0.3095631706505969,-0.12112180950614446,0.8665496615344873,1.126938771790185,0.9956857243442238,,,real
Penrose_N24,2,3.0,20000,171,1.2077071498620346,1.1755705046,0.6385040341884429,0.08197205219766092,-0.042561035178362544,95.48225500907104,77.34198218170775,-0.14054312200209299,0.06673256998686643,-0.3739374078353126,-0.14755284880239716,0.985336685163551,1.432693737674618,1.2077071498620346,,,real
Penrose_N24,3,1.0,20000,21,0.5393446629171063,0.0,0.7627485370909168,-0.023809523809523968,0.07327817945238094,93.54306733106876,51.647078166267306,0.103416334342814,0.6555297674995276,-0.3825626804260488,-0.06302381816712496,0.2941879979576976,0.8090169943724556,0.5393446629171063,,,real
Penrose_N24,3,2.0,20000,136,1.0446154736311184,1.1755705045741416,0.5544183120841296,-0.052133602526470646,0.04652118014705887,92.16733789974727,66.284386213105,0.017623166546029863,0.8386360203351576,-0.3967626932733482,-0.0019700846550548116,0.8181856084567994,1.2710453388054372,1.0446154736311184,,,real
Penrose_N24,3,3.0,20000,184,1.187749214579951,1.1755705046317708,0.579999875268526,-0.09761680889619574,-0.061381333330434794,97.261690265657,79.65843387197108,0.10813746489597245,0.14397708269446483,-0.48614740160749165,-0.010393907434343583,0.9287427085623655,1.4467557205975368,1.187749214579951,,,real
Penrose_N24,4,1.0,20000,22,0.6619229953963693,0.0,0.7955324334367746,-0.16982127170909112,-0.06994735311363644,71.98222627502646,66.42121031821328,-0.05770966560567258,0.7986502584259444,-0.39635759344555344,-0.26579318166579585,0.44128199692970765,0.8825639938630311,0.6619229953963693,,,real
