linger_steps,max_consecutive_linger,min_idx,excursion,start_depth,min_depth,final_residue,residue_at_min,substrate,seed,threshold
21,4,629,0.386009720224632,0.4199914722360062,0.03398175201137421,1.4142135623730951,0.5900816760109775,AB_N30,0,2.0
42,4,281,0.3207311519291639,0.37596905647215617,0.05523790454299227,1.84775906504015,1.1115295821526368,AB_N30,0,2.0
102,5,15,0.7253986399462605,0.7583281668587978,0.032929526912537255,0.7653668646450721,1.7891366987425905,AB_N30,0,2.0
117,7,355,0.7989848136124701,0.8388509217731511,0.039866108160681035,0.76536686473746,1.55147377912579,AB_N30,0,2.0
77,11,374,0.6306904397550632,0.6308267062801379,0.00013626652507470194,0.76536686473746,1.1934466180271635,AB_N30,0,2.0
15,2,191,0.34099447467022403,0.3485961563352079,0.0076016816649838725,0.76536686473746,0.9262096826260491,AB_N30,0,2.0
10,1,246,0.1856033110870965,0.24185011788936905,0.056246806802272564,0.76536686473746,0.708890200903511,AB_N30,0,2.0
17,1,561,0.25147229678726535,0.2792578162776618,0.027785519490396426,1.414213562373095,2.3670721113729147,AB_N30,0,2.0
94,6,502,0.6428041258154285,0.696269464618173,0.05346533880274451,0.0,0.960098699775393,AB_N30,0,2.0
11,3,548,0.26530286529275016,0.2955242398846172,0.030221374591867023,0.0,0.42026599810638077,AB_N30,0,2.0
30,2,502,0.4647751422948394,0.5155303073966436,0.05075516510180422,1.4142135624,1.0146118723623874,AB_N30,0,2.0
18,1,833,0.323155127740392,0.34717136636526624,0.02401623862487423,0.765366864645072,0.490457588438527,AB_N30,0,2.0
23,2,786,0.2588989124119009,0.28754460575201357,0.028645693340112688,0.76536686473746,1.6262413537032692,AB_N30,0,2.0
42,3,144,0.47878214460756807,0.5258402195967151,0.04705807498914705,0.76536686473746,0.7765503076828358,AB_N30,0,2.0
85,7,734,0.538450026458677,0.579226443312719,0.040776416854041986,0.76536686473746,1.0025221362342709,AB_N30,0,2.0
23,2,519,0.2569511066491378,0.290932858660512,0.03398175201137421,0.7653668646833404,2.3263966818358677,AB_N30,0,2.0
100,3,639,0.9070453605701831,0.9179008003282574,0.010855439758074237,0.76536686473746,1.3737909695722068,AB_N30,0,2.0
53,3,855,0.5474122531311714,0.5926176188644634,0.045205365733292036,1.4142135624,2.0159179389878386,AB_N30,0,2.0
67,3,718,0.624881670007537,0.6429991674348228,0.018117497427285745,0.76536686473746,1.7114123372717585,AB_N30,0,2.0
106,5,1002,0.7728060272921312,0.8280223268281169,0.055216299535985724,0.765366864645072,1.3256542961483693,AB_N30,0,2.0
93,4,295,0.4117431175403936,0.4710348613756231,0.059291743835229505,0.76536686473746,2.07106781186,AB_N30,0,2.0
15,3,586,0.2558144632280138,0.27326214160906237,0.017447678381048548,1.4142135624,0.9938846468083126,AB_N30,0,2.0
49,3,228,0.5021367772036455,0.5497078717267452,0.04757109452309971,0.76536686473746,2.0740094478913167,AB_N30,0,2.0
146,5,638,0.83706123693903,0.8710429889504042,0.03398175201137421,0.76536686473746,1.30712894454462,AB_N30,0,2.0
47,3,46,0.3983546510788868,0.4588684627232871,0.060513811644400284,1.4142135623730951,2.164784400567112,AB_N30,0,2.0
23,1,941,0.26032437297905997,0.3005410108580233,0.040216637878963346,1.8477590650018818,0.7952783360219299,AB_N30,0,2.0
66,2,225,0.5648720393690284,0.6010040405032546,0.03613200113422621,0.76536686473746,1.860348020243771,AB_N30,0,2.0
34,1,899,0.26509535481424906,0.3355323536613617,0.07043699884711263,1.4142135623730951,0.6103957748992108,AB_N30,0,2.0
31,1,793,0.3354332291645763,0.34628866892265053,0.010855439758074237,0.76536686473746,2.4213457023785274,AB_N30,0,2.0
91,4,21,0.6348606240183042,0.6863058354003237,0.05144521138201952,1.4142135623730951,1.2985728708619741,AB_N30,0,2.0
110,7,230,0.7832840693075465,0.8061829685084716,0.022898899200925138,0.76536686473746,1.1964353325968806,AB_N30,0,2.0
11,1,481,0.32409012365106715,0.331642150692504,0.007552027041436871,1.8477590650018818,2.249194189698851,AB_N30,0,2.0
96,5,43,0.8394061175577452,0.8561907861456634,0.01678466858791816,0.76536686473746,1.2426406871718019,AB_N30,0,2.0
35,4,306,0.3445265824357595,0.37821752529322117,0.03369094285746166,0.76536686473746,2.3504935424870737,AB_N30,0,2.0
82,6,621,0.6885189375015933,0.688655204026668,0.00013626652507470194,1.84775906504015,1.9199717448416387,AB_N30,0,2.0
31,3,257,0.40770026047659713,0.4483045495407385,0.040604289064141375,0.76536686473746,1.9592162699096947,AB_N30,0,2.0
26,6,760,0.28158660413377334,0.3358664528996258,0.054279848765852456,2.0,2.3216000828495913,AB_N30,0,2.0
49,2,460,0.4332332635517978,0.45613216275272295,0.022898899200925138,0.76536686473746,0.7606863760701229,AB_N30,0,2.0
25,3,185,0.23368058787533286,0.279077979820863,0.04539739194553016,1.8477590650401499,0.6103957748992108,AB_N30,0,2.0
84,5,1004,0.723966665568652,0.7507914929008573,0.02682482733220537,0.7653668647757284,1.08239220030269,AB_N30,0,2.0
1,1,916,0.18892765706647663,0.1965293387314605,0.0076016816649838725,1.4142135624,1.0903287659973409,AB_N30,0,2.0
24,4,690,0.36938325751486756,0.39812171445812383,0.028738456943256274,0.765366864645072,2.178340194691543,AB_N30,0,2.0
71,3,915,0.6614721354958027,0.7242941756265262,0.06282204013072346,0.0,1.0847227798809467,AB_N30,0,2.0
49,1,415,0.36637670439185654,0.39502239773196923,0.028645693340112688,1.4142135623730951,2.3009503504179767,AB_N30,0,2.0
73,4,194,0.5442321832089577,0.6053793662643603,0.061147183055402565,0.0,1.9535183172265707,AB_N30,0,2.0
47,1,680,0.40762501473526336,0.4598694185121869,0.05224440377692352,1.4142135623730951,1.6389910009473851,AB_N30,0,2.0
45,5,887,0.42520148240711086,0.46061206924351306,0.03541058683640219,0.7653668646450721,1.1840693618523448,AB_N30,0,2.0
