arm,patch,pair,history,seed,checkpoint,S_high,n_high,n_active,frac_active,headroom,total_weight,struct_access,eff_alt,bvisit_frac
regular,0,0,A,6,400,6.00000,18.00000,118.00000,0.17879,4.42027,1284.32385,72.00000,861.79648,0.00000
regular,0,0,A,6,1000,4.00000,45.00000,178.00000,0.26970,3.98722,1757.15818,73.00000,867.24863,0.03200
regular,0,0,A,6,2000,2.00000,86.00000,318.00000,0.48182,3.42678,2606.66963,89.00000,1129.48939,0.04150
regular,0,0,A,6,5000,10.00000,202.00000,462.00000,0.70000,2.43208,4128.08606,90.00000,1994.56386,0.06420
regular,0,0,A,6,10000,-3.00000,355.00000,598.00000,0.90606,1.44249,5892.85787,106.00000,2672.95730,0.09260
regular,0,0,B,6,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,6,100,0.00000,2.00000,34.00000,0.05152,4.84711,840.45995,65.00000,971.53877,0.00000
regular,0,0,B,6,200,0.00000,5.00000,72.00000,0.10909,4.68882,1005.67553,82.00000,1337.56448,0.00000
regular,0,0,B,6,400,0.00000,10.00000,116.00000,0.17576,4.45555,1252.55021,90.00000,1544.31228,0.00000
regular,0,0,B,6,1000,-7.00000,34.00000,210.00000,0.31818,3.98639,1822.32080,95.00000,1735.21006,0.07700
regular,0,0,B,6,2000,-17.00000,82.00000,290.00000,0.43939,3.50065,2461.86252,102.00000,2263.23265,0.04300
regular,0,0,B,6,5000,-38.00000,188.00000,408.00000,0.61818,2.51424,3844.79580,105.00000,3035.52538,0.07000
regular,0,0,B,6,10000,-32.00000,316.00000,588.00000,0.89091,1.67149,5553.48461,108.00000,3538.76019,0.08200
regular,0,0,A,7,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,7,100,0.00000,3.00000,32.00000,0.04848,4.82290,855.74998,65.00000,976.77885,0.00000
regular,0,0,A,7,200,0.00000,5.00000,52.00000,0.07879,4.69991,971.16502,68.00000,1116.03316,0.00000
regular,0,0,A,7,400,1.00000,17.00000,94.00000,0.14242,4.50932,1176.14691,79.00000,1575.80216,0.00000
regular,0,0,A,7,1000,-1.00000,39.00000,202.00000,0.30606,4.00830,1786.55410,91.00000,1963.26579,0.00600
regular,0,0,A,7,2000,-4.00000,81.00000,366.00000,0.55455,3.32865,2834.30685,97.00000,2272.81144,0.08100
regular,0,0,A,7,5000,12.00000,203.00000,506.00000,0.76667,2.34271,4392.40862,107.00000,2838.74886,0.10360
regular,0,0,A,7,10000,5.00000,360.00000,624.00000,0.94545,1.34339,6142.07512,108.00000,3067.21033,0.11800
regular,0,0,B,7,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,7,100,-1.00000,2.00000,34.00000,0.05152,4.82189,858.84375,60.00000,486.77276,0.00000
regular,0,0,B,7,200,-1.00000,5.00000,62.00000,0.09394,4.69029,991.45068,60.00000,486.75946,0.00500
regular,0,0,B,7,400,-1.00000,10.00000,110.00000,0.16667,4.45535,1243.44177,81.00000,1125.99706,0.00250
regular,0,0,B,7,1000,-5.00000,35.00000,180.00000,0.27273,4.02060,1731.97366,92.00000,1877.87305,0.00100
regular,0,0,B,7,2000,-6.00000,77.00000,320.00000,0.48485,3.48998,2547.67381,102.00000,2298.68524,0.01050
regular,0,0,B,7,5000,16.00000,208.00000,536.00000,0.81212,2.32405,4525.09397,105.00000,2753.96601,0.05140
regular,0,0,B,7,10000,31.00000,365.00000,618.00000,0.93636,1.31018,6157.73223,107.00000,2896.87211,0.07690
